pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,49.80296962344987,0.873038,0.857836,0.865437,60.6609,201.0,,,,,,0.974269,0.981269,0.89685,0.904292,0.954501,0.947785,35.4427,39.3045,22.3681,23.6243,33.6059,32.8901,0.9431609999999999,31.20593333333333,26.0654,32.3329,31.5407,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,49.16584702447325,0.860876,0.855467,0.858171,60.7355,144.0,,,,,,0.974215,0.980183,0.902313,0.905596,0.952593,0.94674,35.3268,38.2993,22.8275,23.3426,33.2358,32.6516,0.9436066666666667,30.947266666666668,26.1033,32.2806,31.5798,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,48.67554325838896,0.849549,0.860055,0.854802,60.777,140.0,,,,,,0.962415,0.973077,0.000737528,0.000725085,0.916019,0.913969,31.6114,34.1164,6.2157,6.17536,29.1488,29.003,0.6278237688333334,22.71177666666667,26.1686,32.2721,31.5688,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,47.99671801480165,0.83507,0.865651,0.85036,60.8749,132.0,,,,,,0.959162,0.968233,0.000714306,0.000771895,0.911315,0.908002,30.5636,33.2874,6.21752,6.17857,28.602,28.2459,0.6246997001666666,22.18249833333333,26.2924,32.3363,31.5858,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,47.31877135477019,0.904584,0.915106,0.909845,60.6125,161.0,,,,,,0.971778,0.97679,0.897695,0.902648,0.953658,0.947831,33.9376,37.6055,22.3196,22.9538,33.3076,32.7356,0.9417333333333334,30.476616666666672,26.3525,32.3917,31.7495,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,47.327696389261845,0.911938,0.906823,0.90938,60.5931,158.0,,,,,,0.974306,0.976596,0.000800985,0.000832589,0.953183,0.94729,34.9754,37.2164,6.22089,6.18343,33.2658,32.6375,0.6421680956666668,25.083236666666664,26.3906,32.4727,31.6891,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,47.291723239184265,0.911102,0.918971,0.915036,60.5615,150.0,,,,,,0.974118,0.975125,0.00086173,0.000853779,0.952664,0.946643,35.0656,36.5251,6.22153,6.18525,33.169,32.6001,0.6417109181666666,24.961096666666663,26.2892,32.3299,31.6939,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,47.37737398280062,0.890793,0.906862,0.898828,60.6278,116.0,,,,,,0.967959,0.973184,0.901568,0.901421,0.951971,0.945729,33.0584,36.2257,22.7329,22.3516,33.175,32.3377,0.9403053333333333,29.980216666666667,26.286,32.2615,31.61,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,47.689506852055615,0.912763,0.918456,0.915609,60.5553,152.0,,,,,,0.970136,0.972005,0.000854652,0.00079322,0.94817,0.940676,33.6289,35.847,6.21692,6.18811,32.3214,31.3459,0.6387724786666666,24.25803833333333,26.3061,32.2977,31.6386,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,47.68920870505711,0.916354,0.934822,0.925588,60.6247,114.0,,,,,,0.975102,0.974613,0.898431,0.901116,0.953525,0.946046,35.8395,36.7461,22.3887,22.3886,33.5395,32.5644,0.9414721666666667,30.5778,26.3347,32.3784,31.6684,
