pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,173.2663690340171,0.697869,0.334652,0.516261,62.9045,62.0,,,,,,0.974682,0.9833,0.956676,0.961527,0.967282,0.962599,35.0889,40.4518,34.4044,34.9861,35.6681,35.1701,0.9676776666666665,35.96156666666666,30.0514,34.4583,33.7739,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,171.0497960025524,0.69515,0.342588,0.518869,62.9207,101.0,,,,,,0.978166,0.983572,0.9606,0.968243,0.966155,0.962397,36.6767,40.6623,35.4922,36.4834,35.415,35.1012,0.9698555,36.638466666666666,30.0609,34.4444,33.7732,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,169.34401110828924,0.695053,0.343403,0.519228,62.942,85.0,,,,,,0.980212,0.983836,0.960348,0.968212,0.96429,0.960163,37.6442,40.7458,35.4901,36.6689,35.0332,34.6171,0.9695101666666665,36.69988333333333,30.1593,34.4446,33.7574,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,166.98235303740935,0.69064,0.351321,0.52098,63.0027,65.0,,,,,,0.980609,0.981419,0.959958,0.968677,0.964402,0.959992,37.6504,39.2734,35.4428,36.8659,34.9866,34.6139,0.9691761666666666,36.47216666666667,30.264,34.6024,33.9211,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,164.62375159113975,0.692426,0.348436,0.520431,63.0386,65.0,,,,,,0.96697,0.977249,0.941153,0.94427,0.969545,0.964254,32.6195,37.6988,31.9648,32.2241,36.1785,35.3966,0.9605735000000001,34.34705,30.3486,34.6239,33.9138,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,164.6548021154672,0.681913,0.353089,0.517501,63.0415,50.0,,,,,,0.980442,0.980372,0.963881,0.97069,0.966817,0.961598,37.525,38.7914,36.304,37.4904,35.5608,34.8716,0.9706333333333333,36.757200000000005,30.4008,34.6419,33.9629,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,164.52965019894927,0.688629,0.357556,0.523092,62.9901,90.0,,,,,,0.980495,0.981402,0.961579,0.965919,0.967909,0.963629,37.4827,39.4566,35.7393,36.0821,35.8061,35.2875,0.9701555000000001,36.642383333333335,30.3027,34.5332,33.8786,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,164.82763229647628,0.691537,0.351079,0.521308,62.9937,43.0,,,,,,0.980009,0.980652,0.958703,0.96516,0.967706,0.961761,37.3408,38.9157,35.1899,35.9242,35.8244,34.8852,0.9689985,36.346700000000006,30.2988,34.4711,33.8666,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,165.91355406621986,0.699841,0.353409,0.526625,62.9574,53.0,,,,,,0.973534,0.973597,0.94833,0.955991,0.954598,0.947908,34.9471,36.3813,33.2078,33.9881,33.36,32.5107,0.958993,34.06583333333333,30.3528,34.5241,33.8702,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,165.91251680181054,0.713517,0.360745,0.537131,62.9881,50.0,,,,,,0.976277,0.977598,0.953725,0.959583,0.963882,0.959638,35.8751,37.9003,34.1169,34.5896,35.0398,34.4892,0.9651171666666666,35.33515,30.3555,34.5608,33.8429,
