pc_file,encT,decT,bpp,y_psnr,cb_psnr,cr_psnr,ssim,vmaf,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1184.ply,-1.0,-1.0,134.89175805262423,,,,,,0.679238,0.484996,0.582117,62.4187,98.0,,,,,,29.9937,34.2599,33.8529,
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1108.ply,-1.0,-1.0,139.23762997395536,,,,,,0.708139,0.55041,0.629274,62.0108,245.0,,,,,,30.0754,34.4845,34.0101,
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1253.ply,-1.0,-1.0,161.85999618310206,,,,,,0.677194,0.475054,0.576124,62.2218,109.0,,,,,,30.7177,34.8852,34.2761,
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1261.ply,-1.0,-1.0,151.00891906706534,,,,,,0.645023,0.463599,0.554311,62.5481,97.0,,,,,,30.8874,34.8692,34.3413,
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1205.ply,-1.0,-1.0,146.94732100204698,,,,,,0.651667,0.457688,0.554678,62.4791,70.0,,,,,,30.1105,34.2406,33.8713,
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1289.ply,-1.0,-1.0,141.80325746592177,,,,,,0.711014,0.503549,0.607282,62.3453,116.0,,,,,,30.2267,34.5209,33.6488,
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1237.ply,-1.0,-1.0,135.37266079437794,,,,,,0.726835,0.526572,0.626704,62.0934,97.0,,,,,,30.4753,34.6414,33.722,
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1196.ply,-1.0,-1.0,149.22345956584195,,,,,,0.706904,0.497121,0.602012,62.1018,54.0,,,,,,29.7155,33.9958,33.5546,
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1241.ply,-1.0,-1.0,140.48122022957392,,,,,,0.721785,0.523983,0.622884,62.1043,146.0,,,,,,30.2077,34.4703,33.5344,
/home/p/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/longdress_dec_1273.ply,-1.0,-1.0,135.9349274058199,,,,,,0.702123,0.500152,0.601138,62.3238,72.0,,,,,,30.764,34.6914,34.014,
