pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,42.01926037546633,1.68793,0.996524,1.34223,58.7549,197.0,,,,,,0.963082,0.976144,0.932053,0.934539,0.946085,0.939519,31.477,36.2076,30.0724,30.4263,32.1057,31.2964,0.9485703333333334,31.930899999999998,25.1262,31.5412,30.6714,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,41.4817137074683,1.68133,0.988992,1.33516,58.8159,131.0,,,,,,0.972495,0.978994,0.940005,0.950588,0.94713,0.940858,34.3536,37.5375,31.8807,33.1826,32.4268,31.6447,0.9550116666666666,33.50431666666666,25.126,31.5499,30.8027,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,41.068039547755816,1.67961,1.00198,1.34079,58.822,158.0,,,,,,0.967758,0.974683,0.940191,0.949869,0.937814,0.934743,33.0442,35.6452,31.9011,33.2496,30.8945,30.4571,0.950843,32.53195,25.2014,31.627,30.7217,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,40.49530794409048,1.64232,0.989598,1.31596,58.9785,154.0,,,,,,0.965623,0.973818,0.935504,0.941626,0.944574,0.94053,32.246,35.9366,31.0899,31.8673,31.7346,31.3609,0.9502791666666667,32.37255,25.3436,31.6577,30.7679,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,39.923317610101904,1.65494,1.05435,1.35464,58.8839,166.0,,,,,,0.971429,0.975318,0.938832,0.94893,0.947008,0.940588,34.0132,36.798,31.7542,33.0498,32.1589,31.4044,0.9536841666666667,33.196416666666664,25.4591,31.6343,30.8451,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,39.93084775039274,1.65141,1.04504,1.34822,58.883,218.0,,,,,,0.972541,0.975339,0.940388,0.951932,0.949154,0.941749,34.439,36.6798,31.9523,33.731,32.5867,31.7347,0.9551838333333333,33.520583333333335,25.5167,31.8524,30.9875,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,39.900496846198386,1.61327,0.998141,1.30571,59.0175,145.0,,,,,,0.972058,0.975335,0.939368,0.95036,0.949774,0.94166,34.2815,36.7119,31.7879,33.3724,32.6219,31.6736,0.9547591666666665,33.4082,25.4407,31.6704,30.9258,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,39.97276122971967,1.61903,0.985954,1.30249,59.0168,129.0,,,,,,0.97245,0.973748,0.940399,0.951039,0.94862,0.941748,34.4101,36.1801,32.0302,33.5865,32.5703,31.6766,0.9546673333333334,33.40896666666667,25.4081,31.6154,30.9437,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,40.236110833249974,1.6939,1.03983,1.36686,58.8152,154.0,,,,,,0.969183,0.97092,0.936654,0.942717,0.946187,0.938695,33.5968,35.4897,31.31,31.9832,32.0667,31.1288,0.950726,32.595866666666666,25.4445,31.6687,30.8239,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,40.235859283664574,1.72045,1.05319,1.38682,58.8687,116.0,,,,,,0.972779,0.97278,0.94017,0.951415,0.946692,0.93992,34.7958,36.0666,31.9017,33.6164,32.2261,31.4961,0.9539593333333332,33.35045,25.4543,31.6225,30.7272,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1061.ply,-1.0,-1.0,40.16775493339957,1.83411,1.11413,1.47412,58.5371,281.0,,,,,,0.969697,0.971009,0.936871,0.945518,0.945643,0.939509,33.5791,35.1744,31.3911,32.3223,32.0383,31.4221,0.9513745,32.65455,25.3888,31.612,30.7872,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1062.ply,-1.0,-1.0,40.36643259096463,1.81498,1.07289,1.44394,58.6023,170.0,,,,,,0.972696,0.972075,0.939562,0.951788,0.945151,0.938526,34.4996,35.8166,31.7884,33.3921,32.0737,31.3008,0.9532996666666665,33.1452,25.4212,31.4946,30.6906,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1063.ply,-1.0,-1.0,40.64656100161175,1.79676,1.0817,1.43923,58.6007,161.0,,,,,,0.970338,0.96994,0.938371,0.950298,0.940528,0.935252,33.262,34.8901,31.5688,32.9857,31.3347,30.6638,0.9507878333333334,32.450849999999996,25.3255,31.4553,30.6351,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1064.ply,-1.0,-1.0,40.62049604136371,1.76396,1.10209,1.43303,58.6073,230.0,,,,,,0.968743,0.970824,0.934211,0.942244,0.9433,0.938939,32.7026,35.4124,30.7261,31.6433,31.73,31.3174,0.9497101666666667,32.2553,25.2683,31.4705,30.6614,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1065.ply,-1.0,-1.0,40.450359762873276,1.70769,1.09559,1.40164,58.6938,294.0,,,,,,0.97108,0.970702,0.93802,0.949449,0.938223,0.936445,33.5331,35.5097,31.3589,32.832,31.0832,30.7166,0.9506531666666667,32.505583333333334,25.4668,31.4339,30.6176,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1066.ply,-1.0,-1.0,40.37225664721609,1.78283,1.08331,1.43307,58.6058,480.0,,,,,,0.971708,0.970675,0.939873,0.951311,0.936946,0.937459,33.88,35.5425,31.632,33.2366,30.9581,30.8695,0.9513286666666666,32.68645,25.429,31.4694,30.7055,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1067.ply,-1.0,-1.0,40.558546613192306,1.70329,1.06514,1.38421,58.7268,166.0,,,,,,0.968513,0.969463,0.93705,0.948825,0.933709,0.937547,32.8097,34.8932,31.2837,32.8582,30.4575,30.8164,0.9491845000000002,32.18645,25.3905,31.5147,30.7316,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1068.ply,-1.0,-1.0,40.43587343194159,1.73814,1.11295,1.42554,58.5889,196.0,,,,,,0.973593,0.973946,0.939184,0.953228,0.941533,0.9447,34.7503,36.429,31.7056,33.6388,31.8471,32.1581,0.954364,33.421483333333335,25.4293,31.5539,30.713,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1069.ply,-1.0,-1.0,40.46246507545713,1.72209,1.13561,1.42885,58.5538,205.0,,,,,,0.973257,0.973798,0.939582,0.949919,0.93969,0.942867,34.7594,36.4435,31.6533,32.9938,31.6422,31.9181,0.9531855,33.23505,25.3762,31.4418,30.6689,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1070.ply,-1.0,-1.0,40.31353605003107,1.73116,1.07035,1.40076,58.6132,170.0,,,,,,0.969613,0.969611,0.93964,0.949556,0.931048,0.937161,33.4615,34.4628,31.568,32.8709,30.3404,30.5757,0.9494381666666666,32.21321666666667,25.3779,31.4719,30.5913,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1071.ply,-1.0,-1.0,40.270854868784966,1.73886,1.07062,1.40474,58.5968,243.0,,,,,,0.970499,0.970207,0.94187,0.95311,0.931544,0.936512,33.7379,34.6912,31.9582,33.5919,30.4902,30.6389,0.9506236666666666,32.51805,25.3398,31.4367,30.5982,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1072.ply,-1.0,-1.0,40.68844777074332,1.51851,1.04868,1.2836,58.9707,217.0,,,,,,0.970876,0.972284,0.941155,0.949688,0.936858,0.940999,33.9415,35.2855,31.775,32.8773,31.2966,31.593,0.9519766666666666,32.79481666666667,25.4564,31.7073,31.0274,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1073.ply,-1.0,-1.0,40.97391384067669,1.65481,0.994229,1.32452,58.8169,213.0,,,,,,0.972895,0.974766,0.952247,0.949123,0.93635,0.943123,34.8772,35.9286,33.5618,33.0277,31.2398,32.011,0.9547506666666666,33.44101666666667,25.5366,31.7668,30.918,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1074.ply,-1.0,-1.0,41.296245391277786,1.61155,1.00126,1.30641,58.8472,290.0,,,,,,0.973388,0.976388,0.953133,0.949178,0.938683,0.944722,34.9334,36.4147,33.7658,32.8957,31.6047,32.308,0.9559153333333333,33.65371666666667,25.627,31.8645,30.9893,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1075.ply,-1.0,-1.0,41.67419790147663,1.68401,1.03258,1.35829,58.6717,139.0,,,,,,0.970301,0.973589,0.95114,0.94935,0.931181,0.937351,33.9665,35.1195,33.3581,32.9772,30.4668,31.0661,0.9521519999999999,32.825700000000005,25.5774,31.8753,30.9238,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1076.ply,-1.0,-1.0,42.010099374924934,1.70445,1.03622,1.37034,58.6035,121.0,,,,,,0.97247,0.978404,0.94479,0.953095,0.937146,0.939911,34.8483,37.5032,32.289,33.5721,31.2972,31.671,0.9543026666666669,33.53013333333333,25.5348,31.7875,31.0019,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1077.ply,-1.0,-1.0,41.990803037816114,1.70678,1.04484,1.37581,58.5726,193.0,,,,,,0.973412,0.976009,0.94613,0.946388,0.948,0.938743,35.1218,36.3064,32.4824,32.4132,32.8606,31.6714,0.9547803333333333,33.47596666666667,25.8072,31.8284,31.0341,
