pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1051.ply,-1.0,-1.0,87.68497076993188,2.24237,1.61534,1.92886,57.1802,198.0,,,,,,0.961536,0.972748,0.932251,0.933592,0.940078,0.935713,31.3,35.896,30.426,30.5006,31.1877,30.6116,0.9459863333333333,31.653650000000003,26.7796,32.9431,31.8431,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1052.ply,-1.0,-1.0,86.56322889609343,2.18433,1.66392,1.92413,57.2289,182.0,,,,,,0.959428,0.968011,0.947058,0.950562,0.919497,0.911895,29.7835,33.2904,32.7233,32.9919,27.5958,26.7333,0.9427418333333334,30.5197,26.8663,32.9113,31.8234,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1053.ply,-1.0,-1.0,85.69998174993842,2.21384,1.63181,1.92283,57.2562,171.0,,,,,,0.965374,0.96999,0.951229,0.954276,0.932126,0.928421,32.5783,34.6883,33.6709,33.9179,30.0746,29.6859,0.950236,32.43598333333333,26.9,32.9407,31.8108,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1054.ply,-1.0,-1.0,84.50481664047035,2.25304,1.72186,1.98745,57.1879,134.0,,,,,,0.962368,0.966564,0.947888,0.950894,0.925354,0.92121,31.3575,33.77,33.0755,33.3264,29.0305,28.5219,0.945713,31.51363333333333,26.9924,32.9796,31.9317,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1055.ply,-1.0,-1.0,83.31119839806657,2.22125,1.69615,1.9587,57.2825,145.0,,,,,,0.963469,0.968225,0.941812,0.942465,0.936997,0.931352,31.7278,34.7748,31.8946,31.928,30.7077,29.9852,0.9473866666666666,31.836349999999996,27.0527,33.0212,31.8832,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1056.ply,-1.0,-1.0,83.32691214755657,2.23062,1.73578,1.9832,57.2069,250.0,,,,,,0.964642,0.967179,0.951172,0.950519,0.93245,0.927803,32.0359,34.43,33.5988,33.1677,30.0039,29.5121,0.9489608333333334,32.12473333333334,27.0329,33.0074,31.943,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1057.ply,-1.0,-1.0,83.26357647426431,2.25647,1.75171,2.00409,57.1567,201.0,,,,,,0.970819,0.97177,0.935703,0.937141,0.93775,0.933408,34.0856,36.3181,31.2111,31.0888,30.7402,30.2508,0.9477651666666667,32.28243333333334,26.8864,32.8868,31.8473,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1058.ply,-1.0,-1.0,83.41437637650321,2.2661,1.70296,1.98453,57.188,235.0,,,,,,0.963019,0.967095,0.931612,0.932734,0.948883,0.947947,31.6214,34.7082,30.4185,30.5196,32.4371,32.5016,0.9485483333333334,32.0344,26.8801,32.8342,31.8534,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1059.ply,-1.0,-1.0,83.96392917875363,2.26458,1.78126,2.02292,57.1126,189.0,,,,,,0.961183,0.960238,0.946176,0.947564,0.921961,0.915235,30.5154,31.8451,32.7329,32.6825,28.246,27.432,0.9420594999999999,30.57565,26.9629,32.9208,31.8561,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4/decompressed/longdress_dec_1060.ply,-1.0,-1.0,83.96340424999843,2.23465,1.73752,1.98608,57.3089,140.0,,,,,,0.962496,0.960106,0.950634,0.951561,0.922109,0.914244,30.9001,31.9376,33.4935,33.3461,28.3393,27.4503,0.9435250000000001,30.911150000000003,27.0805,33.0194,31.8753,
