pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,23.71873322878323,3.05457,3.19946,3.12702,55.0819,321.0,,,,,,,,,,0.3436,,,,,,16.8421,,,,24.147,30.8644,29.8953,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,23.41530270900876,2.98089,3.33856,3.15973,55.0748,420.0,,,,,,,,,,0.382206,,,,,,19.0546,,,,24.1223,30.8743,29.8363,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,23.181794861650495,3.08127,3.45841,3.26984,54.9504,446.0,,,,,,,,,,0.39692,,,,,,19.3757,,,,24.1661,30.8825,29.8347,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,22.858503399648395,3.37841,3.42662,3.40252,54.8529,553.0,,,,,,,,,,0.352794,,,,,,18.1647,,,,24.3208,30.9765,29.8842,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,22.535630364281054,3.17961,3.48945,3.33453,54.9718,675.0,,,,,,,,,,0.390397,,,,,,19.3226,,,,24.3376,30.9871,29.8329,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,22.53988092431323,3.2544,3.60365,3.42903,54.8289,404.0,,,,,,,,,,0.367693,,,,,,18.6433,,,,24.3469,30.9371,29.926,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,22.52274866178872,3.27369,3.50967,3.39168,54.8718,330.0,,,,,,,,,,0.356287,,,,,,18.6986,,,,24.246,30.8753,29.9158,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,22.56353994700812,3.19723,3.61952,3.40837,54.8391,408.0,,,,,,,,,,0.382167,,,,,,19.3521,,,,24.2168,30.8161,29.8284,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,22.71219365809743,3.18046,3.64364,3.41205,54.8423,342.0,,,,,,,,,,0.428315,,,,,,20.2917,,,,24.2678,30.8559,29.8329,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,22.712051665176645,3.23097,3.52639,3.37868,55.0014,222.0,,,,,,,,,,0.435003,,,,,,20.3188,,,,24.3889,30.889,29.8381,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1061.ply,-1.0,-1.0,22.673608605940924,3.32628,3.53259,3.42943,54.8702,397.0,,,,,,,,,,0.378827,,,,,,18.8311,,,,24.4126,30.9244,29.8044,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1062.ply,-1.0,-1.0,22.785756756960176,3.17684,3.778,3.47742,54.7852,557.0,,,,,,,,,,0.354704,,,,,,17.9899,,,,24.3887,30.8092,29.8553,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1063.ply,-1.0,-1.0,22.94388164974914,3.17259,3.83216,3.50238,54.7383,592.0,,,,,,,,,,0.431153,,,,,,20.4739,,,,24.3576,30.8571,29.8393,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1064.ply,-1.0,-1.0,22.92916868637906,2.99975,3.93559,3.46767,54.7695,491.0,,,,,,,,,,0.403666,,,,,,19.6757,,,,24.3842,30.7837,29.8051,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1065.ply,-1.0,-1.0,22.833131370015234,3.14807,3.45566,3.30186,54.9726,349.0,,,,,,,,,,0.390008,,,,,,19.4931,,,,24.4317,30.8965,29.9808,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1066.ply,-1.0,-1.0,22.789044278808575,3.08897,3.60073,3.34485,54.9247,410.0,,,,,,,,,,0.426401,,,,,,20.3067,,,,24.452,30.8691,29.8968,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1067.ply,-1.0,-1.0,22.894199913788974,3.08386,3.67366,3.37876,54.8512,417.0,,,,,,,,,,0.378197,,,,,,18.8664,,,,24.4251,30.795,29.9592,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1068.ply,-1.0,-1.0,22.824954228967,3.01945,3.53123,3.27534,54.9762,534.0,,,,,,,,,,0.416613,,,,,,19.9118,,,,24.48,30.8961,29.8304,
