pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,351.0117795150564,0.747327,0.267653,0.50749,62.9789,85.0,,,,,,0.969925,0.9812,0.951523,0.951417,0.96473,0.959057,33.6481,39.3404,33.2578,33.2265,35.2068,34.1891,0.9629753333333335,34.81145,29.6363,35.1203,34.4016,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,346.5213336856828,0.74042,0.274829,0.507624,63.0159,110.0,,,,,,0.978901,0.983753,0.964962,0.966585,0.967351,0.963221,36.9864,41.2451,36.1933,36.3023,35.8164,35.2004,0.9707954999999999,36.957316666666664,29.6262,35.1002,34.3749,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,343.06566831597877,0.745874,0.276696,0.511285,63.009,38.0,,,,,,0.979797,0.98272,0.964094,0.966094,0.966777,0.964321,37.6765,40.0518,36.3028,36.4116,35.6707,35.6347,0.9706338333333333,36.95801666666666,29.7737,35.1561,34.4012,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,338.2813018709077,0.754561,0.285146,0.519853,63.0121,73.0,,,,,,0.982594,0.982615,0.949571,0.952421,0.955086,0.952347,38.9612,40.1302,33.4822,33.4784,33.4208,33.1335,0.9624389999999998,35.43438333333334,29.8123,35.1971,34.4414,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,333.50312769067006,0.761722,0.295299,0.528511,62.9716,64.0,,,,,,0.978846,0.980494,0.96488,0.966025,0.967225,0.963045,36.589,39.2193,36.3457,36.3067,35.8105,35.0411,0.9700858333333334,36.55205,29.8409,35.1944,34.4305,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,333.5660314143402,0.776669,0.299152,0.53791,62.8735,67.0,,,,,,0.981941,0.982599,0.967718,0.968515,0.969667,0.965854,38.5408,40.1378,37.2782,37.0584,36.4272,35.8847,0.9727156666666668,37.554516666666665,29.8105,35.1034,34.4224,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,333.31249232783665,0.78822,0.307306,0.547763,62.79,59.0,,,,,,0.980378,0.981176,0.964809,0.96547,0.963777,0.959437,37.7284,39.5356,36.3527,36.2077,35.0771,34.4712,0.9691745000000002,36.562116666666675,29.6713,35.0513,34.3585,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,333.9161595420786,0.782451,0.305622,0.544037,62.8083,40.0,,,,,,0.980538,0.98098,0.962841,0.963114,0.965622,0.962666,37.9771,39.4248,35.9539,35.5477,35.5508,35.087,0.9692935,36.59021666666666,29.6849,35.0513,34.3204,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,336.1160748224467,0.766284,0.294805,0.530544,62.9252,43.0,,,,,,0.977281,0.975922,0.954708,0.957045,0.954614,0.948862,36.296,37.3522,34.2917,34.3289,33.4558,32.71,0.9614053333333333,34.7391,29.7741,35.1211,34.3859,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,336.11397347970967,0.771981,0.302988,0.537484,62.9852,38.0,,,,,,0.981403,0.979703,0.966508,0.968185,0.96773,0.962462,38.353,38.7393,36.9721,36.8992,36.0939,35.2508,0.9709985,37.05138333333333,29.8187,35.2109,34.4328,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1061.ply,-1.0,-1.0,335.5450574881947,0.771209,0.30464,0.537925,62.9152,37.0,,,,,,0.980082,0.979222,0.96496,0.967166,0.966895,0.963044,37.5901,38.5056,36.4615,36.4073,35.849,35.3312,0.9702281666666667,36.69078333333333,29.8962,35.2158,34.445,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1062.ply,-1.0,-1.0,337.2047296839602,0.808831,0.353466,0.581148,62.5549,77.0,,,,,,0.981121,0.980241,0.962932,0.965566,0.970157,0.965266,37.9569,39.1751,36.0001,36.0575,36.8291,36.135,0.9708804999999999,37.02561666666667,29.8013,34.9743,34.198,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1063.ply,-1.0,-1.0,339.54480828209233,0.750104,0.304972,0.527538,62.9594,61.0,,,,,,0.977002,0.977926,0.958083,0.961621,0.966843,0.961199,35.8454,38.2847,34.7071,35.0838,35.9836,35.0897,0.9671123333333332,35.83238333333333,29.8034,35.0034,34.3027,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=1/decompressed/longdress_dec_1064.ply,-1.0,-1.0,339.3270722249152,0.812602,0.39146,0.602031,62.3737,56.0,,,,,,0.978604,0.976648,0.966183,0.966292,0.960769,0.957388,36.5967,37.7445,36.7664,36.0721,34.6991,34.1635,0.9676473333333333,36.00705,29.7651,34.858,34.0869,
