pc_file,encT,decT,bpp,y_psnr,cb_psnr,cr_psnr,ssim,vmaf,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1203.ply,-1.0,-1.0,156.3983978372048,,,,,,0.427338,0.340925,0.384131,64.049,50.0,,,,,,29.8493,34.9161,34.5721,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1158.ply,-1.0,-1.0,151.0912441220472,,,,,,0.415849,0.341951,0.3789,64.2622,97.0,,,,,,30.2929,35.2042,34.769,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1231.ply,-1.0,-1.0,143.3104596167216,,,,,,0.454621,0.377746,0.416184,63.9023,97.0,,,,,,30.5987,35.3745,34.7243,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1255.ply,-1.0,-1.0,171.01976592588153,,,,,,0.429907,0.338011,0.383959,63.9891,82.0,,,,,,30.674,35.6418,35.1257,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1182.ply,-1.0,-1.0,142.25278249301402,,,,,,0.446518,0.405956,0.426237,63.8184,104.0,,,,,,29.7484,34.7481,34.2279,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1267.ply,-1.0,-1.0,153.0911640782678,,,,,,0.433331,0.352408,0.39287,64.1628,56.0,,,,,,30.419,35.4898,34.9262,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1211.ply,-1.0,-1.0,153.21822231715132,,,,,,0.454937,0.382941,0.418939,63.8159,102.0,,,,,,30.3605,35.246,34.6876,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1178.ply,-1.0,-1.0,149.087285799624,,,,,,0.422529,0.335887,0.379208,64.3757,182.0,,,,,,29.7593,34.8177,34.3243,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1223.ply,-1.0,-1.0,143.44080541790024,,,,,,0.438823,0.38178,0.410301,64.0073,94.0,,,,,,30.7026,35.2823,34.8299,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1247.ply,-1.0,-1.0,161.36106501589376,,,,,,0.449692,0.361699,0.405695,63.9665,59.0,,,,,,30.3218,35.4003,34.9309,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1190.ply,-1.0,-1.0,147.78847387709598,,,,,,0.420639,0.346672,0.383655,64.1366,54.0,,,,,,29.6469,34.8273,34.2977,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1275.ply,-1.0,-1.0,140.517809930399,,,,,,0.442945,0.361893,0.402419,64.0463,65.0,,,,,,30.9979,35.5393,34.8863,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1227.ply,-1.0,-1.0,141.1091752338602,,,,,,0.446869,0.371188,0.409029,64.0058,106.0,,,,,,30.854,35.5114,34.9159,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1215.ply,-1.0,-1.0,149.63801422768105,,,,,,0.447836,0.366275,0.407055,64.0166,77.0,,,,,,30.5825,35.3921,34.7907,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1299.ply,-1.0,-1.0,146.7321534185347,,,,,,0.433253,0.357987,0.39562,64.1403,129.0,,,,,,30.0918,35.3375,34.4861,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1271.ply,-1.0,-1.0,145.14119224899412,,,,,,0.453203,0.387503,0.420353,63.8918,82.0,,,,,,30.677,35.5376,34.9447,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1194.ply,-1.0,-1.0,156.04360526544767,,,,,,0.424091,0.370764,0.397427,63.9375,139.0,,,,,,29.4568,34.6234,34.1647,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1243.ply,-1.0,-1.0,152.57742784704277,,,,,,0.430565,0.351497,0.391031,64.1273,160.0,,,,,,30.2336,35.2976,34.6501,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1118.ply,-1.0,-1.0,153.77188179451846,,,,,,0.424582,0.370471,0.397526,63.9279,113.0,,,,,,30.5515,35.4146,35.0113,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1235.ply,-1.0,-1.0,139.13206158647685,,,,,,0.464781,0.391334,0.428058,63.76,86.0,,,,,,30.7065,35.552,34.7575,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1207.ply,-1.0,-1.0,155.00164218210193,,,,,,0.428629,0.350838,0.389734,64.0511,83.0,,,,,,30.0295,34.941,34.5249,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1138.ply,-1.0,-1.0,137.21813477675843,,,,,,0.431971,0.360619,0.396295,64.1565,110.0,,,,,,30.3212,35.3148,34.5807,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1263.ply,-1.0,-1.0,155.3734343284321,,,,,,0.445702,0.367387,0.406544,63.9526,101.0,,,,,,30.6011,35.532,35.0597,
/home/p/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4/decompressed/longdress_dec_1186.ply,-1.0,-1.0,144.04187621411302,,,,,,0.436946,0.384969,0.410958,63.9045,91.0,,,,,,29.6428,34.8163,34.2682,
