pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,57.25834104836509,0.822712,0.661855,0.742283,61.3275,158.0,,,,,,0.967827,0.978549,0.944213,0.947248,0.947982,0.942702,33.1986,37.4367,32.389,32.6661,32.3631,31.8367,0.9547534999999999,33.31503333333334,26.6473,33.0692,32.3467,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,56.52584289940638,0.844393,0.676138,0.760266,61.2616,154.0,,,,,,0.971395,0.979886,0.948526,0.951383,0.953754,0.948362,34.2152,38.3474,33.372,33.552,33.3828,32.8636,0.9588843333333333,34.288833333333336,26.6701,32.9886,32.2918,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,55.96214197016434,0.82026,0.675202,0.747731,61.3582,170.0,,,,,,0.971045,0.977578,0.949031,0.950489,0.947392,0.945087,34.1663,37.1822,33.5638,33.4355,32.3928,32.1617,0.9567703333333334,33.81705,26.7643,33.071,32.3199,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,55.18169840217155,0.848662,0.737447,0.793055,61.1779,174.0,,,,,,0.97513,0.978981,0.945587,0.946866,0.950317,0.947318,35.4574,38.3461,32.9827,32.7229,32.669,32.4798,0.9573665,34.10965000000001,26.8286,33.1151,32.321,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,54.40226493934439,0.878124,0.707921,0.793023,61.2093,141.0,,,,,,0.974974,0.977623,0.950008,0.951537,0.954908,0.949792,35.1599,37.8521,33.6987,33.6563,33.5439,32.9241,0.959807,34.472500000000004,26.8754,33.0864,32.4198,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,54.41252602764204,0.904962,0.752455,0.828708,60.9966,178.0,,,,,,0.9757,0.978052,0.952898,0.95401,0.956295,0.950699,35.5405,37.591,34.4412,34.2261,33.8558,33.2885,0.9612756666666668,34.82385,26.8316,33.0946,32.3593,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,54.371167793157234,0.927665,0.735901,0.831783,60.9758,120.0,,,,,,0.974282,0.97593,0.949468,0.951497,0.951998,0.94618,35.3539,36.9629,33.6901,33.684,33.1129,32.3973,0.9582258333333332,34.200183333333335,26.7637,32.9724,32.2744,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,54.469640224140996,0.88224,0.730691,0.806466,61.0987,118.0,,,,,,0.973223,0.975875,0.947016,0.948821,0.95391,0.94935,35.0455,37.1167,33.2031,33.2241,33.4963,32.98,0.9580325,34.17761666666666,26.7481,32.9908,32.292,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,54.82849854956487,0.896929,0.721174,0.809051,61.0927,161.0,,,,,,0.974201,0.974334,0.950931,0.952219,0.952841,0.947559,35.1303,36.5878,34.041,33.7757,33.2846,32.5627,0.9586808333333333,34.230349999999994,26.7611,33.0785,32.3102,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,54.82815577075766,0.839439,0.692655,0.766047,61.4463,104.0,,,,,,0.971186,0.972895,0.944257,0.945219,0.950707,0.946505,34.2354,35.9887,32.5881,32.5385,32.9431,32.5962,0.9551281666666668,33.48166666666666,26.8147,33.1303,32.307,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1061.ply,-1.0,-1.0,54.735352087886845,0.865613,0.701809,0.783711,61.2809,110.0,,,,,,0.9707,0.972435,0.943348,0.945695,0.949842,0.946296,33.8839,35.6597,32.5715,32.569,32.8594,32.5419,0.9547193333333334,33.347566666666665,26.8477,33.1313,32.4057,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1062.ply,-1.0,-1.0,55.00608396117304,0.871869,0.822348,0.847108,60.9184,198.0,,,,,,0.974931,0.975313,0.947461,0.950226,0.952938,0.949431,35.5445,36.8669,33.2493,33.3696,33.5055,33.1478,0.9583833333333333,34.2806,26.8938,33.0599,32.2711,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1063.ply,-1.0,-1.0,55.387806245926406,0.873566,0.717783,0.795674,61.1746,123.0,,,,,,0.975786,0.974988,0.952803,0.956321,0.952255,0.947424,35.5926,36.7646,34.2781,34.5274,33.334,32.8029,0.9599294999999999,34.549933333333335,26.8523,33.0217,32.2632,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1064.ply,-1.0,-1.0,55.35228833414122,0.902892,0.897407,0.90015,60.6267,164.0,,,,,,0.974271,0.973725,0.946973,0.950789,0.950781,0.946702,34.7818,36.5883,33.0852,33.2846,33.1168,32.6324,0.9572068333333332,33.914849999999994,26.8102,32.9696,32.2683,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1065.ply,-1.0,-1.0,55.120448911660745,0.895444,0.738876,0.81716,61.0371,122.0,,,,,,0.975237,0.974525,0.951063,0.955055,0.95017,0.948712,35.1845,36.8493,33.8859,34.1655,33.1119,32.8549,0.959127,34.342000000000006,26.8946,32.9742,32.2965,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1066.ply,-1.0,-1.0,55.01402022173906,0.894425,0.732505,0.813465,61.0651,110.0,,,,,,0.974341,0.97577,0.948404,0.953288,0.952694,0.951471,34.9326,37.417,33.3412,33.821,33.6064,33.4962,0.9593280000000001,34.43573333333333,26.8759,32.9929,32.3565,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1067.ply,-1.0,-1.0,55.26787177244323,0.872851,0.728741,0.800796,61.1036,98.0,,,,,,0.974965,0.975134,0.949912,0.954708,0.94642,0.948559,35.2995,37.0997,33.6689,34.0147,32.5572,32.5588,0.9582830000000001,34.1998,26.8588,32.9639,32.3338,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1068.ply,-1.0,-1.0,55.10070883842731,0.937201,0.773004,0.855103,60.8085,121.0,,,,,,0.976488,0.975526,0.950476,0.956124,0.951864,0.953153,36.3115,37.0647,33.8925,34.3371,33.5706,33.7671,0.9606051666666667,34.82391666666667,26.88,32.9682,32.2782,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1069.ply,-1.0,-1.0,55.13694444514301,0.894085,0.78745,0.840767,60.8569,145.0,,,,,,0.971744,0.972918,0.943341,0.949526,0.946734,0.95044,34.3906,35.7988,32.3952,33.0593,32.6908,33.1977,0.9557838333333333,33.58873333333333,26.8457,32.9612,32.1449,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1070.ply,-1.0,-1.0,54.93400348774279,0.865278,0.706939,0.786109,61.1221,114.0,,,,,,0.974498,0.975448,0.948928,0.953339,0.951187,0.953294,35.2437,37.082,33.4125,33.8004,33.6278,33.8447,0.9594489999999999,34.50185,26.7699,32.9255,32.2245,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1071.ply,-1.0,-1.0,54.87584316768243,0.909346,0.727832,0.818589,60.9421,250.0,,,,,,0.972652,0.971996,0.952788,0.956783,0.936424,0.941888,34.6536,35.2728,34.1185,34.4636,31.189,31.5508,0.9554218333333333,33.541383333333336,26.7712,32.9069,32.2429,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1072.ply,-1.0,-1.0,55.44488404527172,0.851386,0.687856,0.769621,61.1922,101.0,,,,,,0.975481,0.97615,0.951547,0.956161,0.946247,0.949364,36.0337,36.8356,33.731,34.3043,32.738,33.1153,0.9591583333333333,34.45965,26.7646,32.9698,32.359,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1073.ply,-1.0,-1.0,55.83387979255347,0.841367,0.680093,0.76073,61.2251,205.0,,,,,,0.975344,0.977322,0.946056,0.95082,0.941845,0.947778,35.9938,37.2319,32.4887,33.1976,31.9804,32.7864,0.9565275,33.94646666666667,26.9124,33.1381,32.4302,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1074.ply,-1.0,-1.0,56.273110985345774,0.881045,0.682592,0.781819,61.0769,314.0,,,,,,0.970367,0.975289,0.942932,0.948398,0.945811,0.950583,33.867,36.1998,31.7496,32.7056,32.699,33.3786,0.9555633333333334,33.43326666666667,27.042,33.3731,32.5993,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1075.ply,-1.0,-1.0,56.78813513226499,0.873848,0.715316,0.794582,61.0003,129.0,,,,,,0.96877,0.974834,0.939391,0.942885,0.946459,0.949078,33.2007,35.6674,31.1151,31.5175,32.8387,33.2504,0.9535695000000001,32.93163333333334,26.9393,33.2586,32.447,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1076.ply,-1.0,-1.0,57.24585763745646,0.896716,0.689153,0.792935,60.9794,212.0,,,,,,0.972687,0.978443,0.944681,0.949746,0.945799,0.947928,34.9005,37.277,32.2216,32.8725,32.6976,33.0778,0.9565473333333334,33.841166666666666,26.9828,33.2768,32.5039,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/longdress_dec_1077.ply,-1.0,-1.0,57.21956311819819,0.86914,0.732944,0.801042,60.9216,180.0,,,,,,0.97472,0.978931,0.951359,0.954744,0.951811,0.950703,35.7357,37.6643,33.4822,34.0664,33.8055,33.8677,0.960378,34.7703,27.0393,33.2262,32.486,
