pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1051.ply,-1.0,-1.0,186.18615054954094,0.353856,0.330657,0.342256,64.6897,45.0,,,,,,0.979038,0.985033,0.966587,0.96729,0.968018,0.963681,37.055,41.5698,36.4285,36.2729,35.7933,35.1659,0.9716078333333334,37.04756666666667,32.136,35.6598,35.2971,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1052.ply,-1.0,-1.0,183.80429651496303,0.349244,0.339908,0.344576,64.6984,110.0,,,,,,0.98173,0.985409,0.968226,0.970695,0.968074,0.964487,38.3215,41.889,37.0573,37.2511,35.9341,35.4862,0.9731035,37.656533333333336,32.1183,35.6084,35.2613,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1053.ply,-1.0,-1.0,181.97131805007663,0.358024,0.340003,0.349013,64.6672,68.0,,,,,,0.983478,0.985826,0.968705,0.96998,0.970488,0.967977,39.4703,42.3913,37.267,37.1464,36.5054,36.1632,0.9744090000000001,38.157266666666665,32.2062,35.7239,35.3685,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1054.ply,-1.0,-1.0,179.43356056382694,0.362781,0.341153,0.351967,64.7059,137.0,,,,,,0.98193,0.983892,0.970388,0.971686,0.970698,0.96762,38.3393,41.0804,37.7827,37.7219,36.4696,36.1368,0.9743689999999999,37.92178333333334,32.2716,35.7633,35.3612,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1055.ply,-1.0,-1.0,176.89908762248365,0.365039,0.354937,0.359988,64.6393,160.0,,,,,,0.983126,0.984348,0.969816,0.97166,0.973766,0.970727,38.785,41.6172,37.5785,37.7308,37.3915,36.9176,0.9755738333333334,38.33676666666667,32.3696,35.7599,35.4017,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1056.ply,-1.0,-1.0,176.93245346046652,0.361337,0.359264,0.3603,64.614,64.0,,,,,,0.980733,0.983767,0.965635,0.966328,0.970911,0.966536,37.5744,41.0062,36.3376,36.2987,36.5353,35.7945,0.9723183333333333,37.257783333333336,32.2712,35.7155,35.3662,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1057.ply,-1.0,-1.0,176.79796946509987,0.369804,0.362283,0.366044,64.5406,107.0,,,,,,0.981883,0.982638,0.97041,0.971282,0.97037,0.966179,38.4882,40.3044,37.7631,37.6575,36.4467,35.8502,0.9737936666666668,37.75168333333333,32.1489,35.6296,35.3037,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1058.ply,-1.0,-1.0,177.11817089819124,0.371262,0.363141,0.367202,64.5155,50.0,,,,,,0.971489,0.977634,0.951315,0.951507,0.965123,0.963978,34.403,37.8406,33.4812,33.3285,35.1462,35.1902,0.9635076666666667,34.89828333333333,32.0868,35.5895,35.2084,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1059.ply,-1.0,-1.0,178.2850655196559,0.365894,0.361774,0.363834,64.5634,44.0,,,,,,0.972689,0.978024,0.948198,0.947912,0.967218,0.960979,34.6315,38.1,32.92,32.7236,35.691,34.529,0.9625033333333334,34.76585,32.2169,35.6656,35.2939,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1060.ply,-1.0,-1.0,178.28395091058,0.364651,0.353489,0.35907,64.7371,50.0,,,,,,0.983067,0.982922,0.965985,0.968023,0.964849,0.957924,36.6465,38.1098,36.1141,36.1641,34.6947,33.9333,0.9704616666666667,35.94375,32.2251,35.7159,35.2538,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1061.ply,-1.0,-1.0,177.98218246681836,0.365177,0.358353,0.361765,64.6382,97.0,,,,,,0.976669,0.979084,0.96095,0.963039,0.969244,0.966402,36.163,38.3953,35.2419,35.3289,36.2526,35.951,0.9692313333333334,36.222116666666665,32.2334,35.6875,35.3021,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1062.ply,-1.0,-1.0,178.86251753058914,0.370099,0.36227,0.366184,64.5608,83.0,,,,,,0.982286,0.982582,0.965356,0.968576,0.971432,0.967514,38.6865,40.2985,36.4057,36.6725,36.9346,36.3844,0.9729576666666665,37.5637,32.2481,35.6386,35.2217,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1063.ply,-1.0,-1.0,180.10375857033867,0.372344,0.358974,0.365659,64.5512,66.0,,,,,,0.983775,0.983245,0.967999,0.970856,0.971217,0.967303,39.371,40.7963,37.0147,37.425,36.9194,36.3769,0.9740658333333334,37.98388333333334,32.2137,35.5815,35.2104,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1064.ply,-1.0,-1.0,179.98826547099694,0.370428,0.360289,0.365358,64.5427,50.0,,,,,,0.982227,0.982732,0.9674,0.97041,0.973225,0.969573,38.106,40.5022,36.602,37.0535,37.4653,36.9192,0.9742611666666668,37.7747,32.2339,35.5789,35.2191,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1065.ply,-1.0,-1.0,179.23439644812728,0.358291,0.358081,0.358186,64.6191,72.0,,,,,,0.979571,0.978178,0.969653,0.972854,0.961471,0.958274,36.9063,38.2716,37.4357,37.8956,34.6019,34.1213,0.9700001666666668,36.53873333333333,32.3337,35.5506,35.2242,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_OM=4/decompressed/longdress_dec_1066.ply,-1.0,-1.0,178.88832375859874,0.367201,0.362423,0.364812,64.5478,73.0,,,,,,0.97407,0.976466,0.952505,0.957259,0.969392,0.966322,34.972,37.8648,33.4384,34.1245,36.454,36.0286,0.9660023333333333,35.48038333333333,32.2972,35.5207,35.2424,
