pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,62.24413276731769,0.732325,0.640969,0.686647,61.6659,170.0,,,,,,0.976263,0.982192,0.954302,0.957049,0.957315,0.952185,36.1859,39.7246,34.403,34.5847,33.9538,33.5262,0.9632176666666666,35.396366666666665,27.2112,33.2103,32.6288,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,61.44785206478933,0.698415,0.651004,0.67471,61.7801,144.0,,,,,,0.973469,0.980905,0.94698,0.949836,0.952972,0.950302,34.9338,38.8833,33.0612,33.117,33.197,33.1204,0.9590773333333332,34.38545,27.2132,33.1365,32.5704,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,60.83506666377388,0.711386,0.664092,0.687739,61.7214,140.0,,,,,,0.976287,0.980961,0.952107,0.954871,0.958086,0.954788,36.4055,39.078,34.1496,34.2323,34.2073,33.9236,0.9628499999999999,35.33271666666667,27.261,33.1761,32.6312,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,59.986665676701804,0.727244,0.661291,0.694267,61.7556,116.0,,,,,,0.969314,0.97674,0.944766,0.946661,0.952573,0.950239,33.5708,37.3273,32.6258,32.7479,33.0092,32.9736,0.9567155,33.7091,27.368,33.2401,32.6795,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,59.139362750084985,0.724263,0.699086,0.711675,61.6794,161.0,,,,,,0.96937,0.972654,0.95153,0.953308,0.940935,0.937749,33.2385,35.614,34.0424,33.967,31.2321,30.7482,0.9542576666666666,33.140366666666665,27.3889,33.2983,32.6368,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,59.15051732652995,0.758337,0.724712,0.741524,61.4793,101.0,,,,,,0.975319,0.978469,0.952447,0.954933,0.959489,0.95432,35.4961,38.1133,34.251,34.3789,34.3533,33.8728,0.9624961666666668,35.07756666666666,27.3487,33.2011,32.6437,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,59.10555780812338,0.758682,0.729573,0.744127,61.4594,130.0,,,,,,0.957028,0.967775,0.920198,0.921833,0.931581,0.921776,30.3078,33.6374,30.0509,30.0571,30.6057,29.757,0.9366985,30.735983333333337,27.2529,33.1142,32.5873,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,59.212604763306665,0.775988,0.704331,0.740159,61.4713,241.0,,,,,,0.97562,0.976095,0.94986,0.950757,0.95306,0.948946,35.9524,37.2593,33.7178,33.5826,33.2495,32.7668,0.9590563333333334,34.4214,27.226,33.1096,32.6221,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,59.602710813243974,0.757574,0.713358,0.735466,61.5068,77.0,,,,,,0.971076,0.974513,0.945674,0.94683,0.959223,0.954167,34.3313,36.7835,32.7816,32.77,34.4989,33.9117,0.9585805,34.1795,27.2824,33.1711,32.6163,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,59.60233818684239,0.757415,0.709504,0.73346,61.6351,74.0,,,,,,0.975761,0.975232,0.952335,0.953845,0.956977,0.951248,36.1092,37.0452,34.2125,34.1489,34.0582,33.4011,0.9608996666666667,34.82918333333333,27.3242,33.2397,32.591,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1061.ply,-1.0,-1.0,59.50145358815959,0.752096,0.712829,0.732463,61.5746,144.0,,,,,,0.974196,0.975613,0.949533,0.952743,0.959332,0.954009,35.2578,37.0784,33.6124,33.8005,34.5822,34.0805,0.9609043333333332,34.7353,27.3507,33.2378,32.6029,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1062.ply,-1.0,-1.0,59.79575954178364,0.77717,0.697166,0.737168,61.5221,126.0,,,,,,0.971341,0.972846,0.933816,0.938542,0.944315,0.937512,33.3428,35.0573,31.8508,31.8701,32.3305,31.9513,0.9497286666666666,32.7338,27.4077,33.1893,32.617,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1063.ply,-1.0,-1.0,60.21072043896302,0.771381,0.709723,0.740552,61.4864,134.0,,,,,,0.973313,0.973906,0.948693,0.952859,0.951207,0.947797,34.5761,36.3224,33.4018,33.6516,33.0419,32.7471,0.9579625000000002,33.95681666666667,27.3422,33.1428,32.5863,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1064.ply,-1.0,-1.0,60.17210979156568,0.783768,0.71283,0.748299,61.4291,128.0,,,,,,0.973671,0.972464,0.952366,0.956443,0.947933,0.94346,34.575,36.0449,33.9998,34.4596,32.5561,31.8377,0.9577228333333334,33.91218333333334,27.3485,33.0903,32.5948,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1065.ply,-1.0,-1.0,59.920082863621964,0.758493,0.712722,0.735607,61.4937,125.0,,,,,,0.971103,0.973105,0.933684,0.939315,0.942382,0.937496,33.0416,35.7139,31.6893,32.0273,32.1932,31.8463,0.9495141666666668,32.751933333333334,27.4444,33.1372,32.6455,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1066.ply,-1.0,-1.0,59.804386855242306,0.772723,0.721086,0.746904,61.4359,125.0,,,,,,0.975109,0.97653,0.947854,0.952743,0.952133,0.951369,35.3736,37.8385,33.0947,33.6721,33.4321,33.3169,0.9592896666666667,34.45465,27.4004,33.0859,32.5714,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1067.ply,-1.0,-1.0,60.08034262580634,0.746154,0.703472,0.724813,61.5366,107.0,,,,,,0.976366,0.976246,0.952751,0.957869,0.955102,0.954764,35.9104,37.6102,34.1957,34.7251,33.9082,33.9839,0.962183,35.05558333333333,27.3718,33.0651,32.525,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1068.ply,-1.0,-1.0,59.89862391604016,0.751718,0.719971,0.735844,61.4609,122.0,,,,,,0.974825,0.974658,0.95107,0.957189,0.949889,0.951353,35.3591,36.8286,33.8027,34.6157,33.0425,33.255,0.9598306666666666,34.48393333333333,27.3611,33.1358,32.5925,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1069.ply,-1.0,-1.0,59.93801475192572,0.758731,0.714904,0.736817,61.4301,113.0,,,,,,0.97006,0.970572,0.93983,0.945177,0.94384,0.945601,33.5404,35.2628,31.6879,32.2622,32.2198,32.1875,0.9525133333333334,32.860099999999996,27.3151,33.104,32.5162,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1070.ply,-1.0,-1.0,59.71740263384714,0.750015,0.700121,0.725068,61.4731,122.0,,,,,,0.974638,0.975382,0.950137,0.955071,0.952964,0.954534,35.393,37.0351,33.4703,34.1332,33.7656,34.0363,0.9604543333333333,34.63891666666667,27.2816,33.0323,32.4461,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1071.ply,-1.0,-1.0,59.65417798190396,0.752582,0.721732,0.737157,61.3971,149.0,,,,,,0.977386,0.977292,0.954353,0.958675,0.951762,0.953558,36.677,37.8363,34.3533,34.9107,33.5281,33.7978,0.962171,35.18386666666667,27.2455,33.0613,32.4617,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_r1/decompressed/longdress_dec_1072.ply,-1.0,-1.0,60.27276830929016,0.774872,0.748673,0.761772,61.2367,134.0,,,,,,0.975236,0.976777,0.94977,0.955766,0.953267,0.954362,35.8511,37.271,33.2481,34.1106,33.7921,34.0917,0.9608629999999999,34.72743333333334,27.2491,33.0462,32.5363,
