pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1051.ply,-1.0,-1.0,37.62966019474525,1.07314,0.929778,1.00146,60.0269,176.0,,,,,,,,,,0.511521,,,,,,24.6558,,,,24.9811,31.5447,30.8513,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1052.ply,-1.0,-1.0,37.14826908326834,1.07021,0.951687,1.01095,60.024,182.0,,,,,,,,,,0.496225,,,,,,24.6321,,,,24.9772,31.5851,30.8566,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1053.ply,-1.0,-1.0,36.77780996708608,1.10086,0.942546,1.0217,60.0024,225.0,,,,,,,,,,0.371517,,,,,,23.9947,,,,25.0835,31.6422,30.928,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1054.ply,-1.0,-1.0,36.26490956293471,1.09114,0.956663,1.0239,60.0683,149.0,,,,,,,,,,0.426611,,,,,,23.6585,,,,25.1394,31.6597,30.879,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1055.ply,-1.0,-1.0,35.75267299069757,1.10283,0.949796,1.02631,60.0894,149.0,,,,,,,,,,0.355035,,,,,,22.9725,,,,25.2673,31.7656,31.0024,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1056.ply,-1.0,-1.0,35.75941648446283,1.08957,0.987818,1.03869,60.0157,182.0,,,,,,,,,,0.520471,,,,,,24.8615,,,,25.1506,31.66,30.867,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1057.ply,-1.0,-1.0,35.73223622947425,1.12801,0.993999,1.061,59.9188,260.0,,,,,,,,,,0.407766,,,,,,24.1885,,,,25.148,31.5698,30.88,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1058.ply,-1.0,-1.0,35.79695141417266,1.13245,0.978689,1.05557,59.9297,125.0,,,,,,,,,,0.398305,,,,,,24.0994,,,,25.1099,31.5745,30.8847,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1059.ply,-1.0,-1.0,36.03278983695108,1.16846,1.01547,1.09196,59.7903,331.0,,,,,,,,,,0.409803,,,,,,24.2179,,,,25.1335,31.5973,30.8523,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1060.ply,-1.0,-1.0,36.03256456584121,1.14238,0.99676,1.06957,59.9968,113.0,,,,,,,,,,0.393348,,,,,,23.8681,,,,25.1958,31.683,30.8995,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1061.ply,-1.0,-1.0,35.97157483076838,1.15839,1.01151,1.08495,59.8683,145.0,,,,,,,,,,0.47765,,,,,,24.8518,,,,25.2502,31.6316,30.9626,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1062.ply,-1.0,-1.0,36.149497351908856,1.09406,0.987909,1.04098,60.0233,189.0,,,,,,,,,,0.508621,,,,,,24.9529,,,,25.2218,31.64,30.8181,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1063.ply,-1.0,-1.0,36.4003617605004,1.18213,0.989109,1.08562,59.8252,137.0,,,,,,,,,,0.474432,,,,,,24.9238,,,,25.1698,31.6052,30.9047,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1064.ply,-1.0,-1.0,36.37701971239296,1.11505,0.990072,1.05256,59.9474,210.0,,,,,,,,,,0.459455,,,,,,24.5485,,,,25.192,31.5753,30.9272,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1065.ply,-1.0,-1.0,36.22465695566696,1.10465,0.982108,1.04338,59.9757,213.0,,,,,,,,,,0.462291,,,,,,24.5381,,,,25.2905,31.5659,30.9521,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1066.ply,-1.0,-1.0,36.15471299006477,1.10926,0.98178,1.04552,59.9752,200.0,,,,,,,,,,0.48386,,,,,,24.5343,,,,25.2744,31.5037,30.9377,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=35_AQP=47/decompressed/longdress_dec_1067.ply,-1.0,-1.0,36.32154191696013,1.11239,1.02438,1.06839,59.8515,213.0,,,,,,,,,,0.404628,,,,,,24.4189,,,,25.2336,31.5633,30.9024,
