pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,42.01926037546633,1.22952,1.25422,1.24187,59.0924,197.0,,,,,,,,,,0.885408,,,,,,31.4923,,,,25.1434,31.5483,30.68,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,41.4817137074683,1.21894,1.24771,1.23333,59.1605,126.0,,,,,,,,,,0.885791,,,,,,31.5577,,,,25.1415,31.5575,30.8123,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,41.068039547755816,1.22047,1.24644,1.23345,59.1844,158.0,,,,,,,,,,0.884051,,,,,,30.7697,,,,25.2197,31.6375,30.7231,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,40.49530794409048,1.18987,1.22329,1.20658,59.3554,154.0,,,,,,,,,,0.893746,,,,,,31.4783,,,,25.3531,31.6603,30.7781,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,39.923317610101904,1.21484,1.3204,1.26762,59.1723,166.0,,,,,,,,,,0.885963,,,,,,31.466,,,,25.4745,31.6405,30.859,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,39.93084775039274,1.22565,1.30454,1.2651,59.1594,205.0,,,,,,,,,,0.884886,,,,,,31.5553,,,,25.5321,31.8604,30.9923,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,39.900496846198386,1.20036,1.23802,1.21919,59.3152,145.0,,,,,,,,,,0.898622,,,,,,31.9201,,,,25.4575,31.6755,30.9368,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,39.97276122971967,1.20515,1.24108,1.22311,59.2899,129.0,,,,,,,,,,0.884212,,,,,,31.4279,,,,25.419,31.6228,30.9602,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,40.236110833249974,1.26606,1.33115,1.2986,59.0377,149.0,,,,,,,,,,0.895345,,,,,,31.4547,,,,25.4512,31.6749,30.837,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,40.235859283664574,1.27546,1.33172,1.30359,59.1375,113.0,,,,,,,,,,0.883115,,,,,,31.3367,,,,25.4658,31.6284,30.733,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1061.ply,-1.0,-1.0,40.16775493339957,1.36743,1.41507,1.39125,58.7884,281.0,,,,,,,,,,0.884534,,,,,,31.3058,,,,25.4007,31.6276,30.7988,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1062.ply,-1.0,-1.0,40.36643259096463,1.33636,1.34625,1.3413,58.9225,162.0,,,,,,,,,,0.890933,,,,,,31.4574,,,,25.4369,31.5028,30.7033,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1063.ply,-1.0,-1.0,40.64656100161175,1.32238,1.32967,1.32603,58.9564,161.0,,,,,,,,,,0.87855,,,,,,30.7844,,,,25.3371,31.4619,30.6429,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1064.ply,-1.0,-1.0,40.62049604136371,1.2982,1.37694,1.33757,58.9067,227.0,,,,,,,,,,0.881311,,,,,,31.1236,,,,25.2735,31.478,30.6725,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1065.ply,-1.0,-1.0,40.450359762873276,1.24822,1.38395,1.31608,58.9673,281.0,,,,,,,,,,0.874347,,,,,,30.8126,,,,25.4833,31.448,30.6361,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1066.ply,-1.0,-1.0,40.37225664721609,1.31969,1.35744,1.33856,58.9021,465.0,,,,,,,,,,0.871625,,,,,,30.6936,,,,25.4403,31.4895,30.7226,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1067.ply,-1.0,-1.0,40.558546613192306,1.24086,1.35021,1.29553,59.0143,169.0,,,,,,,,,,0.87507,,,,,,30.3835,,,,25.4064,31.5185,30.7404,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1068.ply,-1.0,-1.0,40.43587343194159,1.28156,1.38092,1.33124,58.8862,209.0,,,,,,,,,,0.88312,,,,,,31.4232,,,,25.4463,31.5688,30.7247,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1069.ply,-1.0,-1.0,40.46246507545713,1.24925,1.41924,1.33425,58.8513,218.0,,,,,,,,,,0.88527,,,,,,31.5564,,,,25.3906,31.456,30.6828,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1070.ply,-1.0,-1.0,40.31353605003107,1.25565,1.39185,1.32375,58.8588,187.0,,,,,,,,,,0.874528,,,,,,30.452,,,,25.3866,31.4759,30.6011,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1071.ply,-1.0,-1.0,40.270854868784966,1.28797,1.36279,1.32538,58.8493,243.0,,,,,,,,,,0.875638,,,,,,30.6346,,,,25.3431,31.4417,30.6094,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1072.ply,-1.0,-1.0,40.68844777074332,1.14232,1.24961,1.19597,59.2778,217.0,,,,,,,,,,0.865168,,,,,,30.8526,,,,25.4665,31.7122,31.0408,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1073.ply,-1.0,-1.0,40.97391384067669,1.21068,1.24114,1.22591,59.1528,206.0,,,,,,,,,,0.870284,,,,,,31.2182,,,,25.5475,31.7782,30.9314,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1074.ply,-1.0,-1.0,41.296245391277786,1.18343,1.26675,1.22509,59.1263,275.0,,,,,,,,,,0.887453,,,,,,31.7157,,,,25.6377,31.8647,30.9918,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1075.ply,-1.0,-1.0,41.67419790147663,1.23636,1.28589,1.26112,58.9941,139.0,,,,,,,,,,0.862206,,,,,,30.5069,,,,25.5909,31.8789,30.9265,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1076.ply,-1.0,-1.0,42.010099374924934,1.25294,1.31155,1.28225,58.892,121.0,,,,,,,,,,0.884621,,,,,,31.1678,,,,25.5494,31.7977,31.0064,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1077.ply,-1.0,-1.0,41.990803037816114,1.24836,1.35491,1.30164,58.8133,194.0,,,,,,,,,,0.875273,,,,,,31.4122,,,,25.8207,31.8358,31.0482,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1078.ply,-1.0,-1.0,41.82814953465398,1.27737,1.35795,1.31766,58.7416,131.0,,,,,,,,,,0.862693,,,,,,30.6163,,,,25.9255,31.8675,31.0941,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1079.ply,-1.0,-1.0,41.383076515508094,1.20529,1.29712,1.2512,58.9913,264.0,,,,,,,,,,0.87307,,,,,,30.239,,,,25.9767,31.8797,31.1359,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1080.ply,-1.0,-1.0,40.66494971730993,1.24809,1.32017,1.28413,58.8424,371.0,,,,,,,,,,0.888182,,,,,,31.4758,,,,25.9702,31.8146,31.2277,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1081.ply,-1.0,-1.0,39.81479368936544,1.21415,1.30048,1.25731,58.9383,203.0,,,,,,,,,,0.862213,,,,,,30.9891,,,,26.0945,31.9264,31.2532,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1082.ply,-1.0,-1.0,39.88808262409853,1.26352,1.3132,1.28836,58.8408,153.0,,,,,,,,,,0.887924,,,,,,31.5196,,,,25.8992,31.8539,31.1714,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1083.ply,-1.0,-1.0,39.44601662950382,1.33207,1.4386,1.38533,58.56,416.0,,,,,,,,,,0.880734,,,,,,30.675,,,,25.8079,31.7809,31.1076,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1084.ply,-1.0,-1.0,39.144293591641556,1.3795,1.46944,1.42447,58.4121,152.0,,,,,,,,,,0.871605,,,,,,30.1049,,,,25.6789,31.6536,30.8882,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/longdress_dec_1085.ply,-1.0,-1.0,38.766749430471776,1.38987,1.49393,1.4419,58.343,161.0,,,,,,,,,,0.875391,,,,,,31.2441,,,,25.6692,31.5787,30.8332,
