pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,49.80296962344987,1.13026,0.807545,0.968901,60.1704,201.0,,,,,,,,,,0.893411,,,,,,31.0191,,,,26.0393,32.318,31.5177,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,49.16584702447325,1.11945,0.819192,0.969319,60.2066,145.0,,,,,,,,,,0.881229,,,,,,30.6325,,,,26.0677,32.2662,31.5618,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,48.67554325838896,1.1058,0.805654,0.955726,60.2923,140.0,,,,,,,,,,0.881963,,,,,,30.079,,,,26.1396,32.2559,31.5541,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,47.99671801480165,1.0879,0.834682,0.961292,60.3423,132.0,,,,,,,,,,0.871294,,,,,,29.5791,,,,26.2725,32.3261,31.572,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,47.31877135477019,1.14894,0.866265,1.0076,60.1693,161.0,,,,,,,,,,0.897192,,,,,,30.9788,,,,26.323,32.3821,31.7337,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,47.327696389261845,1.14679,0.861174,1.00398,60.1633,161.0,,,,,,,,,,0.884015,,,,,,30.7525,,,,26.3587,32.464,31.6757,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,47.291723239184265,1.14451,0.873014,1.00876,60.138,150.0,,,,,,,,,,0.883572,,,,,,30.6672,,,,26.2594,32.3215,31.6757,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,47.37737398280062,1.12671,0.864908,0.99581,60.1828,116.0,,,,,,,,,,0.883748,,,,,,30.5982,,,,26.258,32.2506,31.5932,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,47.689506852055615,1.15946,0.880921,1.02019,60.0856,157.0,,,,,,,,,,0.881386,,,,,,30.3028,,,,26.2776,32.2861,31.6232,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,47.68920870505711,1.16651,0.880432,1.02347,60.1881,114.0,,,,,,,,,,0.883008,,,,,,30.5488,,,,26.3092,32.3672,31.6503,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1061.ply,-1.0,-1.0,47.60848860534176,1.18585,0.884202,1.03502,60.0729,137.0,,,,,,,,,,0.887076,,,,,,30.4724,,,,26.2987,32.2796,31.6176,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1062.ply,-1.0,-1.0,47.84396960277378,1.1673,0.870336,1.01882,60.1168,149.0,,,,,,,,,,0.891529,,,,,,30.5963,,,,26.3454,32.2579,31.5444,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1063.ply,-1.0,-1.0,48.17598940991608,1.19252,0.898499,1.04551,59.9887,129.0,,,,,,,,,,0.879174,,,,,,30.2093,,,,26.2678,32.2514,31.5092,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1064.ply,-1.0,-1.0,48.1450961383099,1.18615,0.895375,1.04076,59.9964,197.0,,,,,,,,,,0.881827,,,,,,30.4943,,,,26.2526,32.1801,31.5383,
/temp/pranav/dynamic_pc_data/longdress/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/longdress_dec_1065.ply,-1.0,-1.0,47.943443566756,1.17542,0.896891,1.03616,60.0059,274.0,,,,,,,,,,0.885311,,,,,,30.5767,,,,26.3581,32.2348,31.6266,
