pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1051.ply,-1.0,-1.0,25.579261994643655,4.10744,3.35838,3.73291,54.3127,422.0,,,,,,,,,,0.876686,,,,,,27.6191,,,,24.2026,30.86,29.8437,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1052.ply,-1.0,-1.0,25.25202998407982,4.07994,3.39563,3.73779,54.3451,417.0,,,,,,,,,,0.877654,,,,,,28.1056,,,,24.1653,30.953,29.9176,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1053.ply,-1.0,-1.0,25.000205472721262,4.07781,3.21895,3.64838,54.4746,363.0,,,,,,,,,,0.881327,,,,,,28.0758,,,,24.301,30.9208,29.8762,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1054.ply,-1.0,-1.0,24.651554601386035,4.26127,3.38744,3.82435,54.3453,491.0,,,,,,,,,,0.878355,,,,,,27.7831,,,,24.3492,30.9376,29.8827,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1055.ply,-1.0,-1.0,24.303354978623517,4.09273,3.35767,3.7252,54.4907,518.0,,,,,,,,,,0.880485,,,,,,27.9955,,,,24.4236,30.9989,29.8941,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1056.ply,-1.0,-1.0,24.307938958199422,4.03192,3.34595,3.68894,54.5116,357.0,,,,,,,,,,0.878793,,,,,,27.6619,,,,24.4316,30.9876,29.9223,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1057.ply,-1.0,-1.0,24.28946281837153,4.16113,3.43924,3.80019,54.3779,314.0,,,,,,,,,,0.878889,,,,,,27.5503,,,,24.3232,30.86,29.8831,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1058.ply,-1.0,-1.0,24.333453825887016,4.16938,3.58102,3.8752,54.2817,425.0,,,,,,,,,,0.879289,,,,,,27.6667,,,,24.3058,30.8089,29.8704,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1059.ply,-1.0,-1.0,24.493768130439133,4.07757,3.7844,3.93098,54.2274,409.0,,,,,,,,,,0.877563,,,,,,27.6849,,,,24.3069,30.8468,29.8111,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1060.ply,-1.0,-1.0,24.493614999406077,4.04691,3.58079,3.81385,54.4753,261.0,,,,,,,,,,0.881094,,,,,,27.9561,,,,24.3916,30.9333,29.8198,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1061.ply,-1.0,-1.0,24.45215641582233,3.93745,3.48032,3.70889,54.53,293.0,,,,,,,,,,0.876682,,,,,,27.7076,,,,24.4757,30.9272,29.9491,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1062.ply,-1.0,-1.0,24.573101615950264,4.0582,3.62929,3.84374,54.3502,461.0,,,,,,,,,,0.875742,,,,,,27.62,,,,24.4319,30.9311,29.8776,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1063.ply,-1.0,-1.0,24.743630034205566,4.05093,3.69931,3.87512,54.2991,692.0,,,,,,,,,,0.876076,,,,,,28.028,,,,24.3835,30.8755,29.8382,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1064.ply,-1.0,-1.0,24.727762966553563,4.05695,3.77133,3.91414,54.2435,656.0,,,,,,,,,,0.878096,,,,,,28.1862,,,,24.4282,30.697,29.7344,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1065.ply,-1.0,-1.0,24.624192356233124,4.10909,3.61027,3.85968,54.2946,641.0,,,,,,,,,,0.87195,,,,,,27.9456,,,,24.5251,30.8493,29.9472,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1066.ply,-1.0,-1.0,24.57664701535512,4.04972,3.67123,3.86048,54.3021,578.0,,,,,,,,,,0.872621,,,,,,28.1466,,,,24.5379,30.7977,29.9379,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1067.ply,-1.0,-1.0,24.690051197249314,4.01617,3.59803,3.8071,54.3329,513.0,,,,,,,,,,0.866572,,,,,,27.6941,,,,24.4749,30.8018,29.9567,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1068.ply,-1.0,-1.0,24.615373789439428,4.04691,3.52323,3.78507,54.348,306.0,,,,,,,,,,0.866556,,,,,,27.7715,,,,24.4742,30.9038,29.8969,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1069.ply,-1.0,-1.0,24.631561475997316,4.16397,3.74301,3.95349,54.1339,414.0,,,,,,,,,,0.865656,,,,,,27.4812,,,,24.4816,30.8245,29.8407,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1070.ply,-1.0,-1.0,24.540900799775503,3.86711,3.51277,3.68994,54.4067,305.0,,,,,,,,,,0.864723,,,,,,27.8109,,,,24.4818,30.8595,29.813,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1071.ply,-1.0,-1.0,24.514918592864205,4.01863,3.35596,3.68729,54.4057,324.0,,,,,,,,,,0.865329,,,,,,27.5963,,,,24.468,30.8688,29.8377,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1072.ply,-1.0,-1.0,24.769128642038062,3.88426,3.21971,3.55199,54.5503,254.0,,,,,,,,,,0.863893,,,,,,27.4553,,,,24.4034,30.9776,30.0342,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1073.ply,-1.0,-1.0,24.942906365114553,3.93277,3.41221,3.67249,54.3878,481.0,,,,,,,,,,0.864908,,,,,,27.5537,,,,24.5257,31.1036,30.1347,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1074.ply,-1.0,-1.0,25.139125982220886,3.88656,3.27486,3.58071,54.4683,398.0,,,,,,,,,,0.866577,,,,,,27.7053,,,,24.6702,31.1332,30.1817,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1075.ply,-1.0,-1.0,25.36920490777842,4.07696,3.51508,3.79602,54.2084,529.0,,,,,,,,,,0.863594,,,,,,27.5231,,,,24.5853,31.1389,30.0334,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1076.ply,-1.0,-1.0,25.573685227444816,4.05785,3.52301,3.79043,54.1849,356.0,,,,,,,,,,0.865582,,,,,,27.1962,,,,24.5894,31.1089,30.0435,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1077.ply,-1.0,-1.0,25.56193856512775,3.79615,3.43011,3.61313,54.3793,398.0,,,,,,,,,,0.867282,,,,,,27.4734,,,,24.6547,30.9974,30.1276,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1078.ply,-1.0,-1.0,25.462923100920293,3.9451,3.46682,3.70596,54.2506,441.0,,,,,,,,,,0.863459,,,,,,27.2951,,,,24.7072,30.9845,30.1149,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1079.ply,-1.0,-1.0,25.191984506053288,3.76458,3.45873,3.61165,54.3875,485.0,,,,,,,,,,0.862656,,,,,,27.2654,,,,24.661,31.0345,30.1676,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1080.ply,-1.0,-1.0,24.754824181184492,3.85835,3.33183,3.59509,54.3714,293.0,,,,,,,,,,0.868387,,,,,,27.5204,,,,24.8442,31.0125,30.1886,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1081.ply,-1.0,-1.0,24.237290945691967,3.96228,3.36476,3.66352,54.2937,426.0,,,,,,,,,,0.86442,,,,,,27.6041,,,,24.8844,31.0549,30.2695,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1082.ply,-1.0,-1.0,24.281905649665692,3.86543,3.39166,3.62855,54.3439,206.0,,,,,,,,,,0.86601,,,,,,27.6846,,,,24.8725,31.1338,30.2732,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1083.ply,-1.0,-1.0,24.0127975836593,3.87043,3.47394,3.67219,54.3263,538.0,,,,,,,,,,0.87031,,,,,,27.7774,,,,24.9113,31.1927,30.2615,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1084.ply,-1.0,-1.0,23.829123416947766,4.00532,3.26523,3.63528,54.3433,392.0,,,,,,,,,,0.872207,,,,,,27.9167,,,,24.9074,31.2234,30.3097,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1085.ply,-1.0,-1.0,23.599293074223592,4.03762,3.37172,3.70467,54.2449,338.0,,,,,,,,,,0.878666,,,,,,28.0207,,,,24.8723,31.1068,30.0691,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1086.ply,-1.0,-1.0,23.563440053119315,4.14316,3.47978,3.81147,54.1246,243.0,,,,,,,,,,0.878776,,,,,,28.077,,,,24.8583,31.1372,30.2223,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1087.ply,-1.0,-1.0,23.490989327257466,3.8986,3.3338,3.6162,54.3635,360.0,,,,,,,,,,0.881784,,,,,,28.2002,,,,24.8037,31.1427,30.1548,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1088.ply,-1.0,-1.0,23.391996216992723,3.81426,3.36189,3.58807,54.3999,451.0,,,,,,,,,,0.884533,,,,,,28.1402,,,,24.7352,31.0859,30.249,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1089.ply,-1.0,-1.0,23.313073034189255,3.98781,3.40853,3.69817,54.2791,536.0,,,,,,,,,,0.881171,,,,,,27.7195,,,,24.8054,31.1326,30.1853,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1090.ply,-1.0,-1.0,23.379209845719053,3.73492,3.48535,3.61013,54.4134,482.0,,,,,,,,,,0.88258,,,,,,27.995,,,,24.7076,31.0699,30.2366,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1091.ply,-1.0,-1.0,23.419066758641467,3.97315,3.47513,3.72414,54.3008,342.0,,,,,,,,,,0.884581,,,,,,27.8409,,,,24.6759,30.9568,29.909,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1092.ply,-1.0,-1.0,23.47499964048951,3.81617,3.54224,3.6792,54.3777,369.0,,,,,,,,,,0.889694,,,,,,28.2379,,,,24.6401,30.9891,30.0835,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1093.ply,-1.0,-1.0,23.62676032555469,3.8649,3.57015,3.71752,54.3457,566.0,,,,,,,,,,0.888775,,,,,,28.323,,,,24.5863,31.0637,29.9858,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1094.ply,-1.0,-1.0,23.700339006017902,3.8946,3.6024,3.7485,54.3268,770.0,,,,,,,,,,0.890671,,,,,,28.5078,,,,24.4452,30.8808,29.9398,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1095.ply,-1.0,-1.0,23.646753347086637,3.79117,3.65405,3.72261,54.3647,477.0,,,,,,,,,,0.890183,,,,,,28.5002,,,,24.3717,30.8505,29.813,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1096.ply,-1.0,-1.0,23.829529239598905,3.88941,3.75346,3.82143,54.2569,498.0,,,,,,,,,,0.891614,,,,,,28.5634,,,,24.3519,30.7976,29.6943,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1097.ply,-1.0,-1.0,23.827210439186846,3.94841,3.60705,3.77773,54.3111,675.0,,,,,,,,,,0.885035,,,,,,28.3138,,,,24.3314,30.9098,29.8169,
/temp/pranav/dynamic_pc_data/longdress/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/longdress_dec_1098.ply,-1.0,-1.0,23.808329028847147,3.88381,3.59132,3.73756,54.3512,482.0,,,,,,,,,,0.888538,,,,,,28.3649,,,,24.3658,30.9434,29.8248,
