pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1051.ply,-1.0,-1.0,37.03491024665033,1.16824,1.03735,1.1028,59.6082,233.0,,,,,,,,,,0.887754,,,,,,31.792,,,,24.9651,31.6005,30.8691,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1052.ply,-1.0,-1.0,36.561127690155914,1.15933,1.01401,1.08667,59.7103,168.0,,,,,,,,,,0.894597,,,,,,31.2757,,,,24.9947,31.5568,30.8645,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1053.ply,-1.0,-1.0,36.19652380994922,1.2247,1.10133,1.16301,59.4398,228.0,,,,,,,,,,0.898129,,,,,,32.2119,,,,25.1051,31.586,30.8017,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1054.ply,-1.0,-1.0,35.691729976177925,1.2281,1.08359,1.15584,59.5419,169.0,,,,,,,,,,0.886611,,,,,,31.7292,,,,25.1746,31.6317,30.8693,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1055.ply,-1.0,-1.0,35.18758948222514,1.18788,1.078,1.13294,59.6601,161.0,,,,,,,,,,0.882595,,,,,,31.1145,,,,25.183,31.6861,30.8945,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1056.ply,-1.0,-1.0,35.19422639271151,1.26754,1.13895,1.20324,59.3771,203.0,,,,,,,,,,0.887246,,,,,,31.6322,,,,25.1516,31.6938,30.919,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1057.ply,-1.0,-1.0,35.16747573116491,1.30851,1.15513,1.23182,59.2704,152.0,,,,,,,,,,0.896185,,,,,,31.7472,,,,25.1038,31.5478,30.8382,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1058.ply,-1.0,-1.0,35.23116806972171,1.3271,1.13612,1.23161,59.2599,234.0,,,,,,,,,,0.898245,,,,,,31.6236,,,,25.1146,31.5255,30.8707,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1059.ply,-1.0,-1.0,35.46327898369511,1.31212,1.16636,1.23924,59.2409,154.0,,,,,,,,,,0.887732,,,,,,30.862,,,,25.154,31.6233,30.8767,
/temp/pranav/dynamic_pc_data/longdress/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/longdress_dec_1060.ply,-1.0,-1.0,35.463057273073964,1.3032,1.12665,1.21492,59.4434,113.0,,,,,,,,,,0.904706,,,,,,32.1893,,,,25.2331,31.6169,30.8603,
