pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1000.ply,-1.0,-1.0,25.019611243881847,0.905563,1.01197,0.958765,60.2519,338.0,,,,,,,,,,0.902807,,,,,,32.6549,,,,31.3984,43.6525,43.0341,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1001.ply,-1.0,-1.0,25.043116851287838,0.912471,0.971808,0.94214,60.3653,76.0,,,,,,,,,,0.892579,,,,,,32.3355,,,,31.4902,43.7104,43.5142,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1002.ply,-1.0,-1.0,25.146024096385542,0.913379,0.994353,0.953866,60.3574,98.0,,,,,,,,,,0.892639,,,,,,32.3847,,,,31.5475,43.7422,43.2601,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1003.ply,-1.0,-1.0,25.202003424679532,0.922765,1.00246,0.962611,60.3473,155.0,,,,,,,,,,0.887352,,,,,,31.4562,,,,31.5025,43.702,43.4274,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1004.ply,-1.0,-1.0,25.268219678089505,0.921489,0.979535,0.950512,60.4191,113.0,,,,,,,,,,0.887939,,,,,,31.4103,,,,31.4283,43.5492,42.8918,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1005.ply,-1.0,-1.0,25.31824135719383,0.908578,1.05033,0.979457,60.2827,73.0,,,,,,,,,,0.882189,,,,,,31.7575,,,,31.4355,43.4286,43.5842,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1006.ply,-1.0,-1.0,25.283785403422133,0.919457,1.02067,0.970063,60.3134,81.0,,,,,,,,,,0.882457,,,,,,31.8922,,,,31.4156,43.9422,43.763,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1007.ply,-1.0,-1.0,25.299631317032535,0.937317,0.964143,0.95073,60.4022,77.0,,,,,,,,,,0.893591,,,,,,31.574,,,,31.4142,43.9167,43.6214,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1008.ply,-1.0,-1.0,25.291966719006624,0.895824,1.01049,0.953158,60.3958,74.0,,,,,,,,,,0.876967,,,,,,31.763,,,,31.4108,43.7638,43.7088,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1009.ply,-1.0,-1.0,25.216482866764352,0.935232,1.00359,0.969412,60.333,75.0,,,,,,,,,,0.881528,,,,,,31.7016,,,,31.3972,43.9801,43.591,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1010.ply,-1.0,-1.0,25.19918721116326,0.919575,0.963224,0.9414,60.4644,282.0,,,,,,,,,,0.890235,,,,,,31.3246,,,,31.3559,43.9676,43.399,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/loot_dec_1011.ply,-1.0,-1.0,25.15292325759693,0.915332,0.987971,0.951652,60.4122,150.0,,,,,,,,,,0.887725,,,,,,31.592,,,,31.4165,43.5605,43.1393,
