pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1000.ply,-1.0,-1.0,81.66926908646649,0.668013,0.319813,0.493913,63.1325,34.0,,,,,,0.978848,0.987101,0.979489,0.977687,0.975515,0.975082,39.5449,42.1698,40.3743,40.3418,40.0488,40.6423,0.9789536666666668,40.520316666666666,35.4159,45.9678,45.9425,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1001.ply,-1.0,-1.0,81.74599632885119,0.658191,0.316935,0.487563,63.2261,53.0,,,,,,0.979116,0.987397,0.978025,0.974267,0.972754,0.973176,39.998,42.4796,39.5289,38.7298,38.9638,39.7199,0.9774558333333333,39.90333333333333,35.5648,45.9955,45.6141,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1002.ply,-1.0,-1.0,82.0819072032812,0.659826,0.313271,0.486548,63.281,17.0,,,,,,0.979594,0.987403,0.979683,0.978127,0.975642,0.975172,39.6683,42.6258,40.6742,40.5518,40.0641,40.7058,0.9792701666666667,40.715,35.4858,46.0203,45.743,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1003.ply,-1.0,-1.0,82.26463549514622,0.651443,0.31272,0.482081,63.3506,25.0,,,,,,0.97706,0.9854,0.97701,0.974407,0.973214,0.973035,39.6534,39.975,38.5709,38.3088,38.7766,39.0216,0.9766876666666667,39.05105,35.4311,45.9819,45.7871,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1004.ply,-1.0,-1.0,82.48077926192676,0.662056,0.319243,0.490649,63.291,35.0,,,,,,0.981537,0.987594,0.980085,0.978568,0.974856,0.974564,41.3805,43.1353,41.0615,40.704,39.7897,40.5758,0.979534,41.107800000000005,35.389,46.1528,45.7964,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1005.ply,-1.0,-1.0,82.64406053480933,0.649506,0.31791,0.483708,63.3468,26.0,,,,,,0.980379,0.987122,0.979412,0.977044,0.975159,0.97466,40.6191,42.4455,40.2191,39.6939,39.7905,40.48,0.9789626666666665,40.54135,35.4018,46.0454,45.688,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1006.ply,-1.0,-1.0,82.53158906062126,0.658867,0.317777,0.488322,63.2943,66.0,,,,,,0.98017,0.987014,0.97791,0.974785,0.972431,0.972922,40.2497,42.1569,39.4808,39.062,38.8419,39.8609,0.9775386666666667,39.942033333333335,35.3818,45.9674,45.7924,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1007.ply,-1.0,-1.0,82.58331345273727,0.66126,0.3137,0.48748,63.3032,22.0,,,,,,0.979271,0.986002,0.979164,0.977394,0.973038,0.972609,40.3486,41.0918,40.2887,40.0897,38.5969,39.1627,0.977913,39.92973333333333,35.3339,45.9213,45.8454,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1008.ply,-1.0,-1.0,82.55829459403014,0.656409,0.317908,0.487158,63.3108,18.0,,,,,,0.979588,0.986068,0.978637,0.976843,0.971499,0.972032,40.1348,40.9775,39.8328,39.8045,38.3072,38.9401,0.9774445000000002,39.666149999999995,35.422,45.8773,45.7209,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1009.ply,-1.0,-1.0,82.31189943703247,0.66546,0.313392,0.489426,63.3012,18.0,,,,,,0.981398,0.987687,0.980169,0.978392,0.974999,0.974388,40.9848,43.0289,41.2376,40.7571,39.7123,40.6913,0.9795055,41.068666666666665,35.275,45.9369,45.6239,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1010.ply,-1.0,-1.0,82.2554427823889,0.656538,0.311584,0.484061,63.3531,21.0,,,,,,0.979796,0.985971,0.978848,0.976756,0.972305,0.973198,40.4147,41.4665,40.2907,39.9054,38.6158,39.5292,0.9778123333333334,40.03705,35.3114,46.0625,45.8407,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1011.ply,-1.0,-1.0,82.10442751536566,0.656764,0.316429,0.486597,63.3253,46.0,,,,,,0.980578,0.986252,0.980669,0.979113,0.973084,0.973602,40.5786,41.8336,41.3968,40.8233,38.8725,39.6024,0.9788829999999998,40.51786666666666,35.3546,45.9811,45.6446,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1012.ply,-1.0,-1.0,82.00559848180237,0.661078,0.312715,0.486896,63.2847,81.0,,,,,,0.980351,0.986643,0.980868,0.979261,0.973442,0.973561,40.4701,41.4753,41.5407,41.2508,38.7468,39.4218,0.979021,40.484249999999996,35.4311,45.9537,45.684,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1013.ply,-1.0,-1.0,81.81241488559859,0.657136,0.318812,0.487974,63.2297,26.0,,,,,,0.979282,0.986446,0.978633,0.976718,0.971425,0.972776,40.4972,41.339,39.9698,39.6398,38.3468,39.1033,0.9775466666666666,39.81598333333333,35.5226,45.8972,45.7604,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1014.ply,-1.0,-1.0,81.63470554792129,0.665323,0.320224,0.492774,63.1474,30.0,,,,,,0.978369,0.986153,0.979602,0.976827,0.972952,0.973665,39.7958,41.3582,40.4174,39.8785,38.6992,39.5566,0.977928,39.95095,35.5407,45.9401,45.7564,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/loot_dec_1015.ply,-1.0,-1.0,81.55995277594171,0.657554,0.313481,0.485518,63.2079,36.0,,,,,,0.979255,0.986665,0.980502,0.978621,0.972991,0.97323,39.9058,41.5739,41.2044,40.8614,38.5253,39.1772,0.978544,40.208000000000006,35.5932,46.1027,45.962,
