pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1000.ply,-1.0,-1.0,25.1116353925692,1.1205,0.766656,0.943578,60.3213,257.0,,,,,,,,,,0.926833,,,,,,30.4471,,,,31.4159,43.3474,42.6364,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1001.ply,-1.0,-1.0,25.135227455495617,1.09936,0.742705,0.921033,60.4637,74.0,,,,,,,,,,0.92742,,,,,,30.4618,,,,31.5329,43.4126,42.5953,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1002.ply,-1.0,-1.0,25.238513201743142,1.09464,0.749711,0.922177,60.5041,85.0,,,,,,,,,,0.929066,,,,,,30.7787,,,,31.5485,43.2501,43.0022,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1003.ply,-1.0,-1.0,25.294698426522896,1.13569,0.758873,0.94728,60.417,74.0,,,,,,,,,,0.926898,,,,,,30.3074,,,,31.5095,43.354,42.9372,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1004.ply,-1.0,-1.0,25.361158228655107,1.13863,0.780741,0.959683,60.3774,62.0,,,,,,,,,,0.926419,,,,,,30.473,,,,31.3863,43.3865,42.9321,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1005.ply,-1.0,-1.0,25.41136389153083,1.09643,0.774849,0.935639,60.4815,89.0,,,,,,,,,,0.927339,,,,,,30.7243,,,,31.4063,43.5981,42.9448,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1006.ply,-1.0,-1.0,25.37678120598132,1.09217,0.764534,0.928354,60.5042,86.0,,,,,,,,,,0.92729,,,,,,30.5854,,,,31.3954,43.4282,42.7409,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1007.ply,-1.0,-1.0,25.392685402140398,1.1226,0.767862,0.945231,60.4274,72.0,,,,,,,,,,0.929106,,,,,,30.5588,,,,31.3992,43.379,42.8963,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1008.ply,-1.0,-1.0,25.384992613104586,1.1158,0.775093,0.945447,60.4311,69.0,,,,,,,,,,0.927332,,,,,,30.5139,,,,31.4408,43.2539,43.0715,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1009.ply,-1.0,-1.0,25.309231125163876,1.13668,0.780769,0.958724,60.3812,118.0,,,,,,,,,,0.923168,,,,,,29.8077,,,,31.366,43.5549,42.8426,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1010.ply,-1.0,-1.0,25.291871854746105,1.14947,0.753789,0.95163,60.4174,74.0,,,,,,,,,,0.92928,,,,,,30.6724,,,,31.3868,43.4103,42.9612,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1011.ply,-1.0,-1.0,25.245437738626077,1.1347,0.759188,0.946944,60.4338,65.0,,,,,,,,,,0.926077,,,,,,30.4333,,,,31.4192,43.581,43.0538,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1012.ply,-1.0,-1.0,25.215049825463616,1.10923,0.758374,0.9338,60.4565,86.0,,,,,,,,,,0.926572,,,,,,30.4163,,,,31.4434,43.5708,43.011,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1013.ply,-1.0,-1.0,25.155649807734072,1.10297,0.76684,0.934905,60.406,116.0,,,,,,,,,,0.926666,,,,,,30.4451,,,,31.5272,43.3636,42.9817,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1014.ply,-1.0,-1.0,25.10100780905422,1.11071,0.75544,0.933077,60.3747,59.0,,,,,,,,,,0.92752,,,,,,30.6297,,,,31.4768,43.628,42.9319,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1015.ply,-1.0,-1.0,25.07802285552724,1.11761,0.745472,0.931539,60.3779,84.0,,,,,,,,,,0.926598,,,,,,30.2634,,,,31.5517,43.6024,43.1021,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1016.ply,-1.0,-1.0,25.157256745707276,1.12912,0.74198,0.935548,60.3867,77.0,,,,,,,,,,0.921999,,,,,,29.6835,,,,31.6402,43.438,42.8213,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1017.ply,-1.0,-1.0,25.19288701697643,1.12035,0.739582,0.929965,60.4537,74.0,,,,,,,,,,0.926433,,,,,,30.4706,,,,31.599,43.4778,43.0287,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1018.ply,-1.0,-1.0,25.24479042468904,1.11464,0.746905,0.930771,60.489,59.0,,,,,,,,,,0.926709,,,,,,30.3542,,,,31.6,43.6292,42.7433,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1019.ply,-1.0,-1.0,25.235214058146717,1.08665,0.743188,0.914918,60.5945,89.0,,,,,,,,,,0.9264,,,,,,30.5922,,,,31.4543,43.5511,43.0211,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1020.ply,-1.0,-1.0,25.275250107179623,1.11163,0.769577,0.940602,60.4777,157.0,,,,,,,,,,0.926783,,,,,,30.694,,,,31.3435,43.5769,42.6889,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1021.ply,-1.0,-1.0,25.300776070308885,1.1496,0.763655,0.956626,60.3877,86.0,,,,,,,,,,0.926573,,,,,,30.4435,,,,31.367,43.5418,42.6693,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1022.ply,-1.0,-1.0,25.2804095996056,1.11973,0.770815,0.945271,60.4263,78.0,,,,,,,,,,0.928419,,,,,,30.5625,,,,31.334,43.5861,43.0952,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/loot_dec_1023.ply,-1.0,-1.0,25.268017385077936,1.11651,0.774931,0.945722,60.4266,73.0,,,,,,,,,,0.926894,,,,,,30.5897,,,,31.3442,43.2121,42.2613,
