pc_file,encT,decT,bpp,y_psnr,cb_psnr,cr_psnr,ssim,vmaf,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1059.ply,-1.0,-1.0,61.16823077790719,,,,,,0.651591,0.454406,0.552999,62.6464,66.0,,,,,,35.631,46.0335,45.6619,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1150.ply,-1.0,-1.0,60.732280799328564,,,,,,0.661077,0.459826,0.560451,62.5522,81.0,,,,,,35.4342,45.854,45.4472,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1129.ply,-1.0,-1.0,61.62739825377247,,,,,,0.681165,0.463963,0.572564,62.714,78.0,,,,,,35.6188,45.6285,45.2814,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1020.ply,-1.0,-1.0,61.95235833677763,,,,,,0.642838,0.429692,0.536265,62.918,42.0,,,,,,35.5271,45.7531,45.7285,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1131.ply,-1.0,-1.0,61.43536713584905,,,,,,0.671929,0.466022,0.568975,62.727,81.0,,,,,,35.6652,45.8001,45.5283,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1038.ply,-1.0,-1.0,61.81596214066612,,,,,,0.645513,0.437483,0.541498,62.8704,110.0,,,,,,35.755,45.9701,45.606,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1041.ply,-1.0,-1.0,61.14537060966772,,,,,,0.640423,0.453338,0.546881,62.6299,86.0,,,,,,35.9921,45.7992,45.6132,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1148.ply,-1.0,-1.0,60.4340333993206,,,,,,0.63931,0.442696,0.541003,62.7261,77.0,,,,,,35.5547,46.1288,45.8087,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1263.ply,-1.0,-1.0,60.81485009538354,,,,,,0.601406,0.432676,0.517041,62.8451,61.0,,,,,,36.5146,46.1841,45.8044,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1192.ply,-1.0,-1.0,60.63713434275922,,,,,,0.675998,0.46094,0.568469,62.5881,53.0,,,,,,35.2647,45.9191,45.7739,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1202.ply,-1.0,-1.0,60.17806681994325,,,,,,0.645863,0.45085,0.548356,62.5055,150.0,,,,,,35.9015,45.8312,45.6513,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1083.ply,-1.0,-1.0,61.72986440270427,,,,,,0.649844,0.43232,0.541082,62.9736,45.0,,,,,,35.56,46.1545,45.9086,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1010.ply,-1.0,-1.0,61.99310002902817,,,,,,0.649323,0.425728,0.537525,62.8981,54.0,,,,,,35.5046,45.8443,45.7631,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1291.ply,-1.0,-1.0,58.305187611968606,,,,,,0.686523,0.480709,0.583616,62.4521,68.0,,,,,,35.3523,45.642,45.8041,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1119.ply,-1.0,-1.0,61.50425999882764,,,,,,0.64424,0.463885,0.554062,62.8453,216.0,,,,,,35.8474,46.0819,45.6928,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1160.ply,-1.0,-1.0,61.1121569759565,,,,,,0.659687,0.46625,0.562969,62.5077,69.0,,,,,,35.8425,45.9431,45.3705,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1069.ply,-1.0,-1.0,62.17093570106411,,,,,,0.640582,0.42221,0.531396,63.0414,70.0,,,,,,36.305,46.3178,46.2408,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1178.ply,-1.0,-1.0,61.350091647028016,,,,,,0.642316,0.454284,0.5483,62.7274,62.0,,,,,,35.4809,45.855,45.7249,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1071.ply,-1.0,-1.0,61.316421604124265,,,,,,0.640771,0.451377,0.546074,62.8664,50.0,,,,,,36.7743,46.4434,46.1362,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1289.ply,-1.0,-1.0,57.77067907662624,,,,,,0.676267,0.489624,0.582946,62.4727,105.0,,,,,,35.1906,45.8602,45.6679,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1008.ply,-1.0,-1.0,62.2213490301638,,,,,,0.640247,0.440674,0.54046,62.8598,41.0,,,,,,35.5358,45.8249,45.5966,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1101.ply,-1.0,-1.0,61.85216473072862,,,,,,0.65256,0.438187,0.545374,62.9663,59.0,,,,,,35.9316,46.0897,46.0559,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1253.ply,-1.0,-1.0,59.409189380809835,,,,,,0.662773,0.465984,0.564378,62.5221,50.0,,,,,,36.007,46.019,45.7427,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1232.ply,-1.0,-1.0,59.28294924988884,,,,,,0.673145,0.499982,0.586563,62.3068,86.0,,,,,,35.9874,45.8233,45.5363,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1128.ply,-1.0,-1.0,62.1170062844192,,,,,,0.652132,0.472121,0.562126,62.7869,81.0,,,,,,36.0156,45.7507,45.5959,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1021.ply,-1.0,-1.0,62.014925219715266,,,,,,0.644723,0.432904,0.538814,62.8807,35.0,,,,,,35.5514,46.0157,45.7613,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1058.ply,-1.0,-1.0,60.750627142132494,,,,,,0.656955,0.471514,0.564235,62.5725,50.0,,,,,,35.6785,45.7724,45.5796,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1151.ply,-1.0,-1.0,60.87444835853952,,,,,,0.647301,0.446679,0.54699,62.6387,122.0,,,,,,35.5131,45.9169,45.6836,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1040.ply,-1.0,-1.0,61.13522462282087,,,,,,0.65452,0.455006,0.554763,62.7411,70.0,,,,,,35.8601,46.181,45.7323,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1149.ply,-1.0,-1.0,60.581649393179056,,,,,,0.641462,0.430565,0.536013,62.7656,101.0,,,,,,35.513,46.0837,45.7032,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1130.ply,-1.0,-1.0,61.39738560096068,,,,,,0.664234,0.44583,0.555032,62.845,61.0,,,,,,35.5968,45.7924,45.5823,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1039.ply,-1.0,-1.0,61.450385139350416,,,,,,0.649332,0.435025,0.542178,62.875,33.0,,,,,,35.8437,45.9764,45.609,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1193.ply,-1.0,-1.0,60.39108266068741,,,,,,0.680072,0.469537,0.574804,62.5323,45.0,,,,,,35.26,45.894,45.8726,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1262.ply,-1.0,-1.0,60.25349299403769,,,,,,0.666229,0.466809,0.566519,62.5168,54.0,,,,,,35.9289,46.0688,45.7868,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1082.ply,-1.0,-1.0,61.661804667468125,,,,,,0.652577,0.430462,0.541519,62.969,117.0,,,,,,35.6359,45.9718,45.7354,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1203.ply,-1.0,-1.0,59.56962237789857,,,,,,0.648641,0.441047,0.544844,62.5605,158.0,,,,,,35.826,45.7716,45.5197,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1161.ply,-1.0,-1.0,61.0230690453011,,,,,,0.664872,0.465902,0.565387,62.5234,1189.0,,,,,,35.8148,45.942,45.5465,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1068.ply,-1.0,-1.0,62.02456824376509,,,,,,0.648132,0.435159,0.541646,62.9596,70.0,,,,,,36.1098,46.3305,45.8963,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1290.ply,-1.0,-1.0,58.88809365487033,,,,,,0.687416,0.481516,0.584466,62.4528,41.0,,,,,,35.0452,45.6365,45.5065,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1011.ply,-1.0,-1.0,61.87928501280792,,,,,,0.640677,0.437276,0.538976,62.8813,49.0,,,,,,35.5473,45.7656,45.705,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1118.ply,-1.0,-1.0,61.49736376030478,,,,,,0.644718,0.431283,0.538,62.9842,41.0,,,,,,35.6372,46.0185,45.5558,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1009.ply,-1.0,-1.0,62.035649469165314,,,,,,0.642394,0.440624,0.541509,62.8621,41.0,,,,,,35.4738,45.9227,45.5572,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1288.ply,-1.0,-1.0,58.570303815778615,,,,,,0.673458,0.491137,0.582297,62.483,107.0,,,,,,35.2849,45.8014,45.4759,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1100.ply,-1.0,-1.0,61.822771644385355,,,,,,0.651906,0.442633,0.547269,62.9506,64.0,,,,,,35.9289,45.9839,45.989,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1179.ply,-1.0,-1.0,61.28239944234449,,,,,,0.653678,0.447114,0.550396,62.7137,45.0,,,,,,35.4912,45.8485,45.5653,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1070.ply,-1.0,-1.0,61.336915399112705,,,,,,0.639687,0.435366,0.537527,62.9741,56.0,,,,,,36.5523,46.1871,45.9292,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1252.ply,-1.0,-1.0,59.51166991567378,,,,,,0.659921,0.466145,0.563033,62.4977,56.0,,,,,,36.1399,46.0598,45.5579,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1233.ply,-1.0,-1.0,59.23158561309293,,,,,,0.669023,0.494156,0.58159,62.3158,74.0,,,,,,35.7722,46.0959,45.5203,
/home/p/pranav/dynamic_pc_data/loot/experiments/2DD_lodX=2_lodY=1_OM=4/decompressed/loot_dec_1133.ply,-1.0,-1.0,61.27065227602211,,,,,,0.674145,0.453765,0.563955,62.7509,49.0,,,,,,35.4142,45.4831,45.4801,
