pc_file,encT,decT,bpp,y_psnr,cb_psnr,cr_psnr,ssim,vmaf,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1131.ply,-1.0,-1.0,44.30603012644758,,,,,,2.40532,1.48682,1.94607,57.3864,145.0,,,,,,32.7486,44.4,43.8799,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1038.ply,-1.0,-1.0,44.58050807840827,,,,,,2.41148,1.44402,1.92775,57.3558,100.0,,,,,,32.7511,44.4455,44.247,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1041.ply,-1.0,-1.0,44.09689009156924,,,,,,2.41886,1.44282,1.93084,57.1514,141.0,,,,,,33.094,44.5843,44.4538,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1148.ply,-1.0,-1.0,43.5838870879083,,,,,,2.36821,1.44516,1.90668,57.2553,101.0,,,,,,32.6051,44.3981,44.237,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1059.ply,-1.0,-1.0,44.11337641451208,,,,,,2.39361,1.49403,1.94382,57.187,90.0,,,,,,32.8054,44.2755,43.9693,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1150.ply,-1.0,-1.0,43.79897749765011,,,,,,2.40017,1.46008,1.93013,57.1818,104.0,,,,,,32.5454,44.499,44.2885,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1129.ply,-1.0,-1.0,44.44451935329825,,,,,,2.40989,1.45981,1.93485,57.4258,186.0,,,,,,32.499,44.0846,43.592,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1020.ply,-1.0,-1.0,44.678874447094344,,,,,,2.36956,1.41988,1.89472,57.4363,145.0,,,,,,32.683,44.4067,43.8258,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1202.ply,-1.0,-1.0,43.39928880997861,,,,,,2.36802,1.43983,1.90393,57.0996,129.0,,,,,,32.9843,44.3836,44.0776,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1083.ply,-1.0,-1.0,44.518416010763886,,,,,,2.3071,1.41267,1.85988,57.6114,53.0,,,,,,32.6858,44.3224,44.1139,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1263.ply,-1.0,-1.0,43.858524919421704,,,,,,2.3874,1.47729,1.93235,57.1195,83.0,,,,,,33.086,44.3807,44.2032,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1192.ply,-1.0,-1.0,43.73035966450744,,,,,,2.40981,1.43609,1.92295,57.2955,83.0,,,,,,32.3763,44.2711,43.9208,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1178.ply,-1.0,-1.0,44.24453104940296,,,,,,2.36891,1.40437,1.88664,57.3607,51.0,,,,,,32.6094,44.1303,43.7051,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1071.ply,-1.0,-1.0,44.220248848371206,,,,,,2.40191,1.44279,1.92235,57.4006,74.0,,,,,,33.7564,44.8217,44.3234,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1289.ply,-1.0,-1.0,41.663126093711476,,,,,,2.46486,1.50623,1.98554,57.1502,88.0,,,,,,32.3631,44.341,44.2238,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1008.ply,-1.0,-1.0,44.87286547084046,,,,,,2.39108,1.41808,1.90458,57.3895,165.0,,,,,,32.607,44.3877,44.1086,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1101.ply,-1.0,-1.0,44.6066167047703,,,,,,2.34367,1.39696,1.87032,57.6141,65.0,,,,,,33.043,44.6205,44.3792,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1010.ply,-1.0,-1.0,44.70825658849611,,,,,,2.36816,1.43391,1.90104,57.4122,113.0,,,,,,32.5293,44.3993,43.8059,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1291.ply,-1.0,-1.0,42.048603586136245,,,,,,2.45282,1.51683,1.98483,57.1362,77.0,,,,,,32.5217,44.4866,44.3171,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1119.ply,-1.0,-1.0,44.355714362172534,,,,,,2.38735,1.50633,1.94684,57.3876,389.0,,,,,,32.7638,44.6219,44.3943,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1160.ply,-1.0,-1.0,44.07293704425427,,,,,,2.36747,1.41608,1.89177,57.2438,154.0,,,,,,33.0115,44.7614,44.3509,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1069.ply,-1.0,-1.0,44.83650832703229,,,,,,2.36113,1.39729,1.87921,57.5558,82.0,,,,,,33.5579,44.7037,44.157,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1232.ply,-1.0,-1.0,42.75374687095435,,,,,,2.4297,1.49545,1.96258,57.0617,66.0,,,,,,33.1226,44.688,44.1131,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1253.ply,-1.0,-1.0,42.84478887663463,,,,,,2.46135,1.49472,1.97803,57.0755,75.0,,,,,,33.1157,44.5835,44.1402,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1040.ply,-1.0,-1.0,44.089572996875155,,,,,,2.42974,1.44701,1.93838,57.3077,107.0,,,,,,32.9448,44.3189,44.0318,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1149.ply,-1.0,-1.0,43.69034496349284,,,,,,2.35941,1.44856,1.90399,57.2607,97.0,,,,,,32.6162,44.2689,44.0508,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1130.ply,-1.0,-1.0,44.27863855856956,,,,,,2.4097,1.47307,1.94138,57.4071,225.0,,,,,,32.6585,44.155,43.8055,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1039.ply,-1.0,-1.0,44.316860827826794,,,,,,2.388,1.46764,1.92782,57.3658,83.0,,,,,,32.9078,44.5857,44.1038,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1128.ply,-1.0,-1.0,44.79761544708437,,,,,,2.35904,1.44685,1.90294,57.4909,225.0,,,,,,32.89,43.9714,43.7332,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1021.ply,-1.0,-1.0,44.72399650511384,,,,,,2.34886,1.39762,1.87324,57.4692,91.0,,,,,,32.6635,44.6536,44.1093,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1058.ply,-1.0,-1.0,43.812208534671235,,,,,,2.44262,1.49035,1.96648,57.1502,109.0,,,,,,32.8018,44.3312,43.8696,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1151.ply,-1.0,-1.0,43.90150606474527,,,,,,2.41252,1.48113,1.94683,57.1252,186.0,,,,,,32.5499,44.2554,44.0592,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1082.ply,-1.0,-1.0,44.46933261108137,,,,,,2.36273,1.4356,1.89917,57.5195,64.0,,,,,,32.6563,44.7534,44.0938,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1203.ply,-1.0,-1.0,42.96049013364139,,,,,,2.42809,1.46333,1.94571,57.0325,57.0,,,,,,32.8958,44.1651,43.8772,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1193.ply,-1.0,-1.0,43.552911823845385,,,,,,2.39155,1.41471,1.90313,57.3328,67.0,,,,,,32.3232,44.2356,43.872,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1262.ply,-1.0,-1.0,43.453684746676785,,,,,,2.42401,1.51401,1.96901,57.1065,186.0,,,,,,32.944,44.6378,44.2234,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1009.ply,-1.0,-1.0,44.73894244363898,,,,,,2.33805,1.40004,1.86904,57.4819,45.0,,,,,,32.5417,44.5064,44.3366,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=1/decompressed/loot_dec_1288.ply,-1.0,-1.0,42.23980040094557,,,,,,2.45256,1.51217,1.98237,57.1626,100.0,,,,,,32.3921,44.3851,44.3167,
