pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1000.ply,-1.0,-1.0,32.438369581019764,2.15776,1.62801,1.89288,57.2978,69.0,,,,,,0.969643,0.976033,0.974316,0.969087,0.964775,0.967969,37.2066,37.4369,38.2658,37.3086,36.2477,37.0731,0.9703038333333334,37.25645,32.9086,44.5663,44.3716,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1001.ply,-1.0,-1.0,32.46884501778133,2.15697,1.63117,1.89407,57.3325,82.0,,,,,,0.968727,0.975547,0.972489,0.968262,0.96388,0.96774,36.3972,37.3309,37.1337,36.7653,36.4186,37.378,0.9694408333333332,36.90395,32.9241,44.5634,44.1979,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1002.ply,-1.0,-1.0,32.60226608561907,2.16332,1.60839,1.88586,57.3971,75.0,,,,,,0.966699,0.974425,0.969602,0.963937,0.964893,0.967767,35.9149,36.2238,35.3027,35.1351,36.4962,37.3168,0.9678871666666667,36.06491666666667,32.9861,44.4677,44.3105,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1003.ply,-1.0,-1.0,32.67484427727829,2.15298,1.604,1.87849,57.4437,86.0,,,,,,0.969495,0.976017,0.973017,0.968824,0.961049,0.965695,36.3281,37.4799,37.5988,37.087,35.6786,36.6368,0.9690161666666667,36.80153333333333,32.9508,44.7004,44.1676,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1004.ply,-1.0,-1.0,32.76069482385337,2.23073,1.64674,1.93874,57.3235,83.0,,,,,,0.968244,0.973463,0.966962,0.961481,0.958337,0.964503,36.3856,35.821,34.7365,34.5431,35.1446,36.1886,0.9654983333333332,35.4699,32.8658,44.502,44.0095,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1005.ply,-1.0,-1.0,32.825548817707734,2.17298,1.64633,1.90966,57.383,94.0,,,,,,0.967605,0.972166,0.971571,0.966298,0.955881,0.9614,35.3572,35.9182,36.5934,35.857,34.1889,34.4485,0.9658201666666667,35.39386666666666,32.8809,44.699,44.3664,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1006.ply,-1.0,-1.0,32.780876062730925,2.20082,1.63827,1.91954,57.3494,110.0,,,,,,0.971682,0.975428,0.972966,0.969111,0.96265,0.965736,37.4712,37.4046,37.6074,37.5005,36.1607,36.8134,0.9695954999999999,37.15963333333333,32.8344,44.5251,44.3106,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1007.ply,-1.0,-1.0,32.801420570678424,2.18702,1.65108,1.91905,57.352,68.0,,,,,,0.971344,0.975927,0.973065,0.96915,0.962819,0.965309,37.1202,37.8415,37.7693,37.425,36.1858,36.8374,0.9696023333333331,37.196533333333335,32.7645,44.5285,44.4485,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1008.ply,-1.0,-1.0,32.79148328344278,2.1669,1.66052,1.91371,57.3687,89.0,,,,,,0.969237,0.974021,0.970508,0.966171,0.962118,0.964829,36.5267,36.5817,36.3246,35.9887,35.9235,36.2992,0.9678140000000001,36.27406666666666,32.8494,44.6331,44.4135,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1009.ply,-1.0,-1.0,32.69361713066502,2.17998,1.65456,1.91727,57.3713,66.0,,,,,,0.969015,0.974684,0.971323,0.966472,0.964886,0.967101,36.1587,36.9688,36.4239,36.1346,36.6129,37.2388,0.9689134999999999,36.589616666666664,32.7978,44.5493,44.5025,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1010.ply,-1.0,-1.0,32.67119300652235,2.16412,1.58822,1.87617,57.4694,90.0,,,,,,0.971262,0.975861,0.97421,0.969758,0.96502,0.966718,37.0438,37.6381,38.0321,37.6759,36.5878,37.2924,0.9704715,37.378350000000005,32.7713,44.8435,44.1357,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1011.ply,-1.0,-1.0,32.611210970453314,2.18464,1.59814,1.89139,57.4292,116.0,,,,,,0.970532,0.974832,0.972213,0.967858,0.963382,0.966834,36.9558,36.9144,36.9646,36.826,36.1944,37.323,0.9692751666666668,36.863033333333334,32.7705,44.5617,44.4493,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1012.ply,-1.0,-1.0,32.57195688195809,2.16391,1.60486,1.88439,57.4073,106.0,,,,,,0.970559,0.97478,0.972619,0.967961,0.96335,0.966971,37.3862,36.7723,37.3723,36.9917,36.1305,36.9171,0.9693733333333333,36.92835,32.8804,44.717,44.4312,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1013.ply,-1.0,-1.0,32.49522592843364,2.18927,1.66497,1.92712,57.2646,122.0,,,,,,0.969603,0.973577,0.970996,0.967277,0.960109,0.964604,37.0128,36.3725,36.5857,36.7099,35.0917,35.5586,0.9676943333333332,36.22186666666667,32.9042,44.7163,44.0742,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1014.ply,-1.0,-1.0,32.42464122456576,2.19649,1.65221,1.92435,57.231,94.0,,,,,,0.970461,0.976175,0.973646,0.969146,0.963461,0.966998,37.4112,37.38,37.6328,37.2876,35.837,36.8022,0.9699811666666668,37.05846666666667,33.0197,44.686,44.3053,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1015.ply,-1.0,-1.0,32.394950031393556,2.15965,1.63755,1.8986,57.2856,81.0,,,,,,0.968089,0.974823,0.97223,0.966989,0.96418,0.96712,36.3745,36.795,36.7007,36.5151,35.9548,36.7406,0.9689051666666666,36.51345,33.0621,44.8426,44.2484,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1016.ply,-1.0,-1.0,32.49730171708912,2.1544,1.64717,1.90079,57.308,130.0,,,,,,0.968734,0.974712,0.973527,0.968109,0.960528,0.965063,36.6106,36.6205,37.2373,36.5314,35.2248,35.7168,0.9684455000000001,36.32356666666667,32.9887,44.651,44.1347,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1017.ply,-1.0,-1.0,32.54332770821365,2.16866,1.62998,1.89932,57.3524,125.0,,,,,,0.968463,0.974144,0.972352,0.966652,0.960069,0.964907,36.483,36.5041,36.7556,36.2631,35.1666,35.6281,0.9677645,36.13341666666667,33.0778,44.9909,44.5371,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1018.ply,-1.0,-1.0,32.61037479198878,2.16354,1.60345,1.8835,57.4278,99.0,,,,,,0.969286,0.974505,0.971688,0.966852,0.96326,0.96724,36.8219,36.5412,36.6365,36.2933,35.977,36.867,0.9688051666666667,36.522816666666664,33.0249,44.934,44.3589,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1019.ply,-1.0,-1.0,32.598004362413526,2.19416,1.62827,1.91121,57.3952,85.0,,,,,,0.968814,0.974434,0.971635,0.965557,0.958866,0.963724,36.2314,36.4706,36.426,35.8187,34.9559,35.4503,0.9671716666666668,35.89215,32.9249,44.5339,44.1347,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1020.ply,-1.0,-1.0,32.64972158969844,2.17893,1.6818,1.93037,57.3554,179.0,,,,,,0.970793,0.975785,0.972986,0.968586,0.962853,0.965903,36.962,37.4906,37.4873,36.9455,35.9892,36.5784,0.9694843333333334,36.90883333333333,32.8768,44.4525,44.4152,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1021.ply,-1.0,-1.0,32.68269517397338,2.1565,1.59199,1.87425,57.4669,123.0,,,,,,0.970877,0.975449,0.973457,0.968327,0.964995,0.967308,36.9736,37.348,37.4823,36.8935,36.5919,37.3784,0.9700688333333333,37.11128333333334,32.8577,44.5527,44.3177,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1022.ply,-1.0,-1.0,32.65638644921666,2.17639,1.63347,1.90493,57.3831,169.0,,,,,,0.9709,0.974703,0.973204,0.968595,0.957643,0.962839,36.9653,36.966,37.6499,36.9903,34.9487,35.4295,0.9679806666666667,36.491616666666665,32.8111,44.7629,44.4121,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1023.ply,-1.0,-1.0,32.640378601520105,2.15692,1.68015,1.91853,57.3546,78.0,,,,,,0.970679,0.975297,0.971792,0.967127,0.962068,0.965808,37.0865,37.2068,36.8732,36.5376,36.0151,36.6979,0.9687951666666667,36.73618333333333,32.8485,44.5737,44.1388,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1024.ply,-1.0,-1.0,32.62154131061804,2.15171,1.63872,1.89522,57.4204,86.0,,,,,,0.970494,0.974839,0.97255,0.968475,0.962568,0.96595,36.8997,36.8341,37.2812,37.0317,36.0809,36.6393,0.969146,36.794483333333325,32.8671,44.6625,44.2839,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4/decompressed/loot_dec_1025.ply,-1.0,-1.0,32.637237542406375,2.16774,1.58435,1.87604,57.4729,126.0,,,,,,0.969773,0.974435,0.970793,0.965571,0.963285,0.966355,36.945,36.9461,36.1799,35.9873,36.011,36.9171,0.9683686666666667,36.497733333333336,32.8065,44.6572,44.3219,
