pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1000.ply,-1.0,-1.0,12.96545778698246,1.69337,3.01881,2.35609,56.3471,276.0,,,,,,,,,,0.000561289,,,,,,6.32213,,,,25.0826,41.3179,40.5004,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1001.ply,-1.0,-1.0,12.977638670114857,1.70817,3.09105,2.39961,56.305,323.0,,,,,,,,,,0.000561194,,,,,,6.32178,,,,25.1995,41.3751,40.8517,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1002.ply,-1.0,-1.0,13.030966418866957,1.77109,2.93618,2.35363,56.4348,211.0,,,,,,,,,,1.0,,,,,,inf,,,,24.9379,40.9483,40.8908,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1003.ply,-1.0,-1.0,13.059975567365091,1.8859,2.87266,2.37928,56.4173,273.0,,,,,,,,,,0.00056068,,,,,,6.31988,,,,24.8855,41.0185,40.6563,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1004.ply,-1.0,-1.0,13.094289611257723,1.99734,3.06488,2.53111,56.1656,341.0,,,,,,,,,,1.0,,,,,,inf,,,,24.9067,41.2535,40.7243,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1005.ply,-1.0,-1.0,13.120211435643373,1.86227,2.98959,2.42593,56.3438,529.0,,,,,,,,,,0.000560833,,,,,,6.33189,,,,25.0181,41.1857,40.6812,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1006.ply,-1.0,-1.0,13.102355953806242,1.73261,3.04052,2.38656,56.4036,286.0,,,,,,,,,,0.000558565,,,,,,6.31496,,,,25.0973,41.4498,40.6654,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1007.ply,-1.0,-1.0,13.110567493226627,1.96423,3.30369,2.63396,55.9767,314.0,,,,,,,,,,1.0,,,,,,inf,,,,24.9134,41.1971,40.4553,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1008.ply,-1.0,-1.0,13.10659560808459,1.96172,3.10921,2.53547,56.1469,266.0,,,,,,,,,,0.000559441,,,,,,6.31545,,,,24.8341,41.0623,40.6026,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1009.ply,-1.0,-1.0,13.067478985116065,1.90504,2.89512,2.40008,56.3958,296.0,,,,,,,,,,0.000558848,,,,,,6.31675,,,,24.7774,41.4679,40.6877,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1010.ply,-1.0,-1.0,13.058516172288627,1.82915,2.98708,2.40812,56.3853,485.0,,,,,,,,,,1.0,,,,,,inf,,,,24.9211,41.126,40.5878,
/home/p/pranav/dynamic_pc_data/loot/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/loot_dec_1011.ply,-1.0,-1.0,13.03454164561928,1.80492,2.93638,2.37065,56.4483,497.0,,,,,,,,,,0.00056072,,,,,,6.3214,,,,24.9978,41.06,40.653,
