pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1000.ply,-1.0,-1.0,247.93705221758304,0.72096,0.256539,0.48875,63.1782,25.0,,,,,,0.980005,0.986524,0.98016,0.976951,0.976115,0.976219,40.5212,42.4476,40.6134,40.1156,40.1796,40.9167,0.9793289999999999,40.79901666666667,35.4922,46.4006,46.2451,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1001.ply,-1.0,-1.0,248.1699859332198,0.73476,0.262705,0.498732,63.1278,49.0,,,,,,0.98042,0.985447,0.980632,0.977932,0.973256,0.975119,40.6581,41.4365,41.2688,40.3961,38.6027,39.4013,0.9788009999999999,40.29391666666667,35.5141,46.4285,46.1759,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1002.ply,-1.0,-1.0,249.1897667264804,0.731187,0.262821,0.497004,63.1886,53.0,,,,,,0.980752,0.986203,0.979668,0.976741,0.975925,0.976384,40.6011,42.0725,40.6111,40.0751,39.9309,40.9991,0.9792788333333333,40.71496666666666,35.5088,46.5707,46.3515,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1003.ply,-1.0,-1.0,249.74450554744132,0.730403,0.256867,0.493635,63.2477,27.0,,,,,,0.98089,0.986283,0.980139,0.977136,0.976199,0.97612,41.5773,42.3018,40.5651,39.9628,40.1054,40.9145,0.9794611666666667,40.90448333333333,35.49,46.6441,46.3282,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1004.ply,-1.0,-1.0,250.4006893114227,0.735085,0.256536,0.495811,63.2455,38.0,,,,,,0.981927,0.986499,0.977421,0.974473,0.969672,0.971876,41.905,42.8285,39.6814,39.3254,38.2169,39.4813,0.976978,40.23975,35.4181,46.3652,46.1503,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1005.ply,-1.0,-1.0,250.89638956604333,0.730501,0.255747,0.493124,63.263,27.0,,,,,,0.98263,0.98654,0.980951,0.978699,0.975943,0.976017,42.2958,43.2098,41.626,41.1459,39.9425,40.8364,0.98013,41.50939999999999,35.4362,46.3691,46.1937,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1006.ply,-1.0,-1.0,250.55494111082044,0.732,0.259533,0.495767,63.2286,30.0,,,,,,0.98147,0.985386,0.979948,0.976829,0.971493,0.973681,41.2871,41.9071,40.9005,40.3669,38.4053,39.3114,0.9781345,40.363049999999994,35.4041,46.5716,46.1986,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1007.ply,-1.0,-1.0,250.7119694943537,0.73489,0.262404,0.498647,63.2049,26.0,,,,,,0.982395,0.986657,0.981055,0.978621,0.975815,0.976071,41.8616,43.1897,41.6674,41.112,39.9214,41.0214,0.9801023333333334,41.462250000000004,35.3045,46.4038,46.1785,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1008.ply,-1.0,-1.0,250.63601556275768,0.731461,0.26081,0.496136,63.2315,19.0,,,,,,0.982513,0.986876,0.980831,0.978351,0.975864,0.975956,42.2654,43.3673,41.2664,40.8903,39.7643,40.7811,0.9800651666666665,41.389133333333334,35.3953,46.2959,46.3198,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1009.ply,-1.0,-1.0,249.88799259659135,0.729549,0.262271,0.49591,63.2441,24.0,,,,,,0.981215,0.98562,0.97996,0.976692,0.971494,0.973198,41.0145,42.0649,41.1776,40.2623,38.3685,39.2933,0.9780298333333334,40.36351666666666,35.2684,46.4219,46.2325,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1010.ply,-1.0,-1.0,249.7165976926456,0.735864,0.256356,0.49611,63.2463,26.0,,,,,,0.982145,0.986815,0.979816,0.976662,0.973467,0.974296,41.8957,43.6657,41.0747,40.257,39.2823,40.2827,0.9788668333333334,41.07635,35.2866,46.3895,46.1399,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1011.ply,-1.0,-1.0,249.2581354024303,0.737943,0.256906,0.497424,63.2297,113.0,,,,,,0.982539,0.986533,0.980808,0.977922,0.975704,0.976082,42.4107,42.9314,41.4064,40.7627,39.9412,40.9489,0.9799313333333334,41.400216666666665,35.3653,46.4727,46.2958,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_2_noQuantize_OM=1/decompressed/loot_dec_1012.ply,-1.0,-1.0,248.95810358471866,0.727717,0.258641,0.493179,63.229,41.0,,,,,,0.980972,0.986274,0.980156,0.976869,0.976078,0.976077,41.5727,42.095,40.6137,40.0749,40.0271,40.865,0.9794043333333334,40.87473333333333,35.4627,46.4805,46.2092,
