pc_file,encT,decT,bpp,y_psnr,cb_psnr,cr_psnr,ssim,vmaf,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1068.ply,-1.0,-1.0,65.82162257327873,,,,,,0.476445,0.321607,0.399026,64.2867,33.0,,,,,,36.0024,46.7338,46.4489,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1067.ply,-1.0,-1.0,65.27145802696,,,,,,0.48985,0.346665,0.418257,64.0798,82.0,,,,,,35.8453,46.6495,46.4822,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1026.ply,-1.0,-1.0,65.66416204608826,,,,,,0.452253,0.324413,0.388333,64.3098,46.0,,,,,,35.4081,46.6458,46.4522,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1030.ply,-1.0,-1.0,65.29858540117696,,,,,,0.470287,0.318695,0.394491,64.1352,40.0,,,,,,35.6382,46.4691,46.3581,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1078.ply,-1.0,-1.0,65.27137484883124,,,,,,0.480684,0.33422,0.407452,64.1073,53.0,,,,,,36.5018,46.8368,46.5095,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1005.ply,-1.0,-1.0,66.0990459327933,,,,,,0.450425,0.315853,0.383139,64.359,27.0,,,,,,35.4578,46.5682,46.4227,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1010.ply,-1.0,-1.0,65.78822791996444,,,,,,0.453252,0.325617,0.389434,64.2978,50.0,,,,,,35.313,46.5486,46.4641,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1018.ply,-1.0,-1.0,65.665761545424,,,,,,0.461423,0.322279,0.391851,64.2462,35.0,,,,,,35.6439,46.621,46.4053,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1036.ply,-1.0,-1.0,65.55809580858251,,,,,,0.450688,0.318806,0.384747,64.329,43.0,,,,,,35.7723,46.741,46.6038,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1053.ply,-1.0,-1.0,65.16076946661222,,,,,,0.459082,0.332828,0.395955,64.2132,69.0,,,,,,35.2302,46.1464,46.1658,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1023.ply,-1.0,-1.0,65.72617860639635,,,,,,0.457376,0.319028,0.388202,64.2937,86.0,,,,,,35.4096,46.5795,46.5996,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1001.ply,-1.0,-1.0,65.38077063489429,,,,,,0.453683,0.327562,0.390623,64.1889,89.0,,,,,,35.5446,46.5459,46.3422,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1013.ply,-1.0,-1.0,65.43389245883209,,,,,,0.450316,0.312393,0.381354,64.3004,37.0,,,,,,35.5421,46.6255,46.1929,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1028.ply,-1.0,-1.0,65.52756665058959,,,,,,0.459453,0.309166,0.38431,64.2873,33.0,,,,,,35.5231,46.5998,46.2428,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1077.ply,-1.0,-1.0,65.71251816984005,,,,,,0.466486,0.325386,0.395936,64.174,21.0,,,,,,36.3815,46.7727,46.4444,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1008.ply,-1.0,-1.0,66.03044999471443,,,,,,0.453231,0.321899,0.387565,64.304,18.0,,,,,,35.3742,46.5627,46.5052,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1076.ply,-1.0,-1.0,65.42628640333342,,,,,,0.461777,0.326791,0.394284,64.1472,24.0,,,,,,36.1197,47.0807,46.6303,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1048.ply,-1.0,-1.0,65.62689053234726,,,,,,0.462215,0.329879,0.396047,63.992,21.0,,,,,,36.62,46.5968,46.7111,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1043.ply,-1.0,-1.0,64.76413547191999,,,,,,0.475575,0.338643,0.407109,63.758,73.0,,,,,,36.2466,46.5117,46.3498,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1051.ply,-1.0,-1.0,65.02155296077102,,,,,,0.45728,0.335957,0.396618,64.2515,40.0,,,,,,35.594,46.2108,46.1356,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1079.ply,-1.0,-1.0,65.6073042048108,,,,,,0.467571,0.328763,0.398167,64.2501,36.0,,,,,,36.4028,46.6803,46.5933,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1047.ply,-1.0,-1.0,65.57127238743871,,,,,,0.462764,0.328334,0.395549,63.9125,54.0,,,,,,36.6749,46.7648,46.2734,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1025.ply,-1.0,-1.0,65.7198536242372,,,,,,0.453508,0.315027,0.384268,64.359,22.0,,,,,,35.3793,46.5934,46.3472,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1070.ply,-1.0,-1.0,65.09187261638642,,,,,,0.484634,0.346132,0.415383,64.0936,57.0,,,,,,36.4979,47.0106,46.7065,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1065.ply,-1.0,-1.0,64.91582310647298,,,,,,0.504814,0.370126,0.43747,63.871,83.0,,,,,,36.0938,46.5424,46.3648,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1074.ply,-1.0,-1.0,65.53360312905029,,,,,,0.474745,0.314218,0.394482,64.1457,82.0,,,,,,36.3559,46.6756,46.4708,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1084.ply,-1.0,-1.0,65.62041650385308,,,,,,0.4474,0.319015,0.383207,64.4708,29.0,,,,,,35.4967,46.5524,46.5753,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1029.ply,-1.0,-1.0,65.55071252599583,,,,,,0.454851,0.320506,0.387678,64.2103,38.0,,,,,,35.5563,46.5549,46.3136,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4/decompressed/loot_dec_1004.ply,-1.0,-1.0,65.96845292603169,,,,,,0.447459,0.325057,0.386258,64.3299,43.0,,,,,,35.4388,46.5532,46.4019,
