pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1000.ply,-1.0,-1.0,72.1860071262603,0.338829,0.328993,0.333911,64.8327,52.0,,,,,,0.977075,0.985315,0.978221,0.974615,0.975491,0.97674,39.6526,40.4376,38.9674,38.7948,39.2609,39.9269,0.9779095000000001,39.5067,36.8585,46.5274,46.3518,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1001.ply,-1.0,-1.0,72.25382496432246,0.340914,0.320991,0.330952,64.9088,49.0,,,,,,0.981033,0.987394,0.980431,0.977339,0.976882,0.977271,41.5216,42.4548,40.4604,39.8378,40.1862,40.9937,0.9800583333333334,40.909083333333335,36.8639,46.755,46.5909,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1002.ply,-1.0,-1.0,72.55073058190207,0.341046,0.327367,0.334206,64.9121,25.0,,,,,,0.983198,0.987713,0.982464,0.980528,0.978691,0.978729,42.1368,42.8308,41.7858,41.3123,40.8532,41.6328,0.9818871666666666,41.75861666666667,36.9161,46.4868,46.3537,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1003.ply,-1.0,-1.0,72.71224085285567,0.339612,0.326501,0.333057,64.9566,59.0,,,,,,0.977788,0.985386,0.978397,0.974534,0.975927,0.976259,39.8443,40.3209,39.1873,38.5037,39.24,39.5875,0.9780485,39.44728333333334,36.8926,46.5164,46.2591,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1004.ply,-1.0,-1.0,72.90328646479321,0.342685,0.329013,0.335849,64.9373,56.0,,,,,,0.974913,0.984107,0.973868,0.968588,0.973507,0.974841,38.7695,39.3579,37.379,36.701,38.6876,39.2288,0.9749706666666667,38.353966666666665,36.7973,46.5834,46.6958,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1005.ply,-1.0,-1.0,73.04760786327918,0.328578,0.327576,0.328077,65.0328,29.0,,,,,,0.983697,0.987605,0.981391,0.97943,0.976664,0.977137,42.474,42.9714,41.2178,41.0234,40.0721,40.9824,0.9809873333333333,41.45685,36.8777,46.4764,46.4499,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1006.ply,-1.0,-1.0,72.9481963376459,0.334391,0.330311,0.332351,64.9654,89.0,,,,,,0.975736,0.984618,0.9735,0.969198,0.975604,0.977599,38.8431,39.7135,37.2913,36.8546,39.7654,40.9794,0.9760425,38.90788333333334,36.8353,46.5514,46.4722,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1007.ply,-1.0,-1.0,72.99391460327573,0.335639,0.32528,0.33046,64.9916,24.0,,,,,,0.978636,0.985191,0.976827,0.974092,0.973776,0.976,39.9589,40.3658,38.5567,38.532,38.8281,39.7641,0.9774203333333333,39.33426666666667,36.7918,46.6074,46.473,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1008.ply,-1.0,-1.0,72.97180088127081,0.337845,0.325831,0.331838,64.9782,27.0,,,,,,0.983684,0.987669,0.9826,0.980573,0.97887,0.978482,42.5973,43.0001,42.1831,41.6211,40.8771,41.6819,0.9819796666666667,41.99343333333332,36.8051,46.6052,46.5772,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1009.ply,-1.0,-1.0,72.75401660625691,0.331008,0.330519,0.330764,65.0029,78.0,,,,,,0.9754,0.984669,0.974793,0.969486,0.977973,0.977838,38.7537,39.6343,37.4378,36.8964,40.4403,41.052,0.9766931666666666,39.03575,36.7031,46.5934,46.3464,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_OM=4/decompressed/loot_dec_1010.ply,-1.0,-1.0,72.70411557836708,0.33551,0.325968,0.330739,65.0072,29.0,,,,,,0.974676,0.984129,0.973502,0.968199,0.973695,0.974692,38.4677,39.3046,37.1035,36.641,38.7289,39.2067,0.9748155000000001,38.242066666666666,36.7461,46.6013,46.6792,
