pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1000.ply,-1.0,-1.0,22.829130438109424,1.16197,1.2049,1.18344,59.3376,197.0,,,,,,,,,,0.875377,,,,,,30.536,,,,30.9605,42.9056,42.5737,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1001.ply,-1.0,-1.0,22.85057811658323,1.18768,1.14174,1.16471,59.4443,89.0,,,,,,,,,,0.887289,,,,,,30.9018,,,,31.0661,43.2843,42.8195,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1002.ply,-1.0,-1.0,22.944475775442193,1.20623,1.21992,1.21308,59.3134,171.0,,,,,,,,,,0.872958,,,,,,29.7031,,,,31.0742,43.3022,42.9321,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1003.ply,-1.0,-1.0,22.99555408257511,1.17175,1.2034,1.18758,59.4352,97.0,,,,,,,,,,0.882819,,,,,,30.3124,,,,31.0655,43.1613,42.5712,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1004.ply,-1.0,-1.0,23.055973066366832,1.18931,1.17297,1.18114,59.4757,120.0,,,,,,,,,,0.876895,,,,,,30.5643,,,,31.0046,42.9463,42.4327,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1005.ply,-1.0,-1.0,23.10161531979254,1.19677,1.21816,1.20747,59.3738,98.0,,,,,,,,,,0.883103,,,,,,30.1451,,,,30.9524,43.201,42.7191,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1006.ply,-1.0,-1.0,23.070176003835304,1.17555,1.21013,1.19284,59.4155,141.0,,,,,,,,,,0.883775,,,,,,30.203,,,,30.9732,42.9762,42.9482,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1007.ply,-1.0,-1.0,23.084634598942824,1.21262,1.20155,1.20709,59.3654,83.0,,,,,,,,,,0.875327,,,,,,29.6715,,,,30.9237,43.5153,43.0685,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1008.ply,-1.0,-1.0,23.077641040714298,1.16413,1.21727,1.1907,59.4295,77.0,,,,,,,,,,0.874176,,,,,,29.6259,,,,31.0003,42.974,42.9381,
/temp/pranav/dynamic_pc_data/loot/experiments/2DD_INT_lodX=2_lodY=2_OM=4_r1/decompressed/loot_dec_1009.ply,-1.0,-1.0,23.008765841495077,1.21761,1.20077,1.20919,59.3732,118.0,,,,,,,,,,0.877759,,,,,,30.3987,,,,30.9347,43.5428,42.7966,
