pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1000.ply,-1.0,-1.0,17.43200593770006,1.92825,1.77219,1.85022,57.3968,206.0,,,,,,,,,,0.887248,,,,,,30.3597,,,,29.3584,39.9821,39.6293,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1001.ply,-1.0,-1.0,17.44838308616477,1.98074,1.75969,1.87021,57.3875,164.0,,,,,,,,,,0.88165,,,,,,30.4673,,,,29.4511,40.0913,39.189,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1002.ply,-1.0,-1.0,17.520082030248656,1.89654,1.7162,1.80637,57.5842,261.0,,,,,,,,,,0.887937,,,,,,30.4276,,,,29.5266,39.9323,40.137,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1003.ply,-1.0,-1.0,17.559084713931355,1.95619,1.83084,1.89352,57.4091,208.0,,,,,,,,,,0.868529,,,,,,30.0115,,,,29.476,39.7754,39.299,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1004.ply,-1.0,-1.0,17.605219808172563,1.94368,1.75695,1.85032,57.5262,194.0,,,,,,,,,,0.871436,,,,,,30.3958,,,,29.3841,40.1611,39.5876,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1005.ply,-1.0,-1.0,17.640071596981777,1.89495,1.73695,1.81595,57.6016,198.0,,,,,,,,,,0.872725,,,,,,30.4846,,,,29.4418,40.2004,39.8723,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1006.ply,-1.0,-1.0,17.61606497334232,1.91796,1.7834,1.85068,57.5081,257.0,,,,,,,,,,0.872956,,,,,,30.5411,,,,29.5571,39.8777,39.4447,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1007.ply,-1.0,-1.0,17.627105355123327,1.95571,1.79877,1.87724,57.4476,257.0,,,,,,,,,,0.886791,,,,,,30.5075,,,,29.4075,39.6993,39.2871,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1008.ply,-1.0,-1.0,17.621765171497156,1.95275,1.77176,1.86225,57.4871,181.0,,,,,,,,,,0.891169,,,,,,30.8588,,,,29.4769,40.3066,39.1304,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1009.ply,-1.0,-1.0,17.569173028970976,1.87291,1.72751,1.80021,57.6449,409.0,,,,,,,,,,0.882254,,,,,,30.4679,,,,29.4839,39.8338,39.0262,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1010.ply,-1.0,-1.0,17.557122563110585,1.95879,1.79204,1.87541,57.4711,346.0,,,,,,,,,,0.882765,,,,,,30.2359,,,,29.4356,39.8048,39.1965,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1011.ply,-1.0,-1.0,17.524888908262454,1.9325,1.72751,1.83,57.5725,141.0,,,,,,,,,,0.880284,,,,,,30.2357,,,,29.3915,39.6607,39.3471,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1012.ply,-1.0,-1.0,17.50379421353624,1.91263,1.79641,1.85452,57.4767,221.0,,,,,,,,,,0.87432,,,,,,30.5268,,,,29.5653,39.6974,38.8418,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1013.ply,-1.0,-1.0,17.46255988349068,1.99424,1.84528,1.91976,57.2812,200.0,,,,,,,,,,0.883894,,,,,,30.7267,,,,29.4988,39.3636,38.9833,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1014.ply,-1.0,-1.0,17.42462847717069,1.9088,1.74264,1.82572,57.4595,334.0,,,,,,,,,,0.881209,,,,,,30.5454,,,,29.461,39.7432,38.9477,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1015.ply,-1.0,-1.0,17.408672772171936,2.00853,1.78442,1.89647,57.2904,246.0,,,,,,,,,,0.871155,,,,,,30.3414,,,,29.4686,39.9663,39.4501,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1016.ply,-1.0,-1.0,17.463675388389206,1.93024,1.70829,1.81927,57.4984,397.0,,,,,,,,,,0.888068,,,,,,30.8342,,,,29.5698,40.4601,39.4613,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1017.ply,-1.0,-1.0,17.488409225537445,1.94582,1.73687,1.84135,57.487,181.0,,,,,,,,,,0.881433,,,,,,30.2335,,,,29.6661,39.8382,39.5861,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1018.ply,-1.0,-1.0,17.524439555593162,1.96558,1.79162,1.8786,57.4391,224.0,,,,,,,,,,0.871586,,,,,,29.9139,,,,29.5771,39.8595,39.5743,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1019.ply,-1.0,-1.0,17.517791829317368,1.96477,1.77579,1.87028,57.4892,219.0,,,,,,,,,,0.879145,,,,,,30.1538,,,,29.475,40.1232,39.1393,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1020.ply,-1.0,-1.0,17.545584071182674,1.93497,1.74708,1.84102,57.5612,229.0,,,,,,,,,,0.887895,,,,,,30.3928,,,,29.4008,39.8983,39.4547,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1021.ply,-1.0,-1.0,17.56330369532816,2.03476,1.90389,1.96932,57.252,209.0,,,,,,,,,,0.883591,,,,,,30.6561,,,,29.4364,39.783,39.197,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1022.ply,-1.0,-1.0,17.54916568987055,1.9225,1.721,1.82175,57.577,230.0,,,,,,,,,,0.871189,,,,,,30.4308,,,,29.4645,40.3027,39.2575,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1023.ply,-1.0,-1.0,17.54056325702018,1.99335,1.79653,1.89494,57.4083,158.0,,,,,,,,,,0.868897,,,,,,29.926,,,,29.412,39.7954,39.4692,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1024.ply,-1.0,-1.0,17.530440314002504,1.98645,1.79404,1.89025,57.4318,161.0,,,,,,,,,,0.873663,,,,,,30.3955,,,,29.4442,40.0473,39.2365,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1025.ply,-1.0,-1.0,17.53887528805539,1.92522,1.75572,1.84047,57.556,164.0,,,,,,,,,,0.882918,,,,,,30.7032,,,,29.3988,40.1178,39.1514,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1026.ply,-1.0,-1.0,17.5240126919009,1.92628,1.72695,1.82661,57.5854,265.0,,,,,,,,,,0.874358,,,,,,30.375,,,,29.3989,39.8573,39.3408,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1027.ply,-1.0,-1.0,17.516198023252983,1.97086,1.76241,1.86664,57.4662,426.0,,,,,,,,,,0.887887,,,,,,30.4504,,,,29.4969,40.0113,39.1308,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1028.ply,-1.0,-1.0,17.487559025703288,1.91272,1.74071,1.82671,57.5174,153.0,,,,,,,,,,0.881821,,,,,,30.485,,,,29.5868,39.8996,39.6857,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1029.ply,-1.0,-1.0,17.49373604223324,1.94955,1.74836,1.84896,57.4258,185.0,,,,,,,,,,0.881794,,,,,,30.6318,,,,29.5345,39.6735,39.5565,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1030.ply,-1.0,-1.0,17.426450040285978,1.95726,1.73925,1.84825,57.4279,356.0,,,,,,,,,,0.869498,,,,,,30.3371,,,,29.5067,39.4033,39.034,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1031.ply,-1.0,-1.0,17.464768721467898,1.97504,1.75466,1.86485,57.4236,170.0,,,,,,,,,,0.88456,,,,,,30.7019,,,,29.4671,40.0785,39.1929,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1032.ply,-1.0,-1.0,17.592259449497362,1.94443,1.72681,1.83562,57.5298,182.0,,,,,,,,,,0.890047,,,,,,30.5114,,,,29.5388,39.6693,38.7225,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1033.ply,-1.0,-1.0,17.5549579400244,1.93758,1.75075,1.84416,57.5371,237.0,,,,,,,,,,0.869845,,,,,,30.5903,,,,29.4715,39.4563,39.3748,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1034.ply,-1.0,-1.0,17.569466598629575,1.98599,1.76634,1.87616,57.4618,205.0,,,,,,,,,,0.884832,,,,,,30.5494,,,,29.5071,40.0783,39.2443,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1035.ply,-1.0,-1.0,17.603950118676135,1.95671,1.77852,1.86762,57.4676,410.0,,,,,,,,,,0.87659,,,,,,29.4999,,,,29.5629,39.4559,39.107,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1036.ply,-1.0,-1.0,17.495706443342844,1.92494,1.66911,1.79702,57.6352,213.0,,,,,,,,,,0.881601,,,,,,30.5651,,,,29.5723,39.8111,39.3988,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1037.ply,-1.0,-1.0,17.51718569987787,1.96428,1.75117,1.85773,57.4988,234.0,,,,,,,,,,0.869505,,,,,,30.3856,,,,29.5364,40.0772,39.4597,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1038.ply,-1.0,-1.0,17.506955179722972,2.00128,1.80637,1.90383,57.4101,173.0,,,,,,,,,,0.871249,,,,,,29.932,,,,29.5367,40.342,39.6982,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1039.ply,-1.0,-1.0,17.40341978279414,1.96745,1.78796,1.8777,57.4802,216.0,,,,,,,,,,0.868937,,,,,,29.9481,,,,29.5565,39.9986,39.3514,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1040.ply,-1.0,-1.0,17.314162884636577,1.95735,1.72981,1.84358,57.5255,254.0,,,,,,,,,,0.878945,,,,,,30.2927,,,,29.5436,39.8312,39.2936,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1041.ply,-1.0,-1.0,17.31703633885181,2.04433,1.78235,1.91334,57.1909,169.0,,,,,,,,,,0.868764,,,,,,30.01,,,,29.6087,39.805,39.0287,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1042.ply,-1.0,-1.0,17.243505223825995,1.97971,1.7653,1.8725,57.2105,236.0,,,,,,,,,,0.873851,,,,,,30.357,,,,29.7135,39.7695,39.6709,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1043.ply,-1.0,-1.0,17.283819615231423,1.95836,1.77682,1.86759,57.1423,205.0,,,,,,,,,,0.876845,,,,,,30.4274,,,,29.7402,39.8048,39.6189,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/loot_dec_1044.ply,-1.0,-1.0,17.347188239235713,1.89582,1.74,1.81791,57.2113,309.0,,,,,,,,,,0.885293,,,,,,29.8488,,,,29.7093,39.8569,38.7854,
