pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,41.400874737530735,1.00315,1.22667,1.11491,59.3356,162.0,,,,,,,,,,0.931802,,,,,,33.3177,,,,31.3504,38.4419,30.6829,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,41.89298442339932,1.05326,1.26112,1.15719,59.1735,238.0,,,,,,,,,,0.936993,,,,,,33.4771,,,,31.5329,38.7037,30.7477,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,42.461161921212614,1.0439,1.22197,1.13293,59.2666,281.0,,,,,,,,,,0.934736,,,,,,32.8903,,,,31.5443,38.7247,31.1685,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,43.09123222241414,1.02319,1.15265,1.08792,59.4414,280.0,,,,,,,,,,0.930479,,,,,,31.7757,,,,31.7062,38.9233,31.2422,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,43.89062654484335,1.07304,1.23381,1.15343,59.1868,265.0,,,,,,,,,,0.935275,,,,,,33.6823,,,,31.5892,38.7613,30.7784,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,44.42990533157498,0.992009,1.16209,1.07705,59.4721,144.0,,,,,,,,,,0.934915,,,,,,31.7947,,,,31.7133,38.7875,31.0367,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,43.880992494799564,1.06173,1.23509,1.14841,59.1857,405.0,,,,,,,,,,0.934859,,,,,,33.3491,,,,31.652,38.7722,30.68,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,43.50126237880587,1.02568,1.16334,1.09451,59.3934,130.0,,,,,,,,,,0.932339,,,,,,33.3264,,,,31.6991,38.7577,31.2366,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,43.05994522423828,0.991814,1.18995,1.09088,59.4042,178.0,,,,,,,,,,0.937815,,,,,,33.4018,,,,31.7302,38.8684,31.3535,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,42.35422276037889,1.04991,1.19107,1.12049,59.2899,229.0,,,,,,,,,,0.926855,,,,,,32.7753,,,,31.515,38.8371,30.941,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,42.45889243337216,1.03103,1.09105,1.06104,59.5181,131.0,,,,,,,,,,0.933712,,,,,,33.154,,,,31.588,38.8215,31.4126,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,42.41927523931042,1.02909,1.12403,1.07656,59.5197,194.0,,,,,,,,,,0.926864,,,,,,32.5951,,,,31.5037,39.0257,31.3374,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1462.ply,-1.0,-1.0,42.41206380339136,1.01346,1.13148,1.07247,59.7535,276.0,,,,,,,,,,0.92397,,,,,,32.3399,,,,31.356,38.7963,31.2454,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1463.ply,-1.0,-1.0,42.468987542118334,1.01954,1.16302,1.09128,59.6844,225.0,,,,,,,,,,0.943073,,,,,,33.5895,,,,31.297,38.6214,31.1958,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1464.ply,-1.0,-1.0,42.8325971499558,1.00295,1.14092,1.07193,59.5251,260.0,,,,,,,,,,0.9328,,,,,,32.8219,,,,31.3786,38.705,31.103,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1465.ply,-1.0,-1.0,43.37549788774894,0.940821,1.08967,1.01525,59.6987,138.0,,,,,,,,,,0.93311,,,,,,32.7778,,,,31.5366,38.7318,31.1973,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1466.ply,-1.0,-1.0,43.56272106605248,1.00398,1.13418,1.06908,59.4834,906.0,,,,,,,,,,0.930787,,,,,,33.085,,,,31.6939,38.7035,30.6521,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1467.ply,-1.0,-1.0,43.59411365441548,1.06445,1.19307,1.12876,59.2542,489.0,,,,,,,,,,0.929846,,,,,,33.0736,,,,31.6713,38.88,30.6239,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1468.ply,-1.0,-1.0,44.08265476593806,0.998072,1.11277,1.05542,59.5434,101.0,,,,,,,,,,0.93628,,,,,,33.2173,,,,31.763,38.6548,30.5894,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1469.ply,-1.0,-1.0,44.08799856285956,1.00768,1.13175,1.06971,59.488,230.0,,,,,,,,,,0.929164,,,,,,32.9826,,,,31.5473,38.8115,30.5254,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1470.ply,-1.0,-1.0,43.76704547102132,0.975168,1.13598,1.05557,59.5521,113.0,,,,,,,,,,0.930803,,,,,,33.0938,,,,31.6585,38.7193,30.2885,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1471.ply,-1.0,-1.0,43.407931897270714,0.975891,1.15478,1.06533,59.5093,140.0,,,,,,,,,,0.935551,,,,,,33.4014,,,,31.5777,38.6488,30.334,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1472.ply,-1.0,-1.0,43.09283160005996,0.976982,1.06259,1.01978,59.6996,189.0,,,,,,,,,,0.926812,,,,,,32.4024,,,,31.5621,38.5105,30.4704,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1473.ply,-1.0,-1.0,42.328210118641145,0.977252,1.08193,1.02959,59.6571,274.0,,,,,,,,,,0.927697,,,,,,31.8379,,,,31.715,38.5359,30.4565,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1474.ply,-1.0,-1.0,41.91631107784722,0.951763,1.04703,0.999395,59.7844,187.0,,,,,,,,,,0.925833,,,,,,32.4951,,,,31.7602,38.5472,30.5488,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1475.ply,-1.0,-1.0,41.31825330451648,0.944557,1.01677,0.980665,59.8941,101.0,,,,,,,,,,0.936763,,,,,,33.5784,,,,31.6316,38.5801,30.6275,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1476.ply,-1.0,-1.0,41.186394335066105,1.04607,1.11674,1.08141,59.4271,245.0,,,,,,,,,,0.929354,,,,,,33.0258,,,,31.5677,38.391,30.5207,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1477.ply,-1.0,-1.0,41.25816675892326,1.01686,1.12626,1.07156,59.5297,315.0,,,,,,,,,,0.931054,,,,,,32.0341,,,,31.6749,38.3493,30.6674,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/redandblack_dec_1478.ply,-1.0,-1.0,41.23472176879019,0.967443,1.03829,1.00287,59.8186,265.0,,,,,,,,,,0.930816,,,,,,31.9375,,,,31.8628,38.2128,30.676,
