pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,107.54199302459222,1.0326,0.388205,0.710401,61.293,99.0,,,,,,0.980136,0.984764,0.976223,0.977519,0.970498,0.97057,37.9624,40.1545,37.4365,37.5256,36.2361,36.7396,0.9766183333333335,37.675783333333335,33.9427,39.826,32.0224,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,108.82028621864973,1.07691,0.39235,0.734629,61.1469,98.0,,,,,,0.980785,0.984532,0.975802,0.977714,0.971273,0.97126,38.3672,39.9184,37.1823,37.6187,36.2664,36.8571,0.9768943333333334,37.70168333333333,34.2551,39.9605,32.1513,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,110.29617147213634,0.967188,0.380666,0.673927,61.5226,77.0,,,,,,0.980862,0.984049,0.975897,0.975997,0.970733,0.975314,38.2923,39.6504,37.0607,37.2717,36.1636,38.2143,0.9771419999999998,37.7755,34.309,40.0275,33.0594,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,111.93282809754315,0.979491,0.385909,0.6827,61.4651,68.0,,,,,,0.979627,0.981913,0.973659,0.973386,0.963224,0.966665,37.5106,37.518,36.0245,35.7492,33.4805,34.7994,0.9730789999999999,35.847033333333336,34.406,40.2446,33.1833,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,114.00931704111247,1.17501,0.389875,0.782443,60.8722,90.0,,,,,,0.978191,0.980751,0.974823,0.976362,0.959845,0.961963,36.4487,36.9743,36.366,36.8086,32.6399,33.4089,0.9719891666666666,35.44106666666667,34.1834,40.0387,32.1193,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,115.41013564431047,0.986232,0.379616,0.682924,61.4507,99.0,,,,,,0.983565,0.985538,0.976819,0.978708,0.972512,0.976042,39.5163,40.4261,37.6834,38.2986,36.5519,38.2212,0.9788640000000001,38.44958333333333,34.3955,40.2531,32.9371,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,113.98429184661656,1.12658,0.409303,0.767942,60.9334,98.0,,,,,,0.981754,0.984219,0.97379,0.974562,0.971021,0.971402,38.1144,38.9156,36.1376,35.9071,35.8817,36.4098,0.9761246666666668,36.89436666666666,34.258,40.116,32.02,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,112.9979133281839,1.00111,0.3779,0.689503,61.4002,129.0,,,,,,0.98084,0.985133,0.975868,0.975962,0.9705,0.974802,38.4999,39.9807,37.2033,36.8143,35.9255,37.6854,0.9771841666666669,37.684850000000004,34.4731,40.3179,33.2096,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,111.85155768572406,1.01043,0.374643,0.692535,61.3775,81.0,,,,,,0.980703,0.985326,0.974419,0.974539,0.969151,0.97122,38.0644,39.7586,36.4618,36.2993,35.347,36.1451,0.975893,37.0127,34.4936,40.299,33.2725,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,110.01838868224733,1.11113,0.406645,0.758888,60.9822,49.0,,,,,,0.981965,0.985579,0.975084,0.977261,0.969904,0.970953,38.8113,40.247,36.9765,37.6267,35.7308,36.4891,0.976791,37.646899999999995,34.114,39.9602,32.221,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,110.29027630090975,1.03123,0.383507,0.70737,61.2789,50.0,,,,,,0.98005,0.985274,0.975244,0.976646,0.965169,0.969327,37.6141,39.7224,37.0596,37.3441,34.1098,35.5692,0.975285,36.903200000000005,34.2729,40.0536,33.2889,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,110.18736755720685,1.0628,0.384961,0.723881,61.2434,134.0,,,,,,0.980868,0.986222,0.974676,0.975794,0.969648,0.973793,38.5692,40.5186,36.8141,36.7985,35.5736,37.4314,0.9768335,37.61756666666667,34.167,40.2612,33.2565,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1462.ply,-1.0,-1.0,110.16863529137379,1.0783,0.375084,0.72669,61.4438,59.0,,,,,,0.981008,0.985221,0.974649,0.974437,0.964733,0.968129,38.1122,39.4091,36.9981,36.0639,33.945,35.2523,0.9746961666666668,36.63009999999999,33.975,40.2292,33.0554,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1463.ply,-1.0,-1.0,110.31649913125445,1.07065,0.370685,0.720669,61.4864,61.0,,,,,,0.981378,0.985427,0.974984,0.974944,0.968197,0.971283,38.601,40.1878,37.1979,36.258,35.0915,36.3986,0.9760355,37.28913333333333,33.968,39.9517,33.0397,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1464.ply,-1.0,-1.0,111.26100337561245,1.05808,0.376349,0.717213,61.2703,59.0,,,,,,0.979791,0.984363,0.972276,0.973216,0.969041,0.971774,37.8707,39.0452,35.8065,35.8201,35.3352,36.647,0.9750768333333334,36.75411666666667,33.863,39.9738,32.9685,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1465.ply,-1.0,-1.0,112.67123027847228,0.97346,0.356857,0.665159,61.5351,121.0,,,,,,0.981232,0.985347,0.976485,0.975819,0.970611,0.975168,38.4997,39.7713,37.6917,36.6032,35.8496,37.6844,0.9774436666666667,37.68331666666666,34.4135,40.1794,33.1341,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1466.ply,-1.0,-1.0,113.15755704965301,1.09303,0.388908,0.740971,61.0755,90.0,,,,,,0.981549,0.984862,0.974682,0.976222,0.969974,0.969119,38.4792,39.4615,36.7116,36.8416,35.5546,35.7377,0.976068,37.13103333333333,34.1945,39.9755,31.9954,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1467.ply,-1.0,-1.0,113.23910174019785,1.14629,0.392233,0.76926,60.9195,86.0,,,,,,0.982009,0.984696,0.973119,0.973562,0.967816,0.968586,38.4384,39.1413,36.0497,35.4064,34.6913,35.6503,0.9749646666666667,36.562900000000006,34.1822,40.0639,31.9721,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1468.ply,-1.0,-1.0,114.50812528476466,1.1306,0.373142,0.751871,61.0162,68.0,,,,,,0.980813,0.983707,0.970056,0.968716,0.970139,0.970192,37.3982,37.5129,34.5929,33.4925,35.6533,36.3819,0.9739371666666666,35.83861666666667,34.2346,40.0548,31.8935,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1469.ply,-1.0,-1.0,114.5220062130035,1.13701,0.376859,0.756935,60.9901,51.0,,,,,,0.980391,0.984022,0.970096,0.969589,0.969984,0.970551,37.3656,37.9491,34.6102,33.7705,35.578,36.3045,0.9741055,35.92965,34.0772,39.9646,31.8452,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1470.ply,-1.0,-1.0,113.68830558753338,1.10491,0.378301,0.741604,61.0852,49.0,,,,,,0.981853,0.985601,0.975157,0.976373,0.970409,0.970678,38.9946,39.82,36.6673,36.6678,35.9287,36.4733,0.9766785000000001,37.42528333333333,34.105,39.8359,31.6792,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/redandblack_dec_1471.ply,-1.0,-1.0,112.75548014149723,1.09622,0.376489,0.736353,61.1133,69.0,,,,,,0.982382,0.985308,0.976173,0.977973,0.969021,0.969197,39.3038,39.8187,37.1821,37.6664,35.4519,36.1131,0.9766756666666666,37.589333333333336,34.0132,39.6156,31.6954,
