pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,37.06347127341651,1.56111,1.13898,1.35005,58.5046,515.0,,,,,,,,,,0.915402,,,,,,24.7992,,,,30.8819,38.2364,29.5387,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,37.50402460281334,1.66153,1.19558,1.42855,58.2586,297.0,,,,,,,,,,0.919438,,,,,,24.8911,,,,31.1111,38.4498,29.593,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,38.01267642483184,1.53667,1.08608,1.31137,58.6314,296.0,,,,,,,,,,0.918749,,,,,,28.5857,,,,30.9729,38.6257,30.2488,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,38.57673678966384,1.55175,1.02454,1.28814,58.7077,377.0,,,,,,,,,,0.916335,,,,,,28.3226,,,,31.1134,38.4828,30.2373,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,39.29238177768214,1.871,1.14282,1.50691,58.0259,260.0,,,,,,,,,,0.921324,,,,,,24.6442,,,,31.0007,38.5319,29.4165,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,39.77516249058026,1.52299,1.05636,1.28968,58.6896,174.0,,,,,,,,,,0.919548,,,,,,28.4085,,,,31.0589,38.5327,29.9858,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,39.28375704839059,1.76146,1.19162,1.47654,58.0942,362.0,,,,,,,,,,0.920065,,,,,,25.2571,,,,30.9505,38.456,29.3699,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,38.943809732421805,1.61123,1.06183,1.33653,58.5258,155.0,,,,,,,,,,0.920954,,,,,,28.6777,,,,30.9617,38.4685,30.3556,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,38.54872760470159,1.62818,1.07757,1.35288,58.4694,194.0,,,,,,,,,,0.914938,,,,,,27.9743,,,,30.9443,38.6875,30.3832,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,37.916940850627384,1.77619,1.11922,1.44771,58.1772,269.0,,,,,,,,,,0.91656,,,,,,24.6985,,,,30.933,38.2278,29.5288,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,38.010644702122754,1.67087,1.02789,1.34938,58.4741,146.0,,,,,,,,,,0.910888,,,,,,27.5411,,,,30.873,38.518,30.3213,
