pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,21.64217502156671,3.98142,3.74153,3.86148,53.9405,731.0,,,,,,0.967567,0.975107,0.963728,0.962637,0.94945,0.952266,33.3,35.0362,32.7677,32.5498,30.9009,31.6739,0.9617924999999999,32.70475,29.4637,37.4719,28.6184,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,21.899423787900655,4.11418,3.98668,4.05043,53.7326,689.0,,,,,,0.970026,0.975563,0.963967,0.963044,0.952679,0.955724,33.861,35.0966,32.7483,32.4683,31.4448,32.3238,0.9635005,32.99046666666666,29.7235,37.6482,28.7789,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,22.196436759944074,4.21113,3.90585,4.05849,53.725,410.0,,,,,,0.970697,0.974386,0.963028,0.963242,0.946261,0.949431,33.2121,34.2776,32.3833,32.3592,29.3544,30.2299,0.9611741666666666,31.96941666666666,29.8719,37.6777,28.6273,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,22.52580399725351,4.1431,3.75143,3.94726,53.8444,290.0,,,,,,0.9725,0.976176,0.959593,0.960724,0.954041,0.956475,33.9601,34.6719,31.1563,31.0408,31.4585,32.1493,0.9632515,32.40615,29.9666,37.9183,28.7114,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,22.94368482578529,4.17433,3.74395,3.95914,53.8307,337.0,,,,,,0.973424,0.977244,0.960943,0.960899,0.952264,0.954752,34.4582,35.2265,31.3757,31.1272,30.8584,31.4832,0.9632543333333333,32.42153333333333,29.8657,37.9073,28.696,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,23.225591088922382,4.09467,3.74772,3.9212,53.8602,332.0,,,,,,0.971667,0.974402,0.955144,0.956037,0.944704,0.949154,32.3929,32.5609,29.1811,29.31,28.7119,29.6594,0.9585180000000001,30.3027,29.9095,37.8677,28.5371,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,22.9386486568991,4.21921,3.7767,3.99796,53.7683,281.0,,,,,,0.974048,0.978336,0.963919,0.962212,0.957477,0.960112,35.084,36.0381,32.4985,31.8264,32.2787,32.9709,0.9660173333333333,33.44943333333334,30.0303,37.8961,28.655,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,22.74014595174139,4.07364,3.70115,3.88739,53.889,296.0,,,,,,0.969579,0.975116,0.962572,0.962665,0.944337,0.949923,32.517,33.9454,32.0375,32.1965,28.9233,29.9267,0.9606986666666666,31.591066666666666,30.0307,37.8574,28.7202,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,22.50944881889764,4.22775,3.71667,3.97221,53.7916,262.0,,,,,,0.972273,0.978236,0.964536,0.963313,0.955864,0.957783,34.5361,35.8661,33.0757,32.6187,31.8124,32.5423,0.9653341666666667,33.40855,29.8707,38.0087,28.8113,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,22.140534655215717,4.29208,3.87054,4.08131,53.676,694.0,,,,,,0.968552,0.976408,0.958111,0.958161,0.944383,0.948063,32.7997,34.4344,30.8609,30.8943,29.0974,29.9781,0.9589463333333335,31.344133333333335,29.6845,37.9885,28.8509,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,22.19525039242493,4.21835,3.78327,4.00081,53.7539,409.0,,,,,,0.969893,0.976219,0.959657,0.957455,0.948866,0.95275,33.3352,33.6767,31.1726,30.1255,30.1605,31.2221,0.9608066666666666,31.61543333333334,29.8651,37.9675,28.8583,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,22.174540630779003,3.99761,3.37893,3.68827,54.1719,222.0,,,,,,0.97238,0.978972,0.963842,0.960772,0.954421,0.957253,34.4519,35.7206,32.6261,31.716,31.5822,32.453,0.9646066666666666,33.091633333333334,29.7678,37.9193,28.735,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1462.ply,-1.0,-1.0,22.170770875687918,4.07975,3.53228,3.80602,54.2526,417.0,,,,,,0.973739,0.979573,0.963961,0.96173,0.951733,0.953887,35.5755,36.4655,32.8591,31.9918,30.8184,31.6928,0.9641038333333333,33.23385,29.6709,37.7052,28.6711,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1463.ply,-1.0,-1.0,22.20052757827503,3.95825,3.52758,3.74291,54.3317,326.0,,,,,,0.974223,0.977168,0.961239,0.960751,0.947598,0.949611,35.3675,35.0958,31.9966,31.6941,29.8488,30.6106,0.9617650000000001,32.435566666666666,29.7209,37.7256,28.7647,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1464.ply,-1.0,-1.0,22.39060333928807,3.9152,3.55207,3.73363,54.1055,275.0,,,,,,0.972684,0.977637,0.963917,0.962985,0.952011,0.953324,34.9984,35.6126,33.3268,32.5894,30.9473,31.701,0.9637596666666667,33.19591666666666,29.6934,37.735,28.6609,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1465.ply,-1.0,-1.0,22.674402965772913,3.98643,3.60003,3.79323,53.9743,430.0,,,,,,0.973031,0.977891,0.964355,0.963306,0.952372,0.952886,35.0215,35.8067,33.2595,32.5131,30.904,31.6403,0.9639734999999999,33.190850000000005,29.7312,37.6463,28.5465,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1466.ply,-1.0,-1.0,22.772273284181086,3.95836,3.55032,3.75434,54.0282,307.0,,,,,,0.972752,0.977318,0.963543,0.962416,0.950981,0.952082,34.8503,35.169,32.8242,32.2922,30.4977,31.2204,0.9631819999999999,32.80896666666667,29.7937,37.6713,28.5511,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1467.ply,-1.0,-1.0,22.78868365947,3.98107,3.27125,3.62616,54.1858,297.0,,,,,,0.973789,0.977514,0.963391,0.962824,0.954504,0.955422,34.5495,35.2504,32.8105,32.3664,31.3432,32.1367,0.9645740000000002,33.076116666666664,29.8655,37.8247,28.5459,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1468.ply,-1.0,-1.0,23.044066964963726,3.95629,3.54881,3.75255,54.0344,362.0,,,,,,0.974092,0.977587,0.958157,0.95798,0.949626,0.952731,35.0727,35.0622,30.7021,30.6894,30.0971,31.2481,0.9616954999999999,32.145266666666664,29.8474,37.6208,28.5392,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1469.ply,-1.0,-1.0,23.046860417734663,3.83865,3.56776,3.7032,54.0949,497.0,,,,,,0.974649,0.97844,0.962024,0.963264,0.952105,0.954543,35.2007,35.6213,32.0309,32.2149,30.8604,31.7804,0.9641708333333333,32.951433333333334,29.8381,37.9755,28.4493,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1470.ply,-1.0,-1.0,22.879083214201827,4.09805,3.60108,3.84956,53.9329,274.0,,,,,,0.974176,0.978282,0.96388,0.964856,0.953425,0.95491,35.26,35.5036,32.7778,32.7145,31.4377,32.1336,0.9649215,33.30453333333333,29.8239,37.8909,28.1856,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1471.ply,-1.0,-1.0,22.69135774064594,4.01006,3.69433,3.8522,53.9271,420.0,,,,,,0.973672,0.977243,0.963175,0.964586,0.94939,0.950949,34.1461,34.1277,32.2034,32.6334,30.354,31.063,0.9631691666666665,32.42126666666667,29.764,37.7648,28.3067,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1472.ply,-1.0,-1.0,22.526640066808945,3.98183,3.48306,3.73245,54.0648,221.0,,,,,,0.973361,0.978237,0.963947,0.966024,0.948647,0.952187,35.0722,35.4451,32.4221,32.9505,30.301,31.3907,0.9637338333333334,32.93026666666667,29.6857,37.7339,28.3569,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1473.ply,-1.0,-1.0,22.12693662983991,4.00338,3.58407,3.79372,53.9931,299.0,,,,,,0.971716,0.978495,0.965094,0.966371,0.952406,0.955096,34.6534,35.4324,32.543,33.0885,31.1205,32.2944,0.9648630000000001,33.188700000000004,29.8505,37.6032,28.3966,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1474.ply,-1.0,-1.0,21.911617722000592,3.97416,3.62479,3.79947,53.9845,789.0,,,,,,0.970082,0.977496,0.959789,0.961986,0.948377,0.951754,32.8722,33.9703,30.1578,31.4289,30.2516,31.5935,0.9615806666666668,31.712383333333335,29.9481,37.7344,28.4583,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1475.ply,-1.0,-1.0,21.598984931377473,3.98845,3.44443,3.71644,54.1081,289.0,,,,,,0.969723,0.977059,0.963892,0.96579,0.943427,0.946109,33.3755,33.9508,32.3331,33.5183,29.1815,30.2569,0.961,32.10268333333334,29.765,37.6569,28.4618,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1476.ply,-1.0,-1.0,21.530056076296507,4.29139,3.63782,3.9646,53.785,344.0,,,,,,0.968972,0.976366,0.956616,0.959051,0.953429,0.953039,32.8321,33.5976,29.7853,31.263,31.5159,32.154,0.9612455000000001,31.857983333333333,29.6119,37.4251,28.4912,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1477.ply,-1.0,-1.0,21.567574881604035,4.14154,3.77512,3.95833,53.8548,539.0,,,,,,0.970631,0.976357,0.958906,0.961267,0.951438,0.951862,33.5949,34.2505,30.956,32.2793,31.0027,31.6922,0.9617435,32.29593333333333,29.7061,37.3365,28.3736,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1478.ply,-1.0,-1.0,21.555319087902674,4.11013,3.6717,3.89091,53.9305,566.0,,,,,,0.970488,0.977467,0.960037,0.961533,0.955691,0.954188,33.6769,35.3913,31.775,32.7027,31.9427,32.2005,0.963234,32.94818333333333,29.899,37.3174,28.2872,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1479.ply,-1.0,-1.0,21.62491383622373,4.16341,3.58348,3.87344,53.9579,261.0,,,,,,0.972493,0.976807,0.959201,0.961522,0.95103,0.951331,33.6785,34.5248,32.3283,33.1649,30.1248,30.8336,0.9620639999999999,32.442483333333335,30.172,37.1269,28.2792,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1480.ply,-1.0,-1.0,21.64422327806612,4.24255,3.60524,3.92389,53.863,389.0,,,,,,0.971134,0.977448,0.954462,0.9571,0.957294,0.957157,33.8405,35.1716,31.3139,32.1664,31.888,32.5106,0.9624324999999999,32.81516666666667,30.275,37.4544,28.2125,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1481.ply,-1.0,-1.0,21.761738288603237,3.92461,3.5279,3.72625,54.1118,582.0,,,,,,0.970251,0.97718,0.956853,0.959913,0.954484,0.957385,33.9535,35.3046,32.3101,33.0732,30.741,31.7552,0.9626776666666667,32.85626666666666,30.1889,37.2499,28.3876,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1482.ply,-1.0,-1.0,21.393596843839184,4.03582,3.78107,3.90844,53.9015,472.0,,,,,,0.967547,0.976871,0.953293,0.956545,0.958045,0.961051,32.9464,34.9656,31.8572,32.5075,31.7144,32.6677,0.9622253333333335,32.77646666666667,30.0829,37.2294,28.4129,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1483.ply,-1.0,-1.0,21.19740150880134,4.13012,3.37633,3.75322,54.0907,262.0,,,,,,0.968855,0.977451,0.950496,0.954761,0.953995,0.959194,33.5591,35.029,31.2505,31.8608,30.17,31.1672,0.9607920000000001,32.17276666666667,30.0679,37.054,28.3904,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1484.ply,-1.0,-1.0,21.22109034280481,3.99765,3.61167,3.80466,54.0174,531.0,,,,,,0.969175,0.977838,0.951649,0.955812,0.958669,0.962418,33.4485,35.2439,31.605,32.3649,31.3654,31.8394,0.9625935,32.64451666666667,29.9945,37.2773,28.5548,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1485.ply,-1.0,-1.0,21.12164604029972,4.15206,3.85754,4.0048,53.7377,525.0,,,,,,0.969908,0.978799,0.952342,0.955873,0.960714,0.965052,33.5826,35.2105,31.7146,32.2965,31.973,32.7526,0.9637813333333334,32.92163333333333,30.0531,37.2455,28.4863,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1486.ply,-1.0,-1.0,21.105233100123982,4.02724,4.08569,4.05647,53.6977,563.0,,,,,,0.965704,0.975911,0.941936,0.947906,0.952785,0.956403,31.4523,33.4848,29.1814,30.3232,29.5978,30.1685,0.9567741666666668,30.701333333333334,29.9121,37.1685,28.4932,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1487.ply,-1.0,-1.0,21.073327858015666,4.35569,3.69497,4.02533,53.709,758.0,,,,,,0.968933,0.977305,0.950682,0.953337,0.958443,0.958944,32.5978,34.7052,31.1363,31.7316,31.367,31.3652,0.961274,32.15051666666667,29.8614,37.2468,28.3673,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1488.ply,-1.0,-1.0,21.033581701611507,4.27251,4.26826,4.27038,53.4556,569.0,,,,,,0.968521,0.976403,0.952111,0.953008,0.959823,0.960187,32.8619,34.8357,31.3303,31.4534,32.2422,32.0835,0.9616755,32.467833333333324,29.782,37.3091,28.3019,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1489.ply,-1.0,-1.0,20.93777192193328,4.06668,3.73158,3.89913,53.8372,387.0,,,,,,0.967488,0.975579,0.949292,0.950465,0.956794,0.958286,33.0148,34.7853,30.6017,31.0672,31.7161,31.7802,0.9596506666666667,32.16088333333334,29.6984,37.3319,28.2483,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1490.ply,-1.0,-1.0,20.655184600523054,3.97556,4.10009,4.03783,53.697,562.0,,,,,,0.963737,0.974734,0.947665,0.948395,0.951561,0.951292,32.3857,34.6708,29.9405,30.5221,30.4109,30.1467,0.9562306666666668,31.34611666666667,29.5453,37.3306,28.3015,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1491.ply,-1.0,-1.0,20.71747473010213,4.05311,4.00835,4.03073,53.7028,529.0,,,,,,0.959515,0.971556,0.954337,0.953117,0.945309,0.944857,29.9571,32.2281,31.5107,31.6821,28.9647,28.5584,0.9547818333333332,30.483516666666663,29.4173,37.4203,28.2516,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1492.ply,-1.0,-1.0,20.54048734770384,4.30563,3.87044,4.08804,53.6659,514.0,,,,,,0.961142,0.971425,0.947398,0.946475,0.946256,0.945097,30.4381,32.4024,29.3797,29.6524,29.0168,28.9341,0.9529654999999999,29.970583333333334,29.5794,37.2859,28.2628,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1493.ply,-1.0,-1.0,20.463480264702106,4.09867,3.89818,3.99842,53.7536,326.0,,,,,,0.958583,0.970688,0.944526,0.94303,0.952473,0.950597,29.1828,31.5336,28.0298,28.7419,30.9413,30.6213,0.9533161666666667,29.84178333333333,29.5318,37.5593,28.23,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1494.ply,-1.0,-1.0,20.467594322002242,4.33072,4.10685,4.21878,53.4938,773.0,,,,,,0.960727,0.972447,0.945598,0.945338,0.954472,0.95047,29.7775,32.4355,28.1169,29.0523,31.1886,30.5676,0.9548420000000001,30.189733333333333,29.5218,37.4178,28.2312,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1495.ply,-1.0,-1.0,20.445080167136332,4.11305,3.98638,4.04971,53.6894,558.0,,,,,,0.962829,0.973241,0.949924,0.950847,0.949132,0.946182,30.9404,33.237,29.2074,30.2836,30.0273,29.3215,0.9553591666666668,30.502866666666666,29.6284,37.7308,28.2203,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1496.ply,-1.0,-1.0,20.584940143311666,4.05711,3.96183,4.00947,53.7158,626.0,,,,,,0.964118,0.973499,0.957179,0.95764,0.950825,0.950298,31.8472,33.6597,31.555,32.0589,30.7108,30.365,0.9589265,31.699433333333335,29.5427,37.3269,28.178,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1497.ply,-1.0,-1.0,20.772236329243395,4.04627,4.13022,4.08824,53.6192,441.0,,,,,,0.966156,0.976584,0.954508,0.955615,0.951753,0.952204,32.7405,35.0184,30.7955,31.2498,31.0257,30.4926,0.95947,31.887083333333337,29.509,37.3531,28.262,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1498.ply,-1.0,-1.0,21.320640050585776,4.05375,3.76253,3.90814,53.8145,458.0,,,,,,0.966911,0.975457,0.954119,0.956731,0.954794,0.955739,32.98,34.6426,30.5623,31.346,31.4484,31.2235,0.9606251666666666,32.0338,29.6334,37.5027,28.1075,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1499.ply,-1.0,-1.0,21.438007165011268,3.9054,3.64373,3.77457,53.9619,374.0,,,,,,0.963436,0.973699,0.955632,0.958402,0.947636,0.951045,31.3319,32.8339,31.2643,32.0207,29.7546,29.9392,0.9583083333333332,31.190766666666672,29.518,37.4048,28.1423,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1500.ply,-1.0,-1.0,21.987273038878957,4.2908,3.84324,4.06702,53.6327,501.0,,,,,,0.96242,0.974191,0.943741,0.94906,0.955257,0.959007,31.0303,33.0898,27.9022,28.9462,31.7781,32.0098,0.9572793333333335,30.79273333333333,29.6242,37.5544,28.1695,
