pc_file,encT,decT,bpp,y_psnr,cb_psnr,cr_psnr,ssim,vmaf,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,98.65534239799446,,,,,,0.495796,0.395292,0.445544,63.3512,90.0,,,,,,35.5418,41.146,34.9524,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1572.ply,-1.0,-1.0,96.74738928040878,,,,,,0.4829,0.411132,0.447016,63.2594,134.0,,,,,,35.4353,41.0129,34.638,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1647.ply,-1.0,-1.0,93.54663013946869,,,,,,0.474146,0.40831,0.441228,63.1382,105.0,,,,,,35.734,41.1077,34.8451,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1748.ply,-1.0,-1.0,96.29977161590321,,,,,,0.503689,0.395235,0.449462,63.1851,50.0,,,,,,35.0986,40.3526,34.7206,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1666.ply,-1.0,-1.0,93.58840561163278,,,,,,0.48881,0.412252,0.450531,63.2356,82.0,,,,,,35.5508,41.4278,34.9982,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1553.ply,-1.0,-1.0,91.30028766275314,,,,,,0.524734,0.436083,0.480408,63.3539,210.0,,,,,,34.6485,40.601,34.5706,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1530.ply,-1.0,-1.0,98.49796777338955,,,,,,0.50654,0.433686,0.470113,62.9791,101.0,,,,,,35.0649,39.9562,34.4199,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1605.ply,-1.0,-1.0,88.54923150271301,,,,,,0.51765,0.434915,0.476282,63.0031,93.0,,,,,,35.3439,40.8932,34.2144,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1716.ply,-1.0,-1.0,101.63618175422037,,,,,,0.522645,0.418654,0.470649,63.4777,59.0,,,,,,35.0908,40.4139,34.8543,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1638.ply,-1.0,-1.0,93.27184463439714,,,,,,0.473744,0.3784,0.426072,63.2625,85.0,,,,,,35.9213,41.3597,34.9298,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1586.ply,-1.0,-1.0,102.61200722608406,,,,,,0.483353,0.393849,0.438601,63.3353,206.0,,,,,,35.4164,40.5296,34.0851,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1495.ply,-1.0,-1.0,90.9609095326013,,,,,,0.508636,0.417221,0.462928,63.1085,75.0,,,,,,34.9349,40.3871,34.1984,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4/decompressed/redandblack_dec_1624.ply,-1.0,-1.0,91.40608228980322,,,,,,0.523248,0.414029,0.468638,62.962,90.0,,,,,,35.6539,40.882,34.6273,
