pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,43.72615695627547,0.956369,0.759166,0.857767,60.4744,155.0,,,,,,0.975904,0.981035,0.972474,0.971575,0.962767,0.963346,35.6404,37.919,35.8869,35.5291,34.1088,34.7392,0.9711835000000001,35.637233333333334,31.719,38.8972,31.5903,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,44.245906007482986,0.973578,0.795373,0.884475,60.3407,91.0,,,,,,0.97738,0.98095,0.969117,0.968139,0.966202,0.966553,35.9486,37.5069,34.1653,33.8415,34.8322,35.5302,0.9713901666666667,35.304116666666665,32.0448,39.1841,31.7073,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,44.845995223131524,0.991265,0.76965,0.880458,60.3616,113.0,,,,,,0.975659,0.978387,0.959556,0.960227,0.962519,0.964071,34.3427,35.0127,30.8351,30.9326,33.539,34.4366,0.9667365,33.18311666666667,32.0611,39.1859,31.7593,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,45.51145345459373,1.00807,0.782975,0.895525,60.2866,147.0,,,,,,0.979763,0.981602,0.973221,0.973135,0.960707,0.961936,37.2119,37.6162,35.9378,36.1154,32.9961,33.4877,0.9717273333333333,35.56085,32.2105,39.1704,31.7646,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,46.35574579948006,0.967495,0.769352,0.868424,60.4194,155.0,,,,,,0.978687,0.980291,0.967294,0.967167,0.959791,0.961683,35.5716,36.2269,33.3023,33.1601,32.5281,33.2503,0.9691521666666666,34.00655,32.2263,39.5027,31.6921,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,46.92531320648079,0.904141,0.742274,0.823207,60.6393,212.0,,,,,,0.980986,0.983065,0.97237,0.971691,0.965865,0.966807,37.2392,38.1163,35.3212,35.1279,34.4122,35.0446,0.973464,35.8769,32.3123,39.4981,31.5957,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,46.345570652529425,0.995013,0.84125,0.918131,60.1576,110.0,,,,,,0.980093,0.982305,0.970327,0.968707,0.965023,0.966729,36.8836,37.801,34.708,33.8192,34.1571,34.9565,0.9721973333333334,35.387566666666665,32.3344,39.3973,31.7275,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,45.94451297540955,0.946183,0.755602,0.850893,60.4868,158.0,,,,,,0.978204,0.981685,0.96999,0.967809,0.962405,0.964237,35.9122,37.4524,34.3003,33.603,33.4564,34.2083,0.9707216666666666,34.8221,32.3426,39.5295,31.9352,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,45.478409220586556,0.966682,0.772105,0.869394,60.3898,153.0,,,,,,0.98,0.983708,0.973041,0.971635,0.966966,0.967048,37.2632,39.1153,36.0567,35.4868,34.6649,35.2106,0.9737330000000001,36.29958333333334,32.2823,39.4158,31.9342,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,44.73304981893335,0.981585,0.756675,0.86913,60.3932,241.0,,,,,,0.97879,0.983832,0.970373,0.969269,0.966206,0.96716,36.5462,38.8487,35.0948,34.4674,34.3751,35.3785,0.972605,35.78511666666667,32.1968,39.3088,32.0325,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,44.84359826939198,0.922249,0.720975,0.821612,60.6287,225.0,,,,,,0.978983,0.982779,0.969069,0.967441,0.963426,0.964758,36.3554,37.3597,34.4168,33.6659,33.6419,34.4694,0.9710759999999999,34.98485,32.0955,39.3903,31.9746,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,44.80175597362667,0.959251,0.736711,0.847981,60.5563,153.0,,,,,,0.979395,0.983139,0.972749,0.971571,0.96092,0.961143,36.5347,38.1955,35.885,35.4126,32.811,33.4632,0.9714861666666667,35.38366666666666,32.0717,39.4484,31.934,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1462.ply,-1.0,-1.0,44.79413950704532,0.968653,0.70629,0.837472,60.8276,329.0,,,,,,0.980955,0.984163,0.968691,0.967163,0.961029,0.962589,37.7872,38.7869,34.0914,33.6037,32.8412,33.7619,0.9707650000000001,35.145383333333335,32.0688,39.287,31.8259,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1463.ply,-1.0,-1.0,44.854260370430296,0.910082,0.719932,0.815007,60.9522,97.0,,,,,,0.981968,0.984517,0.971409,0.971047,0.962959,0.964119,38.8059,39.664,35.343,35.1449,33.4696,34.3618,0.9726698333333333,36.13153333333333,32.0593,39.3967,31.8366,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/redandblack_dec_1464.ply,-1.0,-1.0,45.2382921302399,0.92587,0.719925,0.822898,60.6733,152.0,,,,,,0.980265,0.982893,0.968341,0.96683,0.964792,0.966465,37.4665,37.7298,34.3695,33.43,34.0351,35.2057,0.9715976666666667,35.37276666666667,31.9969,39.3725,31.8264,
