pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,103.72832391346984,0.408694,0.411744,0.410219,63.6779,49.0,,,,,,0.979026,0.983224,0.979301,0.978082,0.970446,0.969509,37.3286,39.3587,38.4945,37.6806,35.6146,36.0964,0.9765980000000001,37.4289,35.7851,40.6535,35.4747,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,104.96128609652385,0.414871,0.409097,0.411984,63.6588,73.0,,,,,,0.978715,0.981623,0.978356,0.977704,0.964737,0.965481,36.7428,38.1349,37.9543,37.3987,33.6671,34.5749,0.9744360000000002,36.41211666666667,36.1467,40.96,35.6833,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,106.3848333019189,0.421369,0.416278,0.418823,63.5884,91.0,,,,,,0.983278,0.986097,0.980591,0.980108,0.97718,0.975777,39.3621,41.3703,39.2458,38.9965,38.0953,38.2957,0.9805051666666666,39.22761666666667,36.1194,40.9419,35.6871,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,107.96345058248671,0.417904,0.412767,0.415336,63.6234,162.0,,,,,,0.981435,0.982804,0.979587,0.97917,0.966624,0.966433,38.1056,38.3418,38.5695,38.3023,33.9629,34.6342,0.9760088333333333,36.98605,36.3745,41.0449,35.7663,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,109.96630278638851,0.41479,0.400244,0.407517,63.7053,113.0,,,,,,0.983999,0.986278,0.980454,0.979914,0.975895,0.974603,39.7539,41.2733,38.9724,38.7293,37.0541,37.2118,0.9801905,38.83246666666667,36.4496,41.2346,35.7229,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,111.31744536548607,0.393997,0.385666,0.389831,63.8856,97.0,,,,,,0.982478,0.98434,0.97688,0.975932,0.971469,0.971699,38.2148,39.5231,36.8198,36.207,35.5152,36.2314,0.9771329999999999,37.08521666666667,36.5125,41.2225,35.5597,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,109.94216503881975,0.406809,0.395081,0.400945,63.7558,54.0,,,,,,0.984218,0.986293,0.980777,0.979745,0.975885,0.974853,40.5804,41.4553,39.233,38.778,37.0928,37.2926,0.9802951666666667,39.07201666666666,36.445,41.2822,35.6475,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,108.99076561257075,0.403075,0.390622,0.396848,63.7993,96.0,,,,,,0.981762,0.98469,0.979926,0.978228,0.972688,0.971578,38.2215,39.903,38.6017,37.6598,35.8464,36.2691,0.9781453333333333,37.75025,36.4923,41.3586,35.8891,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,107.88506219331279,0.409412,0.391619,0.400516,63.7558,113.0,,,,,,0.98321,0.986114,0.977591,0.976602,0.972565,0.972145,39.3195,41.4943,37.4076,36.9233,35.71,36.4202,0.9780378333333335,37.87915,36.4966,41.3415,35.8881,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,106.11690128395263,0.419005,0.402197,0.410601,63.6498,64.0,,,,,,0.982183,0.986327,0.978722,0.977408,0.975617,0.974179,38.7926,41.4124,38.1994,37.4299,37.1284,37.4223,0.9790726666666667,38.3975,36.3974,41.171,35.9522,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,106.37914718607412,0.404413,0.387031,0.395722,63.8015,50.0,,,,,,0.982618,0.986558,0.979886,0.978986,0.975898,0.974515,39.0767,41.56,38.7815,37.9839,37.2449,37.5225,0.9797435000000001,38.69491666666667,36.432,41.2278,35.9304,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,106.27988780655062,0.407415,0.39442,0.400918,63.8096,77.0,,,,,,0.983481,0.987039,0.980755,0.979887,0.974883,0.973811,39.802,41.8972,39.5062,38.6692,36.5734,37.2302,0.9799760000000001,38.94636666666666,36.4249,41.2826,35.8922,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1462.ply,-1.0,-1.0,106.26181982693338,0.403149,0.387303,0.395226,64.0889,74.0,,,,,,0.984122,0.987039,0.978585,0.977682,0.971075,0.97084,40.2175,41.8937,37.8849,37.2543,35.0854,35.9744,0.9782238333333334,38.051700000000004,36.2243,41.2117,35.819,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1463.ply,-1.0,-1.0,106.40444009876265,0.407108,0.388218,0.397663,64.0686,65.0,,,,,,0.984017,0.986847,0.975241,0.974867,0.967491,0.967929,40.3097,42.2397,36.2408,35.9672,33.9513,34.8377,0.9760653333333335,37.257733333333334,36.2448,41.1183,35.7646,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1464.ply,-1.0,-1.0,107.31545020226716,0.401748,0.388574,0.395161,63.859,107.0,,,,,,0.983233,0.986161,0.978206,0.977861,0.974344,0.973174,39.7472,40.8318,37.9655,37.4978,36.4366,36.9265,0.9788298333333333,38.234233333333336,36.2491,41.0616,35.7533,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1465.ply,-1.0,-1.0,108.67566744259562,0.379837,0.381446,0.380642,63.9592,169.0,,,,,,0.983813,0.986534,0.981034,0.980592,0.975604,0.974371,39.9583,41.4154,39.7443,39.0808,36.9325,37.293,0.9803246666666666,39.07071666666667,36.4612,41.1739,35.865,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_OM=4/decompressed/redandblack_dec_1466.ply,-1.0,-1.0,109.14474802618952,0.395625,0.381844,0.388734,63.877,98.0,,,,,,0.983724,0.986613,0.980835,0.980585,0.975936,0.974249,40.1114,41.7297,39.5679,39.1214,37.0918,37.3241,0.9803236666666667,39.157716666666666,36.4921,41.2667,35.7527,
