pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,38.0981905907427,1.00639,0.970576,0.988482,59.8584,153.0,,,,,,,,,,0.734214,,,,,,23.9946,,,,30.9656,38.5459,30.8582,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,38.55104306602569,0.992663,0.957362,0.975012,59.9175,440.0,,,,,,,,,,0.701544,,,,,,22.5779,,,,31.1895,38.5687,31.0516,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,39.07389517333731,1.03493,0.998127,1.01653,59.7375,123.0,,,,,,,,,,0.701065,,,,,,22.522,,,,31.1542,38.6576,31.008,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,39.65370269124421,1.06753,0.957304,1.01242,59.7538,209.0,,,,,,,,,,0.695725,,,,,,22.2675,,,,31.3273,38.6152,31.0505,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,40.389326695474665,1.01455,0.975812,0.995181,59.8277,182.0,,,,,,,,,,0.726209,,,,,,23.1487,,,,31.3504,38.7768,30.9998,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,40.88558543707611,1.01414,0.901992,0.958067,59.9805,129.0,,,,,,,,,,0.670867,,,,,,21.1178,,,,31.3538,38.8743,30.9388,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,40.38046118533615,1.05398,0.933251,0.993614,59.8145,201.0,,,,,,,,,,0.707239,,,,,,22.5591,,,,31.4486,38.8713,30.985,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,40.03102339147577,1.01922,0.910123,0.964671,59.9418,187.0,,,,,,,,,,0.75757,,,,,,24.6979,,,,31.3347,38.9328,31.2397,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,39.62491155996805,1.02033,0.94773,0.984031,59.8519,178.0,,,,,,,,,,0.761367,,,,,,24.7487,,,,31.4256,38.855,31.3041,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=34_AQP=45/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,38.97548690160666,1.02381,0.925033,0.97442,59.8965,243.0,,,,,,,,,,0.732755,,,,,,23.5594,,,,31.3046,38.7868,31.3339,
