pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,40.733254426832964,1.13201,0.964656,1.04833,59.6031,542.0,,,,,,,,,,0.868885,,,,,,27.3208,,,,31.4412,38.6475,30.628,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,41.21742847309345,1.17169,0.976493,1.07409,59.4972,338.0,,,,,,,,,,0.844926,,,,,,26.7649,,,,31.6078,38.9523,30.7345,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,41.77644368049558,1.11468,0.945627,1.03015,59.6797,306.0,,,,,,,,,,0.862781,,,,,,27.7266,,,,31.6513,38.7932,31.2253,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,42.39635362318013,1.14136,0.89056,1.01596,59.7386,182.0,,,,,,,,,,0.858144,,,,,,28.3469,,,,31.8095,38.9116,31.1247,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,43.18285710962354,1.22425,0.967005,1.09563,59.4101,162.0,,,,,,,,,,0.859725,,,,,,27.018,,,,31.8184,38.9472,30.7476,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,43.713439619442354,1.12605,0.893981,1.01001,59.7511,122.0,,,,,,,,,,0.858276,,,,,,27.7367,,,,31.805,39.1194,30.9925,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,43.17337841589829,1.23481,0.917133,1.07597,59.4687,204.0,,,,,,,,,,0.869509,,,,,,27.4525,,,,31.7708,39.0114,30.6456,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,42.79977173424332,1.13838,0.886174,1.01228,59.7326,108.0,,,,,,,,,,0.877674,,,,,,28.9596,,,,31.7389,39.0347,31.2964,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,42.36557115143216,1.18703,0.905109,1.04607,59.5863,146.0,,,,,,,,,,0.867785,,,,,,28.5121,,,,31.8016,38.9718,31.3769,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,41.671228994234774,1.20421,0.926609,1.06541,59.5088,265.0,,,,,,,,,,0.840697,,,,,,26.5047,,,,31.5965,38.818,30.8822,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,41.77421078985715,1.18692,0.902669,1.04479,59.5851,105.0,,,,,,,,,,0.845321,,,,,,27.8637,,,,31.6207,38.8752,31.4415,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,41.73523245291079,1.16633,0.898887,1.03261,59.7008,173.0,,,,,,,,,,0.845765,,,,,,27.7443,,,,31.6765,38.9393,31.4307,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1462.ply,-1.0,-1.0,41.72813730683148,1.19933,0.88852,1.04392,59.8706,369.0,,,,,,,,,,0.858793,,,,,,28.1092,,,,31.4596,39.0488,31.2064,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1463.ply,-1.0,-1.0,41.78414310736569,1.19896,0.916581,1.05777,59.8199,272.0,,,,,,,,,,0.854779,,,,,,27.7132,,,,31.4401,38.7396,31.1899,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1464.ply,-1.0,-1.0,42.14188923620915,1.18705,0.903213,1.04513,59.6351,227.0,,,,,,,,,,0.842566,,,,,,27.4194,,,,31.4434,38.8173,31.1785,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1465.ply,-1.0,-1.0,42.676035290398595,1.13038,0.885963,1.00817,59.729,146.0,,,,,,,,,,0.856074,,,,,,28.1184,,,,31.6647,38.7817,31.1305,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1466.ply,-1.0,-1.0,42.86023935383412,1.20404,0.903022,1.05353,59.547,674.0,,,,,,,,,,0.850438,,,,,,26.8729,,,,31.6424,38.7782,30.5925,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1467.ply,-1.0,-1.0,42.89112571304787,1.24625,0.916033,1.08114,59.4414,593.0,,,,,,,,,,0.864554,,,,,,26.8579,,,,31.7562,38.839,30.561,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1468.ply,-1.0,-1.0,43.371788730913465,1.20074,0.885607,1.04318,59.594,117.0,,,,,,,,,,0.850927,,,,,,26.6561,,,,31.7589,38.911,30.5554,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1469.ply,-1.0,-1.0,43.37704635508177,1.21579,0.896974,1.05638,59.5425,161.0,,,,,,,,,,0.853055,,,,,,26.5857,,,,31.6752,38.6922,30.4699,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1470.ply,-1.0,-1.0,43.061268873765066,1.18026,0.89967,1.03997,59.6168,161.0,,,,,,,,,,0.854393,,,,,,26.4684,,,,31.6109,38.8279,30.3548,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1471.ply,-1.0,-1.0,42.70794627706997,1.18228,0.90695,1.04461,59.5946,206.0,,,,,,,,,,0.847341,,,,,,26.5265,,,,31.5928,38.7136,30.3194,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1472.ply,-1.0,-1.0,42.39792720965589,1.20209,0.897608,1.04985,59.5734,219.0,,,,,,,,,,0.851722,,,,,,26.284,,,,31.6443,38.6764,30.333,
/temp/pranav/dynamic_pc_data/redandblack/experiments/2DD_lodX=1_lodY=2_OM=4_r1/decompressed/redandblack_dec_1473.ply,-1.0,-1.0,41.64563582595186,1.14506,0.91304,1.02905,59.6594,329.0,,,,,,,,,,0.846992,,,,,,26.6274,,,,31.693,38.7289,30.4598,
