pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,21.64217502156671,3.98142,3.74153,3.86148,53.9405,731.0,,,,,,,,,,0.844401,,,,,,23.3747,,,,29.4637,37.4719,28.6184,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,21.899423787900655,4.11418,3.98668,4.05043,53.7326,689.0,,,,,,,,,,0.852982,,,,,,23.4883,,,,29.7235,37.6482,28.7789,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,22.196436759944074,4.21113,3.90585,4.05849,53.725,410.0,,,,,,,,,,0.850502,,,,,,23.4227,,,,29.8719,37.6777,28.6273,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,22.52580399725351,4.1431,3.75143,3.94726,53.8444,290.0,,,,,,,,,,0.856131,,,,,,23.619,,,,29.9666,37.9183,28.7114,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,22.94368482578529,4.17433,3.74395,3.95914,53.8307,337.0,,,,,,,,,,0.853752,,,,,,23.6427,,,,29.8657,37.9073,28.696,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,23.225591088922382,4.09467,3.74772,3.9212,53.8602,332.0,,,,,,,,,,0.851554,,,,,,23.5138,,,,29.9095,37.8677,28.5371,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,22.9386486568991,4.21921,3.7767,3.99796,53.7683,281.0,,,,,,,,,,0.856599,,,,,,23.6878,,,,30.0303,37.8961,28.655,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,22.74014595174139,4.07364,3.70115,3.88739,53.889,296.0,,,,,,,,,,0.845598,,,,,,23.4469,,,,30.0307,37.8574,28.7202,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,22.50944881889764,4.22775,3.71667,3.97221,53.7916,262.0,,,,,,,,,,0.850991,,,,,,23.6383,,,,29.8707,38.0087,28.8113,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,22.140534655215717,4.29208,3.87054,4.08131,53.676,694.0,,,,,,,,,,0.843621,,,,,,23.4019,,,,29.6845,37.9885,28.8509,
