pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,41.95151227553821,1.11357,0.803211,0.95839,59.9926,152.0,,,,,,,,,,0.848645,,,,,,28.8602,,,,31.5764,38.8074,31.3329,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,42.45016709040646,1.10465,0.812867,0.95876,59.9905,98.0,,,,,,,,,,0.858918,,,,,,29.628,,,,31.8698,39.1316,31.3627,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,43.02590142996599,1.1265,0.779777,0.95314,60.0171,121.0,,,,,,,,,,0.856316,,,,,,29.6415,,,,31.8933,39.2064,31.3729,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,43.66435175602507,1.17268,0.80889,0.990787,59.8476,164.0,,,,,,,,,,0.876104,,,,,,29.9213,,,,31.9698,39.1749,31.4754,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,44.47437813694073,1.16322,0.787688,0.975453,59.9147,178.0,,,,,,,,,,0.877601,,,,,,30.0489,,,,32.053,39.2779,31.4005,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,45.02082940844009,1.14455,0.79994,0.972245,59.9167,126.0,,,,,,,,,,0.848778,,,,,,28.4593,,,,32.0474,39.3835,31.1644,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,44.46461595265749,1.20158,0.808654,1.00512,59.7645,217.0,,,,,,,,,,0.860225,,,,,,29.1964,,,,32.1788,39.46,31.2784,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,44.07983537196942,1.08103,0.74481,0.912921,60.1812,125.0,,,,,,,,,,0.855724,,,,,,29.5614,,,,32.0688,39.4316,31.5759,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,43.632648636311764,1.09386,0.777294,0.935576,60.0712,254.0,,,,,,,,,,0.864291,,,,,,29.9046,,,,32.144,39.3708,31.5765,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,42.91753996304304,1.13728,0.787668,0.962472,59.9501,265.0,,,,,,,,,,0.848576,,,,,,29.4452,,,,31.9549,39.2155,31.663,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,43.023601757613605,1.14957,0.758494,0.954033,59.9798,173.0,,,,,,,,,,0.855018,,,,,,29.4911,,,,31.8971,39.2285,31.7534,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,42.98345764922122,1.07847,0.737961,0.908214,60.2582,138.0,,,,,,,,,,0.846466,,,,,,28.4909,,,,31.8757,39.3106,31.6211,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1462.ply,-1.0,-1.0,42.976150300176045,1.05536,0.680479,0.867919,60.6725,329.0,,,,,,,,,,0.844343,,,,,,29.2011,,,,31.8166,39.2942,31.5567,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1463.ply,-1.0,-1.0,43.03383113274573,1.07155,0.736302,0.903924,60.5025,109.0,,,,,,,,,,0.845816,,,,,,29.3734,,,,31.821,39.4504,31.5262,
/temp/pranav/dynamic_pc_data/redandblack/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/redandblack_dec_1464.ply,-1.0,-1.0,43.402276800220214,1.08223,0.71257,0.897398,60.2969,225.0,,,,,,,,,,0.867947,,,,,,29.553,,,,31.8227,39.2584,31.5231,
