pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,32.7932270244249,1.24549,1.20879,1.22714,58.9191,200.0,,,,,,,,,,0.880544,,,,,,30.0706,,,,30.1874,37.9143,29.7961,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,33.183022282421646,1.29675,1.25643,1.27659,58.7471,321.0,,,,,,,,,,0.844741,,,,,,29.0069,,,,30.3746,37.9233,29.942,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,33.633070108562634,1.26799,1.28929,1.27864,58.7412,217.0,,,,,,,,,,0.853949,,,,,,29.1029,,,,30.3628,38.0005,29.9436,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,34.1321426175287,1.31837,1.23522,1.2768,58.7462,170.0,,,,,,,,,,0.853574,,,,,,29.6239,,,,30.6391,37.917,29.926,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,34.76533502381603,1.33367,1.23195,1.28281,58.7251,290.0,,,,,,,,,,0.850627,,,,,,29.1078,,,,30.54,37.8337,29.9245,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,35.192492464204975,1.27101,1.20427,1.23764,58.8685,202.0,,,,,,,,,,0.86879,,,,,,29.2171,,,,30.5333,38.1117,29.7859,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,34.7577039872195,1.33206,1.17191,1.25198,58.8107,293.0,,,,,,,,,,0.848688,,,,,,28.5592,,,,30.6309,38.1633,29.9012,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,34.45692348485722,1.2826,1.13463,1.20862,58.9627,182.0,,,,,,,,,,0.889912,,,,,,30.4822,,,,30.5955,38.1718,30.0673,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,34.107360492981854,1.37061,1.17674,1.27368,58.7314,261.0,,,,,,,,,,0.871076,,,,,,29.6842,,,,30.6421,38.1084,30.1855,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,33.548364647597026,1.3032,1.14699,1.2251,58.9023,261.0,,,,,,,,,,0.856335,,,,,,29.5518,,,,30.5324,38.0577,30.1078,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,33.631272469492124,1.32249,1.1308,1.22664,58.8882,242.0,,,,,,,,,,0.881161,,,,,,30.1649,,,,30.4395,38.1428,30.1176,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,33.59989207844548,1.32655,1.10495,1.21575,58.9917,139.0,,,,,,,,,,0.848,,,,,,28.8997,,,,30.4866,38.1866,30.0646,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1462.ply,-1.0,-1.0,33.594179970748115,1.28041,1.09998,1.19019,59.3011,338.0,,,,,,,,,,0.885981,,,,,,30.3718,,,,30.3079,38.1907,29.9265,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1463.ply,-1.0,-1.0,33.63926870616704,1.27007,1.13505,1.20256,59.2627,123.0,,,,,,,,,,0.842456,,,,,,29.236,,,,30.2914,38.1573,29.8584,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1464.ply,-1.0,-1.0,33.92728031204905,1.30402,1.10538,1.2047,59.018,209.0,,,,,,,,,,0.849684,,,,,,29.3058,,,,30.2652,37.9687,29.7513,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1465.ply,-1.0,-1.0,34.35730666436762,1.22683,1.12186,1.17434,59.0664,125.0,,,,,,,,,,0.880609,,,,,,30.4078,,,,30.4154,38.0695,29.8585,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1466.ply,-1.0,-1.0,34.50560430854219,1.25721,1.13091,1.19406,59.0033,169.0,,,,,,,,,,0.888058,,,,,,30.31,,,,30.5201,38.0744,29.8337,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1467.ply,-1.0,-1.0,34.53047007004116,1.29145,1.15177,1.22161,58.9109,216.0,,,,,,,,,,0.865077,,,,,,29.1865,,,,30.531,38.0677,29.858,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1468.ply,-1.0,-1.0,34.917438695281376,1.22064,1.06833,1.14448,59.1915,177.0,,,,,,,,,,0.886253,,,,,,30.2359,,,,30.624,38.1684,29.7456,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1469.ply,-1.0,-1.0,34.921671464437345,1.27735,1.0514,1.16437,59.1198,165.0,,,,,,,,,,0.859102,,,,,,29.7464,,,,30.5576,37.9082,29.7463,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1470.ply,-1.0,-1.0,34.66744766671403,1.19175,1.0815,1.13662,59.2308,339.0,,,,,,,,,,0.887411,,,,,,30.2961,,,,30.5183,38.0062,29.5045,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1471.ply,-1.0,-1.0,34.38299732535734,1.22939,1.1171,1.17325,59.0903,130.0,,,,,,,,,,0.870767,,,,,,29.9403,,,,30.4186,37.9708,29.6577,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1472.ply,-1.0,-1.0,34.133409468883166,1.23086,1.07077,1.15082,59.1746,153.0,,,,,,,,,,0.844059,,,,,,28.9634,,,,30.468,37.9109,29.5686,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1473.ply,-1.0,-1.0,33.52776028907999,1.22875,1.10674,1.16775,59.1103,278.0,,,,,,,,,,0.85718,,,,,,28.9683,,,,30.5705,37.9881,29.5122,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1474.ply,-1.0,-1.0,33.20149909673729,1.2402,1.09664,1.16842,59.1058,150.0,,,,,,,,,,0.864039,,,,,,29.0802,,,,30.6063,37.8934,29.6426,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1475.ply,-1.0,-1.0,32.727783397277,1.25476,1.12969,1.19222,59.0457,116.0,,,,,,,,,,0.847618,,,,,,29.4555,,,,30.4567,37.7384,29.5773,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1476.ply,-1.0,-1.0,32.62333920019647,1.35457,1.14995,1.25226,58.7901,194.0,,,,,,,,,,0.87249,,,,,,30.1089,,,,30.3867,37.6072,29.6503,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1477.ply,-1.0,-1.0,32.6801894335445,1.32152,1.16414,1.24283,58.8858,289.0,,,,,,,,,,0.8481,,,,,,28.6599,,,,30.4227,37.6636,29.6574,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1478.ply,-1.0,-1.0,32.661618886692686,1.26523,1.12736,1.19629,59.0526,153.0,,,,,,,,,,0.87491,,,,,,28.7847,,,,30.705,37.5841,29.6282,
/temp/pranav/dynamic_pc_data/redandblack/experiments/vanilla_rc_OM=4_GQP=36_AQP=47/decompressed/redandblack_dec_1479.ply,-1.0,-1.0,32.767072076084496,1.24294,1.17877,1.21086,59.0079,305.0,,,,,,,,,,0.86434,,,,,,29.1089,,,,30.8028,37.3953,29.5002,
