pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0536.ply,-1.0,-1.0,37.84362857493324,0.945787,1.24015,1.09297,59.9132,4142.0,,,,,,0.955658,0.96847,0.000426696,0.000408858,0.948258,0.945985,32.2105,35.325,6.26112,6.12874,34.6091,34.8217,0.6365344256666666,24.892693333333337,28.7489,42.9432,43.24,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0537.ply,-1.0,-1.0,37.76238925138171,0.970189,1.35417,1.16218,59.6478,4206.0,,,,,,0.9607,0.972066,0.894313,0.886887,0.947054,0.946097,33.7476,36.8271,20.7781,20.8349,34.3701,34.9306,0.9345195,30.24806666666667,28.7433,42.9484,43.2666,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,37.82028998627016,0.942896,1.30367,1.12328,59.7971,4232.0,,,,,,0.965619,0.974283,0.000426701,0.000418404,0.945353,0.945018,35.284,37.5405,6.26146,6.2598,34.0659,34.7491,0.6385196841666667,25.693459999999998,28.7479,42.9991,43.2828,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0539.ply,-1.0,-1.0,37.77586932790562,0.943695,1.34309,1.14339,59.7213,3961.0,,,,,,0.961588,0.972518,0.000426792,0.00041838,0.948333,0.947166,33.9622,36.942,6.26134,6.2599,34.6286,35.1658,0.638408362,25.536640000000002,28.738,42.6979,43.0507,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0540.ply,-1.0,-1.0,37.80353537543334,0.956765,1.28869,1.12273,59.7992,4003.0,,,,,,0.962194,0.972375,0.894508,0.886836,0.948878,0.946184,34.1005,36.8689,20.7874,20.7823,34.6739,34.9509,0.9351624999999998,30.360649999999996,28.8053,42.8356,43.0461,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0541.ply,-1.0,-1.0,37.785051245792324,0.9477,1.37332,1.16051,59.6565,4325.0,,,,,,0.968479,0.976281,0.000426634,0.000418373,0.947892,0.947761,36.1326,38.3817,6.26134,6.26005,34.5266,35.3322,0.6402096678333333,26.149081666666664,28.7826,42.6544,42.9842,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0542.ply,-1.0,-1.0,37.80364227268314,0.945233,1.34227,1.14375,59.721,4241.0,,,,,,0.965925,0.974871,0.000426743,0.000418669,0.947378,0.946256,35.2745,37.7835,6.26125,6.26027,34.4179,34.9844,0.6392125686666668,25.830303333333333,28.7571,42.8991,43.2272,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0543.ply,-1.0,-1.0,37.77996149194232,0.975293,1.41389,1.19459,59.5319,4373.0,,,,,,0.960708,0.972534,0.000426696,0.000418649,0.947003,0.945823,33.6977,36.8311,6.26117,6.26014,34.2526,34.8135,0.6378188908333332,25.352701666666665,28.7902,42.7971,42.8957,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0544.ply,-1.0,-1.0,37.81768670022828,0.959656,1.3027,1.13118,59.7651,3905.0,,,,,,0.957494,0.970383,0.00042678,0.000418676,0.943726,0.943124,32.8463,35.7351,6.2614,6.25988,33.6728,34.2698,0.6359287426666667,24.84088,28.7822,42.8876,42.9622,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_INT_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0545.ply,-1.0,-1.0,37.86535146270494,0.930688,1.28412,1.1074,59.8559,3961.0,,,,,,0.958848,0.970743,0.889869,0.885174,0.946944,0.945293,33.1725,36.2297,20.3205,20.668,34.3339,34.7622,0.9328118333333335,29.914466666666666,28.8042,42.856,43.1494,
