pc_file,encT,decT,bpp,y_psnr,cb_psnr,cr_psnr,ssim,vmaf,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0673.ply,-1.0,-1.0,128.2532851045913,,,,,,0.591253,0.341189,0.466221,63.5492,58.0,,,,,,33.6277,44.7656,45.1241,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0744.ply,-1.0,-1.0,123.14289389445675,,,,,,0.638073,0.346875,0.492474,63.0036,51.0,,,,,,33.0818,44.4678,44.9193,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0547.ply,-1.0,-1.0,126.47862426782348,,,,,,0.626714,0.344734,0.485724,63.4353,49.0,,,,,,33.1585,44.1974,44.6034,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0597.ply,-1.0,-1.0,126.43066169222278,,,,,,0.631518,0.347255,0.489387,63.397,90.0,,,,,,33.1852,44.4094,44.7352,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0794.ply,-1.0,-1.0,123.15760417106972,,,,,,0.60839,0.344957,0.476673,63.169,35.0,,,,,,33.5306,44.4294,44.9857,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0729.ply,-1.0,-1.0,122.87048508389705,,,,,,0.640402,0.350131,0.495266,63.0622,33.0,,,,,,33.0321,44.5393,44.896,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0817.ply,-1.0,-1.0,123.09064425770306,,,,,,0.596904,0.340303,0.468603,63.2751,35.0,,,,,,33.5839,44.638,45.0574,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0805.ply,-1.0,-1.0,122.97702448763872,,,,,,0.585335,0.340395,0.462865,63.3099,30.0,,,,,,33.5906,44.7507,45.004,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0585.ply,-1.0,-1.0,126.21409091593965,,,,,,0.618432,0.34506,0.481746,63.4658,54.0,,,,,,33.2067,44.3117,44.6736,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0786.ply,-1.0,-1.0,123.07075129519404,,,,,,0.588805,0.338405,0.463605,63.2876,46.0,,,,,,33.6376,44.7204,45.1182,
/home/p/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=1_lodY=2_OM=1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,126.38547654611565,,,,,,0.625348,0.341746,0.483547,63.4576,54.0,,,,,,33.2188,44.4246,44.7952,
