pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0536.ply,-1.0,-1.0,37.84362857493324,1.09729,1.01017,1.05373,60.072,4142.0,,,,,,0.955104,0.968592,0.927826,0.000408858,0.947661,0.945588,32.1237,35.2995,31.4538,6.12874,34.4877,34.7361,0.7908633096666667,29.038256666666665,28.7407,42.9354,43.247,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0537.ply,-1.0,-1.0,37.76238925138171,1.12231,1.08278,1.10255,59.8766,4206.0,,,,,,0.959906,0.971852,0.938285,0.929527,0.945707,0.944764,33.4927,36.6559,33.1428,32.5344,34.08,34.6376,0.9483401666666667,34.09056666666667,28.7365,42.9508,43.2764,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,37.82028998627016,1.09763,1.05265,1.07514,59.9874,4232.0,,,,,,0.96357,0.972989,0.947481,0.938909,0.943045,0.942911,34.6991,37.086,34.7931,33.9385,33.6392,34.3324,0.9514841666666666,34.748050000000006,28.7422,43.0116,43.2829,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0539.ply,-1.0,-1.0,37.77586932790562,1.09579,1.07482,1.08531,59.9477,3961.0,,,,,,0.961041,0.972553,0.938374,0.92883,0.947776,0.946574,33.8364,36.9104,33.1813,32.423,34.5195,35.052,0.9491913333333333,34.320433333333334,28.73,42.6923,43.0142,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0540.ply,-1.0,-1.0,37.80353537543334,1.10749,1.03982,1.07366,59.9933,4003.0,,,,,,0.962272,0.972726,0.000426856,0.930253,0.949187,0.946598,34.1077,36.958,6.26157,32.5808,34.752,34.9881,0.7935771426666666,29.94136166666667,28.7987,42.8635,43.0469,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0541.ply,-1.0,-1.0,37.785051245792324,1.10174,1.09045,1.09609,59.9045,4325.0,,,,,,0.969413,0.97687,0.946534,0.937851,0.948408,0.948475,36.4044,38.7488,34.7143,33.8414,34.6201,35.4268,0.9545918333333333,35.62596666666667,28.7739,42.6672,42.9729,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0542.ply,-1.0,-1.0,37.80364227268314,1.09625,1.0757,1.08597,59.9462,4241.0,,,,,,0.964526,0.974133,0.000426743,0.936672,0.946125,0.944833,34.8677,37.416,6.26125,33.5834,34.1583,34.6677,0.7944526238333333,30.159058333333334,28.7468,42.9021,43.1857,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0543.ply,-1.0,-1.0,37.77996149194232,1.12995,1.10727,1.11861,59.8173,4373.0,,,,,,0.961161,0.972832,0.93855,0.929717,0.947841,0.946438,33.7719,36.9757,33.2219,32.4973,34.3834,34.9066,0.9494231666666667,34.2928,28.7831,42.7853,42.8792,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0544.ply,-1.0,-1.0,37.81768670022828,1.11153,1.04644,1.07899,59.9702,3905.0,,,,,,0.956473,0.969747,0.00042678,0.9249,0.941782,0.941061,32.5825,35.461,6.2614,31.7464,33.2955,33.9168,0.7890649633333333,28.877266666666667,28.7723,42.9065,42.8704,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=1_OM=4_r1/decompressed/soldier_dec_0545.ply,-1.0,-1.0,37.86535146270494,1.08396,1.03312,1.05854,60.0519,3961.0,,,,,,0.957977,0.970588,0.935189,0.9262,0.946032,0.944118,32.9627,36.0644,32.6511,31.8889,34.1412,34.4712,0.946684,33.69658333333333,28.7978,42.8889,43.1652,
