pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0536.ply,-1.0,-1.0,116.7298062860324,0.841769,0.356153,0.598961,62.5253,49.0,,,,,,0.976383,0.981768,0.9618,0.915344,0.964022,0.966864,38.0478,40.6386,36.9119,23.4827,36.9795,38.155,0.9610301666666667,35.70258333333333,32.3333,43.9258,44.3891,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0537.ply,-1.0,-1.0,116.47922115828226,0.85378,0.354741,0.60426,62.4883,46.0,,,,,,0.971882,0.978501,0.961553,0.954101,0.955826,0.95849,36.8365,39.1446,36.8171,35.5819,35.2542,36.3568,0.9633921666666666,36.66518333333333,32.3905,44.0873,44.4337,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,116.65781770998356,0.846931,0.349423,0.598177,62.5337,44.0,,,,,,0.97121,0.978758,0.964013,0.957678,0.958154,0.959683,36.5061,39.2369,37.3308,36.2789,35.7846,36.6034,0.964916,36.95678333333333,32.4288,44.0678,44.3046,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0539.ply,-1.0,-1.0,116.52080085823732,0.842513,0.350718,0.596615,62.5463,110.0,,,,,,0.971893,0.97896,0.95646,0.947832,0.961319,0.964126,36.6825,39.5193,35.7484,34.693,36.3678,37.4935,0.9634316666666667,36.75074999999999,32.4045,43.9856,44.5749,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0540.ply,-1.0,-1.0,116.60613761082216,0.855354,0.35268,0.604017,62.4914,49.0,,,,,,0.965489,0.976287,0.949407,0.942163,0.961048,0.963916,34.9922,38.2366,34.7395,33.9495,36.3864,37.3646,0.9597183333333333,35.9448,32.4412,43.9992,44.427,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0541.ply,-1.0,-1.0,116.54912275908589,0.850803,0.346136,0.598469,62.5326,45.0,,,,,,0.967325,0.975846,0.951266,0.941244,0.962745,0.962544,35.2645,38.1933,34.9352,33.8763,36.7452,37.0206,0.9601616666666667,36.00585,32.3915,44.0753,44.3961,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0542.ply,-1.0,-1.0,116.60646733859224,0.85617,0.3541,0.605135,62.4858,44.0,,,,,,0.972249,0.978848,0.956043,0.947378,0.96072,0.964241,36.7414,39.2944,35.6896,34.5849,36.2005,37.4852,0.9632465,36.666,32.4012,43.9602,44.2823,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0543.ply,-1.0,-1.0,116.53342326082615,0.861032,0.350874,0.605953,62.4797,84.0,,,,,,0.965993,0.974682,0.948308,0.938129,0.955164,0.958107,35.0626,37.7969,34.4806,33.3791,35.1437,36.2206,0.9567305,35.347249999999995,32.3874,44.0258,44.528,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0544.ply,-1.0,-1.0,116.6497877961825,0.841568,0.350875,0.596221,62.5463,73.0,,,,,,0.972886,0.980206,0.958952,0.950108,0.96632,0.968593,36.8505,39.8237,36.2439,35.0918,37.4919,38.428,0.9661775,37.32163333333333,32.4108,43.9528,44.5099,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=1/decompressed/soldier_dec_0545.ply,-1.0,-1.0,116.79681118426892,0.86121,0.356226,0.608718,62.4548,34.0,,,,,,0.97215,0.978945,0.958593,0.950677,0.963492,0.965495,36.7425,39.354,36.2157,35.1513,36.8189,37.7079,0.964892,36.99838333333333,32.4015,44.0734,44.4626,
