pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0536.ply,-1.0,-1.0,62.68980288919712,2.65049,1.66301,2.15675,56.9613,449.0,,,,,,0.960913,0.962942,0.951088,0.92013,0.948804,0.948382,33.9815,34.8432,34.7815,23.5253,33.8705,34.6005,0.9487098333333331,32.60041666666667,29.5076,43.1824,43.2502,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0537.ply,-1.0,-1.0,62.55522601662759,2.68805,1.67839,2.18322,56.9096,379.0,,,,,,0.96125,0.963232,0.952044,0.943638,0.949471,0.948105,33.9503,34.7905,35.0664,33.9854,33.9445,34.6216,0.9529566666666667,34.393116666666664,29.5068,43.0799,43.2635,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,62.65114138716637,2.68998,1.72041,2.2052,56.8675,256.0,,,,,,0.953526,0.96013,0.937322,0.925814,0.949629,0.94732,32.3959,34.3429,32.7984,31.9714,33.9237,34.4582,0.9456235000000001,33.315083333333334,29.5647,43.0629,43.3598,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0539.ply,-1.0,-1.0,62.57755641601151,2.70164,1.64508,2.17336,56.9319,283.0,,,,,,0.960854,0.963154,0.948455,0.942118,0.95154,0.950098,33.6685,34.9684,34.3967,33.5149,34.2935,34.9791,0.9527031666666667,34.30351666666667,29.4956,43.1331,43.3808,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0540.ply,-1.0,-1.0,62.62338656316039,2.66896,1.66563,2.16729,56.9427,185.0,,,,,,0.958703,0.962888,0.947144,0.93568,0.951027,0.94897,33.1577,34.7713,34.1683,33.0811,34.1441,34.844,0.9507353333333334,34.027750000000005,29.5547,43.1247,43.0627,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0541.ply,-1.0,-1.0,62.592766707522614,2.71608,1.70512,2.2106,56.8579,227.0,,,,,,0.951378,0.958035,0.930687,0.921486,0.949573,0.948916,31.8187,33.7945,31.9039,31.0187,33.9658,34.7877,0.9433458333333332,32.88155,29.516,43.0554,43.4658,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0542.ply,-1.0,-1.0,62.62356364362998,2.68326,1.67563,2.17944,56.9209,238.0,,,,,,0.96232,0.963758,0.95181,0.943348,0.951242,0.94949,33.9533,34.9996,34.891,33.9294,34.2729,34.9181,0.9536613333333332,34.49405,29.4895,42.9522,43.2332,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0543.ply,-1.0,-1.0,62.58433528385563,2.68629,1.64069,2.16349,56.9525,261.0,,,,,,0.9609,0.963755,0.951981,0.944109,0.949807,0.948368,33.7009,35.0159,34.9648,33.9618,34.004,34.6685,0.9531533333333334,34.38598333333333,29.4809,43.1825,43.2665,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0544.ply,-1.0,-1.0,62.646828917802964,2.67153,1.72617,2.19885,56.8784,243.0,,,,,,0.953757,0.959459,0.945349,0.93776,0.941382,0.941115,32.6949,34.0593,34.0088,33.0469,32.8325,33.7843,0.9464703333333332,33.404450000000004,29.5305,42.6869,43.2235,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0545.ply,-1.0,-1.0,62.725787904479034,2.66809,1.67602,2.17205,56.9303,388.0,,,,,,0.956433,0.960853,0.949848,0.941062,0.941533,0.940758,33.3443,34.5338,34.6411,33.7543,32.8556,33.6551,0.9484145,33.79736666666667,29.5168,43.0935,43.2902,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=1/decompressed/soldier_dec_0546.ply,-1.0,-1.0,62.591410451107706,2.72547,1.6812,2.20334,56.8709,227.0,,,,,,0.954159,0.95981,0.93483,0.922696,0.946336,0.945708,32.5018,34.2533,32.4615,31.6172,33.445,34.2314,0.9439231666666665,33.085033333333335,29.5074,43.0693,43.2699,
