pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0536.ply,-1.0,-1.0,17.656727149205988,4.09371,3.88578,3.98974,54.2899,561.0,,,,,,0.949692,0.955733,0.923853,0.944276,0.931837,0.929233,31.443,33.0505,30.5593,23.8586,31.6353,31.8758,0.939104,30.40375,26.4521,41.626,41.642,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0537.ply,-1.0,-1.0,17.618823263565236,4.2197,3.86564,4.04267,54.2339,573.0,,,,,,0.951803,0.956633,0.927249,0.916641,0.934274,0.930604,32.0364,33.5396,31.3823,30.6912,32.1894,32.2003,0.9362006666666667,32.00653333333333,26.448,41.7826,41.5053,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,17.645838048250578,4.19938,3.83666,4.01802,54.2619,541.0,,,,,,0.952424,0.957901,0.92997,0.000418404,0.931288,0.928399,32.394,33.8652,31.8296,6.2598,31.5876,31.7672,0.7834000673333333,27.950566666666663,26.5036,41.7623,41.8239,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0539.ply,-1.0,-1.0,17.625112671904123,4.30052,3.94312,4.12182,54.1524,523.0,,,,,,0.951402,0.957303,0.927219,0.91809,0.935515,0.93173,32.071,33.5404,31.3326,30.8015,32.4167,32.496,0.9368764999999999,32.109700000000004,26.4698,41.5512,41.712,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0540.ply,-1.0,-1.0,17.63802083824253,4.21467,3.66657,3.94062,54.3463,531.0,,,,,,0.951657,0.95714,0.927908,0.916939,0.934084,0.930238,32.0685,33.5447,31.4562,30.6046,32.0034,32.2324,0.9363276666666667,31.98496666666667,26.5282,41.8408,41.9761,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0541.ply,-1.0,-1.0,17.629396685486782,4.19824,3.77407,3.98616,54.2975,1024.0,,,,,,0.945655,0.95421,0.924067,0.913563,0.919372,0.920593,30.0766,31.5822,30.6075,29.9161,29.4387,30.1469,0.9295766666666667,30.294666666666668,26.4782,41.7974,41.7912,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0542.ply,-1.0,-1.0,17.638070713364016,4.11117,3.96065,4.03591,54.2449,485.0,,,,,,0.950885,0.956408,0.927677,0.00041867,0.93413,0.93005,31.8331,33.2926,31.3077,6.26027,31.9971,32.0755,0.7832614450000001,27.79437833333333,26.4844,41.8242,41.5144,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0543.ply,-1.0,-1.0,17.627021955621537,4.24299,3.86399,4.05349,54.2258,786.0,,,,,,0.953906,0.95864,0.932168,0.000418649,0.935344,0.932331,32.8173,34.1261,32.3277,6.26014,32.346,32.6602,0.7854679415,28.422906666666666,26.4895,41.6565,41.7928,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0544.ply,-1.0,-1.0,17.644623431337145,4.26215,3.91743,4.08979,54.1834,507.0,,,,,,0.951017,0.956915,0.926065,0.915437,0.933923,0.932416,31.8246,33.3843,31.1415,30.4301,32.1511,32.6549,0.9359621666666667,31.931083333333333,26.4729,41.9479,41.8287,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0545.ply,-1.0,-1.0,17.666862411513574,4.14667,3.90079,4.02373,54.2527,618.0,,,,,,0.952181,0.95817,0.929014,0.000418599,0.934456,0.932587,32.0824,33.7016,31.4313,6.25986,32.2124,32.8101,0.7844710998333334,28.082943333333333,26.5184,41.9477,41.7116,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0546.ply,-1.0,-1.0,17.629014692748587,4.18954,3.96735,4.07844,54.1968,821.0,,,,,,0.948289,0.955471,0.925488,0.000418618,0.932699,0.929866,30.9998,32.8801,30.8748,6.25982,31.7586,32.179,0.782038603,27.49202,26.4242,41.5398,41.8019,
