pc_file,encT,decT,bpp,y_psnr,cb_psnr,cr_psnr,ssim,vmaf,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0668.ply,-1.0,-1.0,102.34219748111794,,,,,,0.464116,0.380171,0.422144,64.0015,81.0,,,,,,33.2635,45.0388,45.3933,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0605.ply,-1.0,-1.0,101.05842575009854,,,,,,0.467353,0.376346,0.42185,64.0433,53.0,,,,,,33.1721,44.8305,45.2022,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0732.ply,-1.0,-1.0,98.37404030159655,,,,,,0.458452,0.377149,0.4178,63.7718,65.0,,,,,,33.348,44.9714,45.3654,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0720.ply,-1.0,-1.0,98.09798819514168,,,,,,0.448886,0.374562,0.411724,63.903,74.0,,,,,,33.5011,45.0608,45.3954,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0617.ply,-1.0,-1.0,100.88008214827914,,,,,,0.46872,0.382842,0.425781,63.9992,64.0,,,,,,33.2173,44.9972,45.4257,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0769.ply,-1.0,-1.0,97.23465983006471,,,,,,0.450454,0.370984,0.410719,63.8004,86.0,,,,,,33.9164,45.3002,45.6118,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0704.ply,-1.0,-1.0,98.83458833813758,,,,,,0.455132,0.36853,0.411831,64.0502,45.0,,,,,,33.4437,44.8618,45.35,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0633.ply,-1.0,-1.0,100.99633826652821,,,,,,0.466487,0.379166,0.422826,64.0324,72.0,,,,,,33.6101,45.0918,45.5888,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0828.ply,-1.0,-1.0,98.4473199819238,,,,,,0.460232,0.368512,0.414372,63.8056,101.0,,,,,,33.4439,45.1441,45.447,
/home/p/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4/decompressed/soldier_dec_0621.ply,-1.0,-1.0,100.79583808636234,,,,,,0.466849,0.380256,0.423553,64.0252,89.0,,,,,,33.1619,44.9171,45.2265,
