pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0536.ply,-1.0,-1.0,39.19115313122163,0.936514,0.758334,0.847424,61.0183,153.0,,,,,,,,,,0.937197,,,,,,35.0096,,,,29.0405,42.948,43.1307,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0537.ply,-1.0,-1.0,39.107021062245195,0.933072,0.770179,0.851625,60.9981,101.0,,,,,,,,,,0.936752,,,,,,34.8513,,,,29.105,42.8915,43.379,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,39.16698350910545,0.931429,0.750894,0.841162,61.0532,74.0,,,,,,,,,,0.93782,,,,,,35.0154,,,,29.1199,43.3468,43.6146,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0539.ply,-1.0,-1.0,39.12098113328392,0.943434,0.767603,0.855518,60.981,109.0,,,,,,,,,,0.943329,,,,,,35.0866,,,,29.1137,43.1947,43.3719,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0540.ply,-1.0,-1.0,39.14963230511983,0.930064,0.75712,0.843592,61.0406,110.0,,,,,,,,,,0.936974,,,,,,35.1897,,,,29.0885,43.2127,43.3921,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0541.ply,-1.0,-1.0,39.13048999814405,0.912608,0.752333,0.83247,61.0993,155.0,,,,,,,,,,0.943759,,,,,,35.6317,,,,29.1524,43.1441,43.3268,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0542.ply,-1.0,-1.0,39.14974300873478,0.913045,0.748964,0.831005,61.1083,117.0,,,,,,,,,,0.937531,,,,,,35.0253,,,,29.0759,43.1006,43.3337,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0543.ply,-1.0,-1.0,39.12521900986816,0.94475,0.760867,0.852808,60.9956,145.0,,,,,,,,,,0.940295,,,,,,34.7279,,,,29.0762,43.0189,43.2131,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0544.ply,-1.0,-1.0,39.16428752603634,0.920701,0.761946,0.841323,61.0508,89.0,,,,,,,,,,0.936386,,,,,,35.0673,,,,29.0911,43.0063,43.0338,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0545.ply,-1.0,-1.0,39.21364952105453,0.934864,0.760161,0.847513,61.0175,180.0,,,,,,,,,,0.93725,,,,,,34.947,,,,29.1137,43.0651,43.3916,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0546.ply,-1.0,-1.0,39.12964212097118,0.920266,0.766502,0.843384,61.0415,332.0,,,,,,,,,,0.936602,,,,,,35.0787,,,,29.0911,43.1896,43.2504,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0547.ply,-1.0,-1.0,39.19585007969364,0.917289,0.759128,0.838209,61.0657,341.0,,,,,,,,,,0.93326,,,,,,33.6743,,,,29.0898,43.037,43.1936,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0548.ply,-1.0,-1.0,39.14885739734485,0.909884,0.758733,0.834308,61.0834,209.0,,,,,,,,,,0.937191,,,,,,34.9622,,,,29.0866,43.2682,43.4707,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0549.ply,-1.0,-1.0,39.18468280211513,0.91328,0.756223,0.834751,61.0849,155.0,,,,,,,,,,0.942592,,,,,,35.1951,,,,29.0678,43.1553,43.3327,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0550.ply,-1.0,-1.0,39.17618218946157,0.899646,0.764515,0.83208,61.0988,140.0,,,,,,,,,,0.942662,,,,,,35.5674,,,,29.0687,43.0397,43.3392,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0551.ply,-1.0,-1.0,39.15476223021413,0.928332,0.758316,0.843324,61.0394,117.0,,,,,,,,,,0.931464,,,,,,33.6885,,,,29.1011,43.1403,43.2817,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0552.ply,-1.0,-1.0,39.17056641709898,0.920922,0.755329,0.838125,61.07,158.0,,,,,,,,,,0.945275,,,,,,35.6179,,,,29.0997,43.0717,43.2897,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0553.ply,-1.0,-1.0,39.14247480040108,0.918339,0.74861,0.833475,61.093,189.0,,,,,,,,,,0.932579,,,,,,34.0966,,,,29.0888,43.2237,43.2711,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0554.ply,-1.0,-1.0,39.14181083470135,0.942814,0.763559,0.853187,60.9927,139.0,,,,,,,,,,0.945204,,,,,,35.7285,,,,29.117,43.2116,43.268,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0555.ply,-1.0,-1.0,39.15044414616858,0.950349,0.75327,0.85181,60.9971,86.0,,,,,,,,,,0.938807,,,,,,34.8877,,,,29.0851,43.1412,43.4143,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0556.ply,-1.0,-1.0,39.15922894310599,0.926477,0.759744,0.843111,61.0414,116.0,,,,,,,,,,0.940624,,,,,,34.9541,,,,29.1211,43.0024,43.3739,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0557.ply,-1.0,-1.0,39.113870933719056,0.914755,0.749139,0.831947,61.0993,214.0,,,,,,,,,,0.938555,,,,,,35.3551,,,,29.0856,43.251,43.4874,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0558.ply,-1.0,-1.0,39.131411645443684,0.930573,0.756835,0.843704,61.0386,133.0,,,,,,,,,,0.936617,,,,,,35.1441,,,,29.0714,43.2448,43.3658,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0559.ply,-1.0,-1.0,39.1465328580665,0.916922,0.74141,0.829166,61.1112,234.0,,,,,,,,,,0.931447,,,,,,34.0518,,,,29.0527,43.1567,43.4344,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0560.ply,-1.0,-1.0,39.09443239661456,0.940188,0.776593,0.85839,60.9594,173.0,,,,,,,,,,0.939377,,,,,,35.1004,,,,29.1127,43.2647,43.3218,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0561.ply,-1.0,-1.0,39.15144054256588,0.930664,0.745425,0.838045,61.0607,134.0,,,,,,,,,,0.938947,,,,,,34.6759,,,,29.0891,43.1478,43.4904,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0562.ply,-1.0,-1.0,39.16775913462581,0.936367,0.761389,0.848878,61.0054,157.0,,,,,,,,,,0.936306,,,,,,35.1926,,,,29.0568,43.1104,43.3806,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0563.ply,-1.0,-1.0,39.146975606169995,0.928203,0.747603,0.837903,61.0631,117.0,,,,,,,,,,0.936725,,,,,,35.1703,,,,29.1181,42.8814,43.2461,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0564.ply,-1.0,-1.0,39.16979068039246,0.922553,0.762333,0.842443,61.0373,168.0,,,,,,,,,,0.938939,,,,,,35.3114,,,,29.0788,43.0701,43.4182,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0565.ply,-1.0,-1.0,39.167057376879136,0.930172,0.758492,0.844332,61.0275,120.0,,,,,,,,,,0.936708,,,,,,35.1438,,,,29.0955,42.961,43.3323,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0566.ply,-1.0,-1.0,39.14941089976813,0.946305,0.772651,0.859478,60.9526,138.0,,,,,,,,,,0.937338,,,,,,35.1341,,,,29.0887,43.0971,43.4053,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0567.ply,-1.0,-1.0,39.156497113357744,0.912228,0.766524,0.839376,61.0541,225.0,,,,,,,,,,0.939444,,,,,,35.1199,,,,29.0576,43.1283,43.1579,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0568.ply,-1.0,-1.0,39.14225347599832,0.932549,0.759591,0.84607,61.0199,152.0,,,,,,,,,,0.945415,,,,,,35.6683,,,,29.0698,43.067,43.097,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0569.ply,-1.0,-1.0,39.21812968035495,0.92659,0.760235,0.843413,61.0347,209.0,,,,,,,,,,0.936303,,,,,,35.1346,,,,29.0964,43.1335,43.4168,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0570.ply,-1.0,-1.0,39.13985595538632,0.899796,0.757014,0.828405,61.1113,101.0,,,,,,,,,,0.936327,,,,,,35.1378,,,,29.0587,43.0881,43.2162,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0571.ply,-1.0,-1.0,39.15121911676129,0.929406,0.758757,0.844081,61.0313,101.0,,,,,,,,,,0.944161,,,,,,35.3436,,,,29.0724,43.2576,43.4317,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0572.ply,-1.0,-1.0,39.150813175957815,0.92708,0.753882,0.840481,61.046,227.0,,,,,,,,,,0.938941,,,,,,34.8902,,,,29.1014,43.134,43.0803,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0573.ply,-1.0,-1.0,39.113870933719056,0.927785,0.753573,0.840679,61.0425,108.0,,,,,,,,,,0.939144,,,,,,34.9868,,,,29.0976,43.2897,43.4102,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0574.ply,-1.0,-1.0,39.10455422315157,0.924758,0.763041,0.8439,61.0259,93.0,,,,,,,,,,0.936629,,,,,,35.1705,,,,29.0639,43.3187,43.2519,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0575.ply,-1.0,-1.0,39.11092445837225,0.927202,0.759093,0.843148,61.0294,155.0,,,,,,,,,,0.94203,,,,,,35.0791,,,,29.0946,42.9209,43.1244,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0576.ply,-1.0,-1.0,39.13830694441696,0.938316,0.763005,0.85066,60.9907,149.0,,,,,,,,,,0.942483,,,,,,35.5703,,,,29.0688,43.1309,43.2826,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0577.ply,-1.0,-1.0,39.14723388052204,0.940176,0.760226,0.850201,60.9947,221.0,,,,,,,,,,0.937909,,,,,,35.1515,,,,29.0642,43.3179,43.4528,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0578.ply,-1.0,-1.0,39.14778733703807,0.922273,0.749144,0.835709,61.0684,133.0,,,,,,,,,,0.926404,,,,,,33.3819,,,,29.0999,43.1293,43.3724,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0579.ply,-1.0,-1.0,39.11622843366232,0.941364,0.782315,0.861839,60.9346,129.0,,,,,,,,,,0.941429,,,,,,35.0765,,,,29.0812,43.0421,43.2209,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0580.ply,-1.0,-1.0,39.150997693461285,0.923836,0.762391,0.843114,61.0311,184.0,,,,,,,,,,0.94317,,,,,,35.0919,,,,29.0888,43.154,43.3964,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0581.ply,-1.0,-1.0,39.11074031840254,0.918493,0.765133,0.841813,61.0404,107.0,,,,,,,,,,0.938427,,,,,,35.237,,,,29.0615,43.1724,43.238,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0582.ply,-1.0,-1.0,39.14288056830679,0.951625,0.774811,0.863218,60.9339,101.0,,,,,,,,,,0.941654,,,,,,35.0419,,,,29.0586,43.26,43.1277,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0583.ply,-1.0,-1.0,39.13568865705843,0.926287,0.76206,0.844174,61.0297,140.0,,,,,,,,,,0.932759,,,,,,34.2431,,,,29.0235,43.1802,43.2529,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0584.ply,-1.0,-1.0,39.16066884460724,0.935433,0.775935,0.855684,60.972,155.0,,,,,,,,,,0.941263,,,,,,34.975,,,,29.0861,43.0817,43.3433,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0585.ply,-1.0,-1.0,39.113870933719056,0.930702,0.769136,0.849919,61.0002,142.0,,,,,,,,,,0.938916,,,,,,34.664,,,,29.0926,43.0,43.2496,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0586.ply,-1.0,-1.0,39.12923662748578,0.904804,0.762278,0.833541,61.0848,180.0,,,,,,,,,,0.942837,,,,,,35.6447,,,,29.1415,43.0505,43.3417,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0587.ply,-1.0,-1.0,39.133918745760155,0.926609,0.778496,0.852552,60.9866,80.0,,,,,,,,,,0.945839,,,,,,35.7399,,,,29.0738,43.4347,43.4864,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0588.ply,-1.0,-1.0,39.10665285754637,0.934577,0.772993,0.853785,60.9779,145.0,,,,,,,,,,0.936336,,,,,,34.8323,,,,29.0867,43.1644,43.298,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_noQuantize_OM=4_r1/decompressed/soldier_dec_0589.ply,-1.0,-1.0,39.08494104583651,0.922179,0.759742,0.84096,61.0471,116.0,,,,,,,,,,0.936246,,,,,,34.8788,,,,29.0825,43.0846,43.29,
