pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0536.ply,-1.0,-1.0,98.33656221398175,0.514735,0.39594,0.455337,63.716,86.0,,,,,,0.97913,0.983522,0.969219,0.918135,0.970461,0.967559,39.1689,41.4501,38.4781,23.4945,38.2032,38.6124,0.964671,36.56786666666667,32.6013,44.8026,45.2078,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0537.ply,-1.0,-1.0,98.12546206065399,0.527646,0.390202,0.458924,63.6832,67.0,,,,,,0.979378,0.983948,0.966536,0.961727,0.967553,0.965093,39.486,41.9454,37.557,36.9261,37.3816,37.9481,0.9707058333333333,38.540699999999994,32.5801,44.8741,45.3072,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0538.ply,-1.0,-1.0,98.27591695710557,0.526739,0.387612,0.457176,63.7012,70.0,,,,,,0.978824,0.983682,0.965215,0.959982,0.966331,0.963177,39.2099,41.6669,37.473,36.5288,37.1124,37.4028,0.9695351666666667,38.2323,32.6829,44.9169,45.3356,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0539.ply,-1.0,-1.0,98.16049000151642,0.52077,0.394668,0.457719,63.6973,68.0,,,,,,0.977532,0.982615,0.968743,0.964913,0.967505,0.964281,38.6844,41.1074,38.3241,37.7118,37.4575,37.7393,0.9709315,38.504083333333334,32.688,44.8624,45.2202,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0540.ply,-1.0,-1.0,98.23238014805823,0.51638,0.39676,0.45657,63.7068,74.0,,,,,,0.975724,0.981941,0.966877,0.962598,0.96795,0.964947,38.2161,40.9971,37.9193,37.165,37.5918,37.9266,0.9700061666666665,38.30265,32.6862,44.8682,45.2728,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0541.ply,-1.0,-1.0,98.18434918927169,0.516798,0.391409,0.454104,63.7315,86.0,,,,,,0.977052,0.982814,0.962426,0.957191,0.965897,0.963292,38.3313,41.2658,36.8671,35.9341,36.9361,37.4153,0.968112,37.79161666666667,32.6515,44.8302,45.285,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0542.ply,-1.0,-1.0,98.2326579202606,0.514948,0.387922,0.451435,63.7584,85.0,,,,,,0.973292,0.979287,0.966439,0.961998,0.9616,0.95889,37.1696,39.5245,37.7828,37.1354,36.2124,36.6691,0.9669176666666668,37.41563333333334,32.6672,44.923,45.2442,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0543.ply,-1.0,-1.0,98.17112347823466,0.52337,0.392996,0.458183,63.6937,74.0,,,,,,0.975685,0.981359,0.966755,0.962676,0.967888,0.965026,38.0343,40.5425,37.8585,37.1761,37.4958,37.9037,0.9698981666666667,38.168483333333334,32.6556,44.8965,45.2104,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0544.ply,-1.0,-1.0,98.26915232566144,0.514198,0.392662,0.45343,63.7353,73.0,,,,,,0.979302,0.983901,0.969159,0.96493,0.970125,0.967065,39.3438,41.7112,38.521,37.6779,38.0593,38.375,0.9724136666666666,38.948033333333335,32.7084,44.9191,45.3184,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_4_noQuantize_OM=4/decompressed/soldier_dec_0545.ply,-1.0,-1.0,98.39300907664449,0.521609,0.39624,0.458924,63.6816,157.0,,,,,,0.977315,0.98285,0.962662,0.957114,0.965975,0.963303,38.6284,41.4945,36.8713,35.9242,36.9944,37.5077,0.9682031666666666,37.903416666666665,32.6583,44.9779,45.2932,
