pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0536.ply,-1.0,-1.0,109.70695502023948,0.382813,0.362724,0.372769,64.5849,56.0,,,,,,0.976268,0.982611,0.969041,0.912284,0.969153,0.966429,38.1078,41.3891,38.2589,23.4552,37.7579,37.9413,0.962631,36.1517,34.2091,44.5919,44.987,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0537.ply,-1.0,-1.0,109.47144592266193,0.384827,0.368018,0.376423,64.5438,74.0,,,,,,0.978512,0.983839,0.973473,0.970817,0.972006,0.969056,38.905,42.2018,39.4243,38.811,38.3834,38.6923,0.9746171666666669,39.402966666666664,34.2985,44.8237,45.0242,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0538.ply,-1.0,-1.0,109.63929751505002,0.385812,0.369843,0.377828,64.5291,69.0,,,,,,0.978889,0.983747,0.970552,0.967137,0.974449,0.971834,38.9721,41.7584,38.5879,37.7936,39.1126,39.3758,0.9744346666666668,39.266733333333335,34.3422,44.7097,45.2013,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0539.ply,-1.0,-1.0,109.51052405033008,0.381924,0.365802,0.373863,64.5761,126.0,,,,,,0.978778,0.984051,0.970713,0.967591,0.974683,0.9718,38.8125,42.1687,38.5488,37.8043,39.3422,39.4272,0.9746026666666667,39.35061666666666,34.3286,44.7707,45.1607,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0540.ply,-1.0,-1.0,109.59072666160195,0.386156,0.365329,0.375742,64.553,66.0,,,,,,0.977064,0.982461,0.970398,0.967165,0.97107,0.968677,38.4665,41.3744,38.5098,37.8126,38.2028,38.5526,0.9728058333333335,38.81978333333333,34.3848,44.9065,45.2432,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0541.ply,-1.0,-1.0,109.53714201194023,0.383406,0.369858,0.376632,64.5438,62.0,,,,,,0.978989,0.983711,0.967908,0.964294,0.971889,0.96871,39.0003,41.9822,37.8979,37.0587,38.2559,38.5175,0.9725834999999999,38.78541666666666,34.3385,44.8361,45.2715,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0542.ply,-1.0,-1.0,109.59103655185869,0.379696,0.366242,0.372969,64.5876,98.0,,,,,,0.978855,0.983902,0.970637,0.966949,0.974675,0.971654,39.0534,41.9877,38.6234,37.7435,39.2434,39.3507,0.9744453333333333,39.33368333333334,34.3017,44.6703,45.1695,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0543.ply,-1.0,-1.0,109.5223870474267,0.381175,0.369476,0.375325,64.56,65.0,,,,,,0.976502,0.982484,0.969123,0.964734,0.969168,0.966882,38.2602,41.1563,38.2819,37.2428,37.6359,37.9681,0.9714821666666666,38.42419999999999,34.3258,44.8245,45.3707,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0544.ply,-1.0,-1.0,109.63175070742463,0.385832,0.371127,0.37848,64.52,72.0,,,,,,0.972405,0.980328,0.963383,0.958857,0.97089,0.968351,36.7891,40.0545,36.8484,36.0352,38.1034,38.3651,0.9690356666666666,37.699283333333334,34.3126,44.7771,45.2279,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0545.ply,-1.0,-1.0,109.76992868215883,0.387235,0.37009,0.378662,64.5165,36.0,,,,,,0.978762,0.983565,0.973297,0.970788,0.971327,0.968719,39.1616,41.8567,39.3759,38.69,38.1862,38.5542,0.9744096666666667,39.3041,34.3337,44.7275,45.0671,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0546.ply,-1.0,-1.0,109.5347685675418,0.381829,0.369716,0.375772,64.5525,61.0,,,,,,0.976687,0.982532,0.970582,0.967498,0.971389,0.968591,38.0638,41.2545,38.5912,37.8393,38.2714,38.4888,0.9728798333333333,38.7515,34.3393,44.7532,45.1561,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0547.ply,-1.0,-1.0,109.72010308743275,0.378501,0.368859,0.37368,64.5742,80.0,,,,,,0.98074,0.985105,0.973779,0.970953,0.974811,0.972105,39.7907,42.7785,39.5504,38.6877,39.2475,39.555,0.9762488333333333,39.93496666666667,34.3104,44.7597,45.1794,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0548.ply,-1.0,-1.0,109.58855747887516,0.382625,0.371409,0.377017,64.5331,73.0,,,,,,0.978686,0.983663,0.973414,0.970416,0.971313,0.96877,39.0174,41.9633,39.4179,38.5332,38.1865,38.5295,0.974377,39.274633333333334,34.3379,44.793,45.0933,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_OM=4/decompressed/soldier_dec_0549.ply,-1.0,-1.0,109.68884276664292,0.381441,0.370837,0.376139,64.547,75.0,,,,,,0.980915,0.985144,0.971036,0.96764,0.972132,0.968877,39.9484,42.9074,38.6703,37.8839,38.4247,38.4855,0.9742906666666666,39.3867,34.3315,44.7132,45.1996,
