pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0536.ply,-1.0,-1.0,34.956763948254874,1.42498,1.01223,1.2186,59.4407,3961.0,,,,,,,,,,0.879215,,,,,,30.8013,,,,28.1142,42.5216,42.8768,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0537.ply,-1.0,-1.0,34.881721887975594,1.45872,1.09084,1.27478,59.2462,4209.0,,,,,,,,,,0.871528,,,,,,30.7769,,,,28.1549,42.5162,42.695,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,34.93520572126918,1.47209,1.05526,1.26367,59.2856,4037.0,,,,,,,,,,0.870585,,,,,,30.5393,,,,28.161,42.4906,42.9566,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0539.ply,-1.0,-1.0,34.89417364989154,1.41867,1.04364,1.23115,59.4001,3560.0,,,,,,,,,,0.867783,,,,,,30.5757,,,,28.1797,42.4516,42.6821,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0540.ply,-1.0,-1.0,34.91972921972526,1.42516,1.03441,1.22978,59.4036,4325.0,,,,,,,,,,0.870825,,,,,,30.5132,,,,28.1991,42.595,42.6872,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0541.ply,-1.0,-1.0,34.902655134047386,1.42916,1.03165,1.23041,59.4025,3544.0,,,,,,,,,,0.869595,,,,,,30.9661,,,,28.1286,42.5745,42.6334,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0542.ply,-1.0,-1.0,34.919827962421685,1.47974,1.01611,1.24792,59.3425,3874.0,,,,,,,,,,0.867447,,,,,,30.3671,,,,28.1464,42.4243,42.8796,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0543.ply,-1.0,-1.0,34.89795364715014,1.4218,1.05888,1.24034,59.3687,3794.0,,,,,,,,,,0.870962,,,,,,30.6595,,,,28.2189,42.5871,42.9103,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0544.ply,-1.0,-1.0,34.932801024386706,1.43325,1.06121,1.24723,59.3409,4077.0,,,,,,,,,,0.881271,,,,,,30.8829,,,,28.195,42.2174,42.8139,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0545.ply,-1.0,-1.0,34.97682972652997,1.43594,1.09228,1.26411,59.2811,4134.0,,,,,,,,,,0.883424,,,,,,31.169,,,,28.1909,42.3818,42.8477,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0546.ply,-1.0,-1.0,34.90189886535352,1.43577,1.01624,1.226,59.4168,3992.0,,,,,,,,,,0.880447,,,,,,30.8904,,,,28.2251,42.4794,42.9774,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0547.ply,-1.0,-1.0,34.96095341720118,1.43388,1.02634,1.23011,59.3998,4101.0,,,,,,,,,,0.86347,,,,,,29.4551,,,,28.2004,42.4516,42.7731,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0548.ply,-1.0,-1.0,34.91903803648599,1.44409,1.15148,1.29779,59.1647,4150.0,,,,,,,,,,0.877247,,,,,,30.808,,,,28.2385,42.4591,42.9729,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0549.ply,-1.0,-1.0,34.95099270272693,1.41517,1.00964,1.21241,59.464,4101.0,,,,,,,,,,0.865321,,,,,,30.4682,,,,28.213,42.3179,42.6829,
/temp/pranav/dynamic_pc_data/soldier/experiments/2DD_lodX=2_lodY=2_OM=4_r1/decompressed/soldier_dec_0550.ply,-1.0,-1.0,34.943410534655705,1.43009,1.0312,1.23064,59.3992,3854.0,,,,,,,,,,0.883162,,,,,,31.0814,,,,28.183,42.5421,42.7351,
