pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0536.ply,-1.0,-1.0,17.656727149205988,4.09371,3.88578,3.98974,54.2899,561.0,,,,,,,,,,0.866175,,,,,,27.2764,,,,26.4521,41.626,41.642,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0537.ply,-1.0,-1.0,17.618823263565236,4.2197,3.86564,4.04267,54.2339,573.0,,,,,,,,,,0.867121,,,,,,27.3077,,,,26.448,41.7826,41.5053,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,17.645838048250578,4.19938,3.83666,4.01802,54.2619,541.0,,,,,,,,,,0.865277,,,,,,27.1773,,,,26.5036,41.7623,41.8239,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0539.ply,-1.0,-1.0,17.625112671904123,4.30052,3.94312,4.12182,54.1524,523.0,,,,,,,,,,0.865484,,,,,,27.2816,,,,26.4698,41.5512,41.712,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0540.ply,-1.0,-1.0,17.63802083824253,4.21467,3.66657,3.94062,54.3463,531.0,,,,,,,,,,0.865641,,,,,,27.2531,,,,26.5282,41.8408,41.9761,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0541.ply,-1.0,-1.0,17.629396685486782,4.19824,3.77407,3.98616,54.2975,1024.0,,,,,,,,,,0.860189,,,,,,26.8253,,,,26.4782,41.7974,41.7912,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0542.ply,-1.0,-1.0,17.638070713364016,4.11117,3.96065,4.03591,54.2449,485.0,,,,,,,,,,0.864981,,,,,,27.3118,,,,26.4844,41.8242,41.5144,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0543.ply,-1.0,-1.0,17.627021955621537,4.24299,3.86399,4.05349,54.2258,786.0,,,,,,,,,,0.865373,,,,,,27.3015,,,,26.4895,41.6565,41.7928,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0544.ply,-1.0,-1.0,17.644623431337145,4.26215,3.91743,4.08979,54.1834,507.0,,,,,,,,,,0.866445,,,,,,27.2854,,,,26.4729,41.9479,41.8287,
/temp/pranav/dynamic_pc_data/soldier/experiments/3DD_2_Quantize=2_OM=4_r1/decompressed/soldier_dec_0545.ply,-1.0,-1.0,17.666862411513574,4.14667,3.90079,4.02373,54.2527,618.0,,,,,,,,,,0.867041,,,,,,27.2494,,,,26.5184,41.9477,41.7116,
