pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0536.ply,-1.0,-1.0,41.43350978005491,0.804241,0.750509,0.777375,61.393,113.0,,,,,,,,,,0.901414,,,,,,33.487,,,,29.3354,43.127,43.2104,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0537.ply,-1.0,-1.0,41.3445640199983,0.819879,0.749657,0.784768,61.3532,106.0,,,,,,,,,,0.874659,,,,,,32.892,,,,29.3879,42.884,43.0262,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0538.ply,-1.0,-1.0,41.40795727153397,0.796164,0.752693,0.774428,61.4122,201.0,,,,,,,,,,0.897871,,,,,,33.2218,,,,29.4162,43.0375,43.3249,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0539.ply,-1.0,-1.0,41.35932282890542,0.812256,0.755412,0.783834,61.361,152.0,,,,,,,,,,0.880729,,,,,,33.0531,,,,29.4127,43.1134,43.3475,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0540.ply,-1.0,-1.0,41.389613302995286,0.816631,0.752362,0.784497,61.356,200.0,,,,,,,,,,0.896805,,,,,,33.1273,,,,29.4369,43.2339,43.1779,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0541.ply,-1.0,-1.0,41.36937575191742,0.784478,0.746048,0.765263,61.4649,129.0,,,,,,,,,,0.874858,,,,,,32.9029,,,,29.3984,43.2085,43.454,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0542.ply,-1.0,-1.0,41.389730340615934,0.815198,0.756092,0.785645,61.3521,213.0,,,,,,,,,,0.892785,,,,,,32.7471,,,,29.4188,43.03,43.4203,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0543.ply,-1.0,-1.0,41.3638031793639,0.810117,0.762951,0.786534,61.3469,115.0,,,,,,,,,,0.876761,,,,,,32.6401,,,,29.3696,43.0771,43.3521,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0544.ply,-1.0,-1.0,41.4051070353981,0.805929,0.761668,0.783798,61.3584,274.0,,,,,,,,,,0.874072,,,,,,32.8105,,,,29.4083,43.043,43.4171,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0545.ply,-1.0,-1.0,41.45729332082077,0.822381,0.775354,0.798868,61.2742,139.0,,,,,,,,,,0.899701,,,,,,33.1697,,,,29.3908,43.065,43.4756,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0546.ply,-1.0,-1.0,41.368479362698736,0.818653,0.762279,0.790466,61.3229,129.0,,,,,,,,,,0.87982,,,,,,32.9681,,,,29.4354,43.2322,43.5144,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0547.ply,-1.0,-1.0,41.43847546860712,0.79844,0.749463,0.773951,61.4121,131.0,,,,,,,,,,0.874533,,,,,,32.8177,,,,29.3943,43.0787,43.298,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0548.ply,-1.0,-1.0,41.38879405818343,0.804834,0.759952,0.782393,61.3625,145.0,,,,,,,,,,0.888976,,,,,,32.9391,,,,29.4237,43.0248,43.2998,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0549.ply,-1.0,-1.0,41.42666924531951,0.792638,0.749331,0.770984,61.43,115.0,,,,,,,,,,0.871707,,,,,,32.2143,,,,29.402,43.108,43.2498,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0550.ply,-1.0,-1.0,41.41768226255995,0.806837,0.760559,0.783698,61.359,139.0,,,,,,,,,,0.89236,,,,,,32.6525,,,,29.42,42.9875,43.2241,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0551.ply,-1.0,-1.0,41.39503674131194,0.799186,0.743056,0.771121,61.4281,107.0,,,,,,,,,,0.875102,,,,,,32.9272,,,,29.392,43.1251,43.1742,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0552.ply,-1.0,-1.0,41.41174517879187,0.801081,0.75852,0.7798,61.3833,109.0,,,,,,,,,,0.889529,,,,,,33.0215,,,,29.4146,43.2223,43.3119,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0553.ply,-1.0,-1.0,41.38204627528442,0.810391,0.764546,0.787469,61.3396,106.0,,,,,,,,,,0.895215,,,,,,33.5431,,,,29.4715,43.0098,43.3322,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0554.ply,-1.0,-1.0,41.38134432019722,0.811777,0.750538,0.781157,61.3758,81.0,,,,,,,,,,0.878095,,,,,,32.7603,,,,29.4583,43.1247,43.1865,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_r1/decompressed/soldier_dec_0555.ply,-1.0,-1.0,41.39047159425098,0.811086,0.755316,0.783201,61.3618,198.0,,,,,,,,,,0.880513,,,,,,33.0387,,,,29.3939,43.0477,43.2272,
