pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0536.ply,-1.0,-1.0,21.621671809097858,2.19908,2.03274,2.11591,57.0443,521.0,,,,,,,,,,0.855643,,,,,,29.3954,,,,25.7039,40.0547,39.9883,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0537.ply,-1.0,-1.0,21.575256334208966,2.20972,2.08213,2.14593,56.9844,318.0,,,,,,,,,,0.866943,,,,,,31.3003,,,,25.6711,40.053,39.8818,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0538.ply,-1.0,-1.0,21.60833748246051,2.24336,2.10267,2.17302,56.9314,353.0,,,,,,,,,,0.88232,,,,,,31.8485,,,,25.7327,40.3598,40.2525,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0539.ply,-1.0,-1.0,21.582958074278217,2.2053,2.10332,2.15431,56.9702,243.0,,,,,,,,,,0.876653,,,,,,31.4767,,,,25.6913,40.0066,39.8559,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0540.ply,-1.0,-1.0,21.598764861904698,2.22564,2.07227,2.14896,56.9796,268.0,,,,,,,,,,0.862873,,,,,,31.2234,,,,25.7665,40.3104,40.233,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0541.ply,-1.0,-1.0,21.588204093822338,2.19888,2.06511,2.132,57.0151,329.0,,,,,,,,,,0.876484,,,,,,31.5565,,,,25.6854,40.0578,40.0239,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0542.ply,-1.0,-1.0,21.598825936842264,2.20366,2.12989,2.16678,56.9462,369.0,,,,,,,,,,0.864952,,,,,,31.4873,,,,25.7173,40.2755,40.111,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0543.ply,-1.0,-1.0,21.585296101341754,2.20885,2.09819,2.15352,56.9726,346.0,,,,,,,,,,0.881621,,,,,,31.566,,,,25.7234,40.1936,39.6277,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0544.ply,-1.0,-1.0,21.60685011461175,2.21413,2.07629,2.14521,56.9857,269.0,,,,,,,,,,0.867697,,,,,,31.4474,,,,25.7311,40.3828,39.9347,
/temp/pranav/dynamic_pc_data/soldier/experiments/vanilla_rc_OM=4_GQP=40_AQP=52/decompressed/soldier_dec_0545.ply,-1.0,-1.0,21.634083017214845,2.17733,2.07867,2.128,57.0193,374.0,,,,,,,,,,0.883221,,,,,,31.8064,,,,25.6956,40.4545,40.0852,
